topk,val_mse,val_r2,mse_ratio_to_full,features
1,1.8329761028289795,-0.7991934297209933,2.6108690513832777,gen_fuel_other_renewables_mw
2,1.804599404335022,-0.7713397383179879,2.5704496243302124,gen_fuel_other_renewables_mw;congestion_price_da
3,1.795424222946167,-0.7623336504536657,2.5573806066316087,gen_fuel_other_renewables_mw;congestion_price_da;total_pjm_self_sched_reg
4,1.736728310585022,-0.7047195440144234,2.4737748570586056,gen_fuel_other_renewables_mw;congestion_price_da;total_pjm_self_sched_reg;da_as_as_mw_thirty_minutes_reserve
5,1.6627141237258911,-0.6320694519824517,2.368349942060773,gen_fuel_other_renewables_mw;congestion_price_da;total_pjm_self_sched_reg;da_as_as_mw_thirty_minutes_reserve;gross_inadv_interchange_mw
6,1.4766440391540527,-0.4494287203548608,2.103313957987058,gen_fuel_other_renewables_mw;congestion_price_da;total_pjm_self_sched_reg;da_as_as_mw_thirty_minutes_reserve;gross_inadv_interchange_mw;total_losses
7,1.4759594202041626,-0.44875667373279815,2.102338795012756,gen_fuel_other_renewables_mw;congestion_price_da;total_pjm_self_sched_reg;da_as_as_mw_thirty_minutes_reserve;gross_inadv_interchange_mw;total_losses;total_pjm_loc_credit
8,1.438698649406433,-0.41218272579503124,2.0492650025305013,gen_fuel_other_renewables_mw;congestion_price_da;total_pjm_self_sched_reg;da_as_as_mw_thirty_minutes_reserve;gross_inadv_interchange_mw;total_losses;total_pjm_loc_credit;da_as_total_mw_thirty_minutes_reserve
9,1.2202726602554321,-0.19778236047972553,1.7381416582534173,gen_fuel_other_renewables_mw;congestion_price_da;total_pjm_self_sched_reg;da_as_as_mw_thirty_minutes_reserve;gross_inadv_interchange_mw;total_losses;total_pjm_loc_credit;da_as_total_mw_thirty_minutes_reserve;total_pjm_rt_load_mwh
10,1.1957546472549438,-0.17371627719099147,1.7032184962735144,gen_fuel_other_renewables_mw;congestion_price_da;total_pjm_self_sched_reg;da_as_as_mw_thirty_minutes_reserve;gross_inadv_interchange_mw;total_losses;total_pjm_loc_credit;da_as_total_mw_thirty_minutes_reserve;total_pjm_rt_load_mwh;da_as_mcp_primary_reserve
