head_id,anchor,group_size,candidate_group,residual_val_mse,residual_val_r2,reconstructed_y_val_mse,reconstructed_y_val_r2,anchor_sensitivity,anchor_status,threshold_ratio
0,gen_fuel_other_renewables_mw,15,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5003331899642944,0.5088882446289062,816378.75,0.8784772157669067,0.03154629468917847,active_anchor,0.25
1,congestion_price_da,16,congestion_price_da;gen_fuel_other_renewables_mw;total_losses;total_pjm_self_sched_reg;total_lmp_da;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5155397057533264,0.4939619302749634,841190.875,0.8747837543487549,0.01032036542892456,active_anchor,0.25
2,total_losses,15,total_losses;gen_fuel_other_renewables_mw;congestion_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.49383118748664856,0.5152705907821655,805769.3125,0.8800565004348755,0.055580586194992065,active_anchor,0.25
3,system_energy_price_da,16,system_energy_price_da;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5120008587837219,0.49743518233299255,835417.0,0.8756431937217712,0.020273208618164062,active_anchor,0.25
4,total_pjm_self_sched_reg,17,total_pjm_self_sched_reg;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_lmp_da;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5185562372207642,0.4910009503364563,846112.75,0.8740510940551758,0.015653908252716064,active_anchor,0.25
5,total_lmp_da,15,total_lmp_da;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;total_pjm_self_sched_reg;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.511247992515564,0.4981745183467865,834188.8125,0.8758261203765869,0.017046630382537842,active_anchor,0.25
6,total_pjm_loc_credit,17,total_pjm_loc_credit;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_lmp_da;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.514418363571167,0.4950625002384186,839361.875,0.8750560879707336,0.0005328655242919922,active_anchor,0.25
7,gross_inadv_interchange_mw,16,gross_inadv_interchange_mw;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5218735337257385,0.4877449870109558,851526.3125,0.8732454180717468,0.06267654895782471,active_anchor,0.25
8,gen_fuel_multiple_fuels_mw,16,gen_fuel_multiple_fuels_mw;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.506908655166626,0.5024340748786926,827107.75,0.8768801093101501,0.015163898468017578,active_anchor,0.25
9,gen_fuel_multiple_fuels_pct,16,gen_fuel_multiple_fuels_pct;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5228329300880432,0.486802875995636,853092.4375,0.8730123043060303,0.06751406192779541,active_anchor,0.25
10,rmccp,17,rmccp;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.523016631603241,0.48662298917770386,853390.9375,0.8729677796363831,0.025038540363311768,active_anchor,0.25
