feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,best_gate
1,forecast_load_mw_day_ahead,1,25,gross_actual_interchange_mw,0.0579126797338426,0.3482164010696912,0.3252852470259594,0.231944676118988,0.3195511466479157,0.8940018012981381,1,1,1,1,1,1,6,0.8940018012981381,0.7345602
2,prelim_load_avg_hourly,2,26,gross_actual_interchange_mw,0.0615094497472267,0.3700419113624624,0.3347555752318642,0.2445412844036697,0.3362246109559914,0.8928156542699911,1,1,1,1,1,1,6,0.8928156542699911,0.7456138
3,metered_load_mw,3,27,gross_actual_interchange_mw,0.0628795982797409,0.3620207134160839,0.3359097846975102,0.2238615512927439,0.3091594313644606,0.8913855859604,1,1,1,1,1,1,6,0.8913855859604,0.7363889
4,gen_fuel_gas_mw,4,6,gross_actual_interchange_mw,0.0599308212588385,0.3579412523322646,0.3206634390033654,0.2438393105365582,0.3330498268419462,0.8889947572080985,1,1,1,1,1,1,6,0.8889947572080985,0.74034446
5,forecast_load_mw_latest_available,5,24,gross_actual_interchange_mw,0.0621912608254881,0.3537305343040487,0.3162497989750621,0.2783694745621351,0.3881639040031823,0.888778526039869,1,1,1,1,1,1,6,0.888778526039869,0.7579615
6,total_gen,6,1,gross_actual_interchange_mw,0.0660367781607608,0.3610321467813495,0.3333882771152841,0.2494690019460661,0.3490395260553585,0.8794748880463031,1,1,1,1,1,1,6,0.8794748880463031,0.7497893
7,gen_fuel_coal_mw,7,5,gross_actual_interchange_mw,0.0623442914860695,0.3756385255076212,0.393025933586797,0.2557172643869891,0.3681444450915973,0.8576519390506072,1,1,1,1,1,1,6,0.8576519390506072,0.76244956
8,gross_inadv_interchange_mw,8,50,gross_actual_interchange_mw,0.2024547612409379,0.7564409359108195,0.7812645161803579,0.5742035029190993,0.7375871689329488,0.8265721589619929,1,1,1,1,1,1,6,0.8265721589619929,0.93939745
9,gross_sched_interchange_mw,9,49,gross_actual_interchange_mw,0.0653746984214748,0.4131827078246951,0.4483852079139471,0.287620239088129,0.4025647972446892,0.8170573360745355,1,1,1,1,1,1,6,0.8170573360745355,0.78452784
10,gen_fuel_nuclear_mw,10,9,gross_actual_interchange_mw,0.0839052313421831,0.3837487301067556,0.375545006364529,0.2350695023630803,0.3363835949070514,0.7724350747509544,1,1,1,1,1,1,6,0.7724350747509544,0.75619566
11,total_losses,11,2,gross_actual_interchange_mw,0.0689791348127607,0.4026252077970634,0.4315863865781927,0.3175868779538504,0.4467210597710649,0.4164793423727117,1,1,1,1,1,1,6,0.4467210597710649,0.773677
12,gen_fuel_oil_mw,12,10,gross_actual_interchange_mw,0.0517193675307389,0.1894489987004911,0.1993386146733655,0.1073728106755629,0.1968825405030264,0.3922253748880757,1,1,1,1,1,1,6,0.3922253748880757,0.60170245
