W_1,W_2,W_3,W_4,W_5,W_6,epoch
0.11641437,0.10440856,0.1055555,0.10575225,0.10124537,0.084814146,1
0.12423879,0.109823644,0.11286341,0.111581735,0.106073394,0.09950537,2
0.12471587,0.11383658,0.11959584,0.11619496,0.11009086,0.10995017,3
0.122301966,0.114272274,0.12163778,0.11673285,0.11051776,0.11543636,4
0.1160031,0.111241736,0.12098006,0.11348935,0.10531862,0.11935921,5
0.11504483,0.1127031,0.1252532,0.115941875,0.10925576,0.123065665,6
0.112561345,0.11825614,0.1326822,0.120568864,0.110932685,0.12698525,7
0.10794918,0.11482502,0.13261977,0.118457094,0.110926166,0.12966564,8
0.108693525,0.12253346,0.14179806,0.1255153,0.1177661,0.13491462,9
0.103883594,0.11934853,0.13981195,0.1236235,0.11706748,0.13229834,10
0.106827036,0.12367449,0.14658587,0.12854154,0.12449775,0.13531286,11
0.10497627,0.12591195,0.15154295,0.13070242,0.12639757,0.13075419,12
0.10524116,0.13190162,0.15790837,0.13659522,0.13203281,0.14385572,13
0.10331207,0.13297091,0.16134007,0.13772082,0.13179186,0.13630915,14
0.10328726,0.13283691,0.16292728,0.13786918,0.13113342,0.1455717,15
0.10147354,0.13811284,0.16911057,0.14378746,0.13630174,0.14527485,16
0.10303087,0.13963404,0.17108175,0.1460666,0.14181644,0.14231673,17
0.10149569,0.13724627,0.16999689,0.14466432,0.14410067,0.14385717,18
0.099626735,0.13710542,0.17143978,0.14419249,0.14156358,0.14288601,19
0.10242026,0.13596222,0.17181325,0.14371082,0.14275904,0.1413801,20
0.10078646,0.13498428,0.17102014,0.1431956,0.14396812,0.14264682,21
0.09889357,0.13467589,0.17150563,0.14350653,0.14492182,0.14601585,22
0.100338474,0.13324475,0.17007732,0.14279002,0.14736673,0.14486307,23
0.10333365,0.137912,0.1762614,0.14661102,0.14869112,0.14637601,24
0.10461151,0.13815394,0.17780143,0.14652143,0.14505938,0.1473653,25
0.102747776,0.13514742,0.17506327,0.1454206,0.14650624,0.15137702,26
0.103115045,0.13974215,0.18104465,0.15014814,0.1516538,0.14700738,27
0.101445645,0.13650306,0.17758952,0.14758077,0.14753158,0.15160364,28
0.10301351,0.13552436,0.17662549,0.14662041,0.14745256,0.15156184,29
0.103905074,0.13942902,0.18056458,0.1503388,0.15073207,0.15391527,30
0.097437,0.13241023,0.1766701,0.14470078,0.14891751,0.15095532,31
0.09843663,0.13161106,0.17591088,0.14475116,0.15045667,0.15178575,32
0.09858668,0.13280345,0.17653364,0.14637023,0.1503412,0.15545778,33
0.094698384,0.1332311,0.17917645,0.14767195,0.1512166,0.16209131,34
0.097821,0.12851125,0.17392275,0.14236623,0.14854121,0.16022022,35
0.098936796,0.1318234,0.17806455,0.14504713,0.1505499,0.16611049,36
0.097605154,0.12945805,0.17897907,0.14404422,0.15466397,0.16614406,37
0.09770232,0.12802568,0.17830062,0.14310782,0.15503058,0.16713928,38
0.09850607,0.13315499,0.18305938,0.14685774,0.1492857,0.17018807,39
0.101732016,0.13351625,0.1833375,0.14814432,0.15772285,0.16786554,40
0.09819948,0.12873799,0.1793229,0.143611,0.15094154,0.16657814,41
0.09586146,0.12866406,0.18095197,0.14283548,0.15073375,0.17148046,42
0.09741647,0.12834226,0.18133089,0.14378756,0.15294704,0.17166214,43
0.1013153,0.1286012,0.18273087,0.1434851,0.15202971,0.17451183,44
0.09788841,0.121202685,0.1784212,0.13688572,0.15287623,0.17133418,45
0.09462956,0.12402978,0.18182014,0.14125822,0.15118028,0.17404708,46
0.09456022,0.122448534,0.18109567,0.13945279,0.15345417,0.17754188,47
0.09719094,0.12121163,0.18340468,0.13886501,0.15840669,0.17982028,48
0.0935483,0.11857586,0.18082076,0.13705823,0.15551744,0.18314561,49
0.09344065,0.12453521,0.18512356,0.14314498,0.15978602,0.17994326,50
0.093247466,0.12086916,0.18451461,0.13911216,0.15882938,0.17351568,51
0.09163983,0.11765581,0.18030731,0.13704894,0.15831922,0.18190648,52
0.094969444,0.12046594,0.18173191,0.14072491,0.1616889,0.17645228,53
0.09771597,0.124651566,0.18778776,0.1460914,0.16582365,0.17470266,54
0.101346366,0.12805831,0.18945849,0.14937045,0.1668412,0.17772587,55
0.099562645,0.12286073,0.18447055,0.14341639,0.15892753,0.17851534,56
0.09899824,0.12523434,0.19091326,0.146886,0.17000094,0.17641078,57
0.09648575,0.12095323,0.18858647,0.14224021,0.16610648,0.17232238,58
0.096,0.12042419,0.18982846,0.14200056,0.16602653,0.1775778,59
0.09572013,0.12006045,0.18993631,0.1414422,0.16529936,0.18127064,60
0.09885333,0.11705571,0.18772234,0.13881947,0.16571271,0.17484498,61
