feature,score,selected
total_lmp_da,21391095808.0,True
total_losses,17579024384.0,True
da_as_as_req_mw_synchronized_reserve,12567109632.0,True
da_as_as_req_mw_primary_reserve,6845121024.0,True
net_sched_interchange_mw,6513176064.0,True
net_actual_interchange_mw,6278176256.0,True
system_energy_price_da,5786201088.0,True
total_lmp_rt,4889392128.0,True
da_as_total_mw_thirty_minutes_reserve,4010325248.0,True
system_energy_price_rt,2820047360.0,True
da_as_as_mw_thirty_minutes_reserve,2333268736.0,True
da_as_as_mw_primary_reserve,1740028288.0,True
marginal_loss_price_da,1599003520.0,True
marginal_loss_price_rt,1535990784.0,False
da_as_nsr_mw_primary_reserve,1423182080.0,False
da_as_total_mw_synchronized_reserve,1330983168.0,False
da_as_as_req_mw_thirty_minutes_reserve,1133973632.0,False
total_pjm_assigned_reg,1069936320.0,False
total_pjm_rmpcp_cr,1025495552.0,False
da_as_mcp_synchronized_reserve,954888448.0,False
da_as_total_mw_primary_reserve,942999360.0,False
total_pjm_reg_purchases,889180480.0,False
gross_inadv_interchange_mw,765748224.0,False
rmpcp,706185792.0,False
total_pjm_self_sched_reg,682545600.0,False
da_as_ss_mw_synchronized_reserve,680028992.0,False
total_pjm_rmccp_cr,652178944.0,False
da_as_ss_mw_primary_reserve,650233664.0,False
gross_sched_interchange_mw,631645376.0,False
congestion_price_da,488950272.0,False
da_as_mcp_primary_reserve,476406080.0,False
gross_actual_interchange_mw,471823200.0,False
net_inadv_interchange_mw,413059360.0,False
congestion_price_rt,411223616.0,False
da_as_as_mw_synchronized_reserve,386648032.0,False
total_pjm_loc_credit,365876128.0,False
rmccp,213393328.0,False
da_as_ss_mw_thirty_minutes_reserve,99695912.0,False
da_as_mcp_thirty_minutes_reserve,0.0,False
da_as_ircmwt2_primary_reserve,0.0,False
da_as_ircmwt2_synchronized_reserve,0.0,False
da_as_ircmwt2_thirty_minutes_reserve,0.0,False
