feature,score,selected
total_pjm_rt_load_mwh,11006.363347920991,True
total_gen,8771.83270064553,True
metered_load_mw,3249.210621944357,True
gen_fuel_gas_mw,2931.1283198577407,True
wind_generation_mw,2814.7377016193523,True
gen_fuel_wind_mw,2055.963303967592,True
gross_inadv_interchange_mw,1563.063226470493,True
prelim_load_avg_hourly,1486.4856769827106,True
gen_fuel_coal_mw,1201.5085068269227,True
net_actual_interchange_mw,1185.3699265281966,True
gen_fuel_gas_pct,1126.5893763466063,True
forecast_load_mw_day_ahead,1098.9831232266165,True
gen_fuel_solar_mw,1061.3324323380557,True
gen_fuel_hydro_pct,802.8973150790424,True
forecast_load_mw_latest_available,739.6963921383663,True
gen_fuel_hydro_mw,599.8740985036196,True
da_as_as_req_mw_thirty_minutes_reserve,590.0325698727917,True
gen_fuel_nuclear_pct,582.6036745128821,True
gen_fuel_wind_pct,580.459871252496,True
gen_fuel_nuclear_mw,548.4329795256416,True
gen_fuel_solar_pct,490.8533106902695,True
da_as_as_req_mw_primary_reserve,471.7188001768646,True
gen_fuel_coal_pct,387.12008193795924,True
solar_generation_mw,338.7902273384479,True
gross_sched_interchange_mw,235.73507507684405,True
total_pjm_reg_purchases,232.3015894295182,True
marginal_loss_price_rt,230.09863526125366,True
system_energy_price_rt,223.46883968849605,True
gen_fuel_other_renewables_mw,192.761611995984,True
rmccp,188.05076096024376,True
total_pjm_rmccp_cr,185.53316456953425,True
gen_fuel_multiple_fuels_pct,136.4601511131315,True
gen_fuel_other_renewables_pct,118.46848306390055,False
total_pjm_rmpcp_cr,109.17631673864703,False
da_as_total_mw_synchronized_reserve,94.1002247065648,False
total_pjm_loc_credit,65.41960667993162,False
da_as_total_mw_thirty_minutes_reserve,60.02696950394096,False
gen_fuel_multiple_fuels_mw,56.20808434576569,False
da_as_mcp_primary_reserve,56.06389524830963,False
da_as_ss_mw_primary_reserve,55.81836632833091,False
congestion_price_rt,50.031224030356306,False
gen_fuel_oil_mw,46.04398948098694,False
total_pjm_assigned_reg,43.45781358528968,False
da_as_as_req_mw_synchronized_reserve,42.68858972711803,False
gen_fuel_storage_mw,42.00613580521621,False
total_pjm_self_sched_reg,27.937507709320325,False
da_as_total_mw_primary_reserve,27.567165339760688,False
system_energy_price_da,26.237601383525984,False
congestion_price_da,18.19522988907421,False
gen_fuel_oil_pct,16.40171407440705,False
marginal_loss_price_da,16.175476636042244,False
rmpcp,7.077885001526065,False
da_as_as_mw_synchronized_reserve,6.78546123733229,False
net_inadv_interchange_mw,6.595529358327219,False
total_lmp_da,2.9759556491617927,False
da_as_as_mw_thirty_minutes_reserve,1.379086867207317,False
total_losses,0.23183108861441454,False
da_as_mcp_synchronized_reserve,0.2059489561021062,False
da_as_ss_mw_synchronized_reserve,1.4315864368179518e-14,False
da_as_ss_mw_thirty_minutes_reserve,1.292838198561212e-14,False
gen_fuel_storage_pct,0.0,False
da_as_mcp_thirty_minutes_reserve,0.0,False
da_as_as_mw_primary_reserve,0.0,False
da_as_ircmwt2_primary_reserve,0.0,False
da_as_ircmwt2_synchronized_reserve,0.0,False
da_as_ircmwt2_thirty_minutes_reserve,0.0,False
da_as_nsr_mw_primary_reserve,0.0,False
total_lmp_rt,0.0,False
net_sched_interchange_mw,0.0,False
