feature,score,selected
net_actual_interchange_mw,221944784.0,True
da_as_as_req_mw_synchronized_reserve,119871184.0,True
da_as_as_req_mw_thirty_minutes_reserve,63616256.0,True
gen_fuel_nuclear_mw,28564518.0,False
gen_fuel_multiple_fuels_pct,20016152.0,False
total_losses,14158693.0,False
total_lmp_da,13845840.0,False
marginal_loss_price_da,13825873.0,False
total_pjm_assigned_reg,12993494.0,False
gen_fuel_coal_mw,12592569.0,False
gen_fuel_other_renewables_pct,11831491.0,False
gross_sched_interchange_mw,9242567.0,False
total_pjm_rmpcp_cr,7840786.0,False
metered_load_mw,5987920.0,False
system_energy_price_da,5028565.5,False
gen_fuel_wind_pct,4965478.0,False
da_as_as_mw_thirty_minutes_reserve,3439648.0,False
total_pjm_reg_purchases,3401624.75,False
da_as_as_req_mw_primary_reserve,3348699.0,False
total_gen,3265700.0,False
gross_actual_interchange_mw,3261910.0,False
gen_fuel_other_renewables_mw,2234209.5,False
da_as_total_mw_thirty_minutes_reserve,1786649.0,False
da_as_mcp_synchronized_reserve,1681711.875,False
prelim_load_avg_hourly,1570683.125,False
gen_fuel_nuclear_pct,1520100.375,False
forecast_load_mw_latest_available,1477026.125,False
gen_fuel_coal_pct,1286000.875,False
net_inadv_interchange_mw,1164105.375,False
da_as_total_mw_primary_reserve,641603.3125,False
da_as_as_mw_synchronized_reserve,582343.5,False
gen_fuel_oil_mw,497938.15625,False
da_as_nsr_mw_primary_reserve,476995.03125,False
da_as_total_mw_synchronized_reserve,342924.96875,False
gen_fuel_gas_mw,329698.5625,False
marginal_loss_price_rt,299323.21875,False
gen_fuel_multiple_fuels_mw,230345.640625,False
total_pjm_loc_credit,207535.125,False
total_pjm_rt_load_mwh,162588.90625,False
gross_inadv_interchange_mw,151883.875,False
gen_fuel_solar_pct,148718.0625,False
da_as_as_mw_primary_reserve,140789.859375,False
wind_generation_mw,140405.84375,False
gen_fuel_solar_mw,128118.6640625,False
forecast_load_mw_day_ahead,121084.5703125,False
gen_fuel_wind_mw,94726.1953125,False
solar_generation_mw,86678.984375,False
total_pjm_self_sched_reg,84537.984375,False
congestion_price_rt,71745.109375,False
gen_fuel_gas_pct,71343.1875,False
gen_fuel_storage_mw,66883.4609375,False
gen_fuel_oil_pct,63828.27734375,False
da_as_ss_mw_synchronized_reserve,62781.30859375,False
da_as_ss_mw_primary_reserve,62729.76953125,False
total_pjm_rmccp_cr,59336.3359375,False
congestion_price_da,54506.54296875,False
total_lmp_rt,52990.703125,False
gen_fuel_hydro_pct,45525.99609375,False
system_energy_price_rt,45146.6796875,False
da_as_mcp_primary_reserve,42502.3203125,False
rmccp,42361.51171875,False
gen_fuel_hydro_mw,36575.78125,False
rmpcp,29464.001953125,False
gen_fuel_storage_pct,0.0,False
da_as_mcp_thirty_minutes_reserve,0.0,False
da_as_ss_mw_thirty_minutes_reserve,0.0,False
da_as_ircmwt2_primary_reserve,0.0,False
da_as_ircmwt2_synchronized_reserve,0.0,False
da_as_ircmwt2_thirty_minutes_reserve,0.0,False
