epoch,feature_index,feature,gate
1,1,marginal_loss_price_rt,0.9833997
1,2,rmccp,0.99613273
1,3,system_energy_price_rt,1.0056137
1,4,total_lmp_rt,1.028551
1,5,system_energy_price_da,0.95134777
1,6,total_lmp_da,0.9843779
1,7,total_pjm_rmccp_cr,0.9563787
1,8,gen_fuel_oil_pct,0.94224906
1,9,metered_load_mw,0.9547749
1,10,gen_fuel_oil_mw,0.95171815
1,11,total_pjm_rt_load_mwh,0.9695886
1,12,gen_fuel_gas_mw,0.94803566
1,13,gen_fuel_multiple_fuels_mw,0.9372887
1,14,gen_fuel_nuclear_pct,0.9390493
1,15,forecast_load_mw_latest_available,0.97002524
1,16,gen_fuel_coal_mw,0.9490915
1,17,da_as_mcp_synchronized_reserve,0.9508643
1,18,marginal_loss_price_da,0.9659098
1,19,prelim_load_avg_hourly,0.9351493
1,20,forecast_load_mw_day_ahead,0.94174343
1,21,total_gen,0.9399788
1,22,gen_fuel_other_renewables_pct,0.93665123
1,23,da_as_as_mw_thirty_minutes_reserve,0.94748026
1,24,gen_fuel_multiple_fuels_pct,0.9976035
1,25,da_as_total_mw_thirty_minutes_reserve,0.9535059
1,26,total_losses,0.94982547
1,27,gross_inadv_interchange_mw,0.9554739
1,28,gen_fuel_storage_mw,0.9446148
1,29,total_pjm_reg_purchases,0.9401052
1,30,congestion_price_da,0.9925809
1,31,da_as_mcp_primary_reserve,0.9477976
1,32,gen_fuel_hydro_mw,0.94480264
1,33,gen_fuel_coal_pct,0.9368319
1,34,total_pjm_loc_credit,0.9392396
1,35,gen_fuel_gas_pct,0.9386468
1,36,gross_actual_interchange_mw,0.94096303
1,37,total_pjm_assigned_reg,0.9431787
1,38,gen_fuel_nuclear_mw,0.9452507
1,39,da_as_ss_mw_synchronized_reserve,0.939147
1,40,da_as_as_mw_synchronized_reserve,0.95479304
2,1,marginal_loss_price_rt,0.9927611
2,2,rmccp,0.96970665
2,3,system_energy_price_rt,1.0197738
2,4,total_lmp_rt,1.0462997
2,5,system_energy_price_da,0.9122135
2,6,total_lmp_da,0.95697325
2,7,total_pjm_rmccp_cr,0.9265658
2,8,gen_fuel_oil_pct,0.89350396
2,9,metered_load_mw,0.9117569
2,10,gen_fuel_oil_mw,0.91698784
2,11,total_pjm_rt_load_mwh,0.94742423
2,12,gen_fuel_gas_mw,0.9023284
2,13,gen_fuel_multiple_fuels_mw,0.88493574
2,14,gen_fuel_nuclear_pct,0.8975408
2,15,forecast_load_mw_latest_available,0.95135695
2,16,gen_fuel_coal_mw,0.92679834
2,17,da_as_mcp_synchronized_reserve,0.9238228
2,18,marginal_loss_price_da,0.92671394
2,19,prelim_load_avg_hourly,0.8770932
2,20,forecast_load_mw_day_ahead,0.9122005
2,21,total_gen,0.88911897
2,22,gen_fuel_other_renewables_pct,0.8814429
2,23,da_as_as_mw_thirty_minutes_reserve,0.9257888
2,24,gen_fuel_multiple_fuels_pct,0.976844
2,25,da_as_total_mw_thirty_minutes_reserve,0.9158115
2,26,total_losses,0.92648596
2,27,gross_inadv_interchange_mw,0.9325958
2,28,gen_fuel_storage_mw,0.9187618
2,29,total_pjm_reg_purchases,0.8843491
2,30,congestion_price_da,1.0061115
2,31,da_as_mcp_primary_reserve,0.9143934
2,32,gen_fuel_hydro_mw,0.90118945
2,33,gen_fuel_coal_pct,0.8958642
2,34,total_pjm_loc_credit,0.8958893
2,35,gen_fuel_gas_pct,0.91515565
2,36,gross_actual_interchange_mw,0.90308183
2,37,total_pjm_assigned_reg,0.9018816
2,38,gen_fuel_nuclear_mw,0.9224918
2,39,da_as_ss_mw_synchronized_reserve,0.88348204
2,40,da_as_as_mw_synchronized_reserve,0.90948874
3,1,marginal_loss_price_rt,0.9876968
3,2,rmccp,0.94743216
3,3,system_energy_price_rt,1.0231016
3,4,total_lmp_rt,1.0505319
