feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,gate,final_gate,best_epoch_gate
1,system_energy_price_rt,1,60,marginal_loss_price_da,0.9095413989403512,0.4907848599698654,0.5875455319563815,0.3466335633921987,0.5762859380859969,0.041056609583291555,1,1,1,1,1,0,5,0.9095413989403512,0.004812887,0.004812887,0.09473819
2,total_lmp_da,2,58,marginal_loss_price_da,0.29943906062607756,0.5743136106091592,0.841347933307571,0.4042035029190993,0.6791203981073922,0.04837056727699043,1,1,1,1,1,0,5,0.841347933307571,0.5222166,0.5222166,0.72352433
3,rmccp,3,29,marginal_loss_price_da,0.7769989597737383,0.24415301062877096,0.23330501571439607,0.12796494550058873,0.24651896809362867,0.013796910694126113,1,1,1,1,1,0,5,0.7769989597737383,0.082568124,0.082568124,0.15812525
4,marginal_loss_price_rt,4,63,marginal_loss_price_da,0.7675180955741931,0.494426982408911,0.6113127982438413,0.3258890841356259,0.5644852959452381,0.18536579768964817,1,1,1,1,1,0,5,0.7675180955741931,0.121984676,0.121984676,0.20701946
5,system_energy_price_da,5,57,marginal_loss_price_da,0.2797806298400012,0.5645126483146551,0.7652882407818409,0.4074034700443628,0.6981903179772962,0.04888394760698734,1,1,1,1,1,0,5,0.7652882407818409,0.29991788,0.29991788,0.60199684
6,total_lmp_rt,6,61,marginal_loss_price_da,0.7404558489672115,0.5030725887326774,0.6066323229843839,0.3599582985821518,0.5670295419647982,0.04042818865226165,1,1,1,1,1,0,5,0.7404558489672115,0.031220432,0.031220432,0.13436478
7,gen_fuel_oil_mw,7,10,marginal_loss_price_da,0.16376082319024937,0.39402093402158217,0.6793944137134279,0.2635810612942787,0.5296820361875494,0.03535841743512321,1,1,1,1,1,0,5,0.6793944137134279,0.13222079,0.13222079,0.2597759
8,gen_fuel_oil_pct,8,20,marginal_loss_price_da,0.14784358111239396,0.32155168293640973,0.6121782077868251,0.24868335062446215,0.5054693108929456,0.2086327724165498,1,1,1,1,1,0,5,0.6121782077868251,0.09905594,0.09905594,0.2150766
9,metered_load_mw,9,28,marginal_loss_price_da,0.26295169827884696,0.5926988045386328,0.5649605887770428,0.4199360578259661,0.5766075174099836,0.04324680260451169,1,1,1,1,1,0,5,0.5926988045386328,0.0006397204,0.0006397204,0.002974512
10,forecast_load_mw_latest_available,10,25,marginal_loss_price_da,0.21082412442557566,0.5790705302838127,0.5580917971331907,0.4267841169697568,0.5886459898249933,0.04458927130386745,1,1,1,1,1,0,5,0.5886459898249933,0.08566685,0.08566685,0.25495923
11,total_losses,11,2,marginal_loss_price_da,0.19334427346750294,0.5884347699510867,0.5309169037504501,0.4059917095379901,0.5845563806028253,0.035690393191314375,1,1,1,1,1,0,5,0.5884347699510867,0.20135428,0.20135428,0.36528802
12,total_pjm_rt_load_mwh,12,31,marginal_loss_price_da,0.22375249373742817,0.5868813504505681,0.5509923680260506,0.387209323338327,0.5523628619922576,0.040424332982543026,1,1,1,1,1,0,5,0.5868813504505681,0.035415065,0.035415065,0.19154799
