feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,gate,final_gate,best_epoch_gate
1,total_pjm_loc_credit,1,4,total_gen,0.2176367564838068,0.2503041235076004,0.2234682430381525,0.1528747865131799,0.2062382556334678,0.6908078662716721,1,1,1,1,1,1,6,0.6908078662716721,0.052050963,0.052050963,0.059292868
2,total_losses,2,1,total_gen,0.1468273626242881,0.6809308647398136,0.6229598837246567,0.4792476208710345,0.6257201052858437,0.4547534705140394,1,1,1,1,1,1,6,0.6809308647398136,0.22214085,0.22214085,0.26976106
3,da_as_nsr_mw_primary_reserve,3,28,total_gen,0.0933890551007897,0.2166575861700769,0.1751082731328755,0.149626322930156,0.2113158925693662,0.3937117979116362,1,1,1,1,1,1,6,0.3937117979116362,0.08826342,0.08826342,0.111433364
4,total_pjm_rmccp_cr,4,8,total_gen,0.3448107111912306,0.1715591812374066,0.1214655757360298,0.1278244926471077,0.2046575587748161,0.9414012603085294,1,1,0,1,1,1,5,0.9414012603085294,-0.0013848278,-0.0013848278,-0.0006206275
5,net_actual_interchange_mw,5,37,total_gen,0.0429190502255236,-0.2407997534221947,-0.253218056758165,-0.1591715318320822,0.2413055934528306,0.9147660389969904,0,1,1,1,1,1,5,0.9147660389969904,0.22914128,0.22914128,0.28052196
6,net_sched_interchange_mw,6,38,total_gen,0.0284429103109221,-0.2347715123079457,-0.2429326796636922,-0.1692258612912983,0.2503338100784876,0.9095059112094184,0,1,1,1,1,1,5,0.9095059112094184,0.0016131258,0.0016131258,0.001985625
7,gross_actual_interchange_mw,7,40,total_gen,0.0468316706065978,0.3424305448286484,0.3160323985255335,0.2731180658313599,0.3810524340766066,0.9015747354020268,0,1,1,1,1,1,5,0.9015747354020268,0.12029701,0.12029701,0.14917336
8,marginal_loss_price_rt,8,36,total_gen,0.9001795432782935,0.59097025798741,0.4476118991648905,0.3902800781995735,0.4975149080572484,0.0311968402460054,1,1,1,1,1,0,5,0.9001795432782935,0.11054802,0.11054802,0.12757829
9,gross_inadv_interchange_mw,9,42,total_gen,0.0556376064070579,0.4477988358051816,0.466576138962906,0.2933917153183208,0.449205075129589,0.8985761841883554,0,1,1,1,1,1,5,0.8985761841883554,0.124108635,0.124108635,0.14394784
10,gross_sched_interchange_mw,10,41,total_gen,0.0315491249360897,0.2505810172035109,0.2583654842487183,0.1669113149847094,0.2528621445632381,0.8741936149703781,0,1,1,1,1,1,5,0.8741936149703781,0.12182819,0.12182819,0.14726965
11,total_lmp_da,11,30,total_gen,0.3087269545044169,0.6110360381151153,0.6098689367977796,0.4177342229635808,0.5801055253481916,0.1901252553932602,1,1,1,1,1,0,5,0.6110360381151153,0.26674104,0.26674104,0.3342822
