feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,gate,final_gate,best_epoch_gate
1,total_pjm_rmccp_cr,1,8,metered_load_mw,0.6413646036159828,0.221294493063359,0.1449065991707505,0.1619373430892856,0.2267416364456038,0.9381864664179348,1,1,1,1,1,1,6,0.9381864664179348,0.057324763,0.057324763,0.12998971
2,gross_actual_interchange_mw,2,40,metered_load_mw,0.0510111781595187,0.3525537119959918,0.3161015267452364,0.2775817036164909,0.3868677051065435,0.9032595168662187,1,1,1,1,1,1,6,0.9032595168662187,0.0879193,0.0879193,0.2501466
3,gross_inadv_interchange_mw,3,42,metered_load_mw,0.063829356500991,0.4534824241647138,0.4604961198758331,0.2966055045871559,0.4444329606358667,0.8962863293167977,1,1,1,1,1,1,6,0.8962863293167977,0.10071473,0.10071473,0.28433657
4,total_losses,4,1,metered_load_mw,0.1611935964823416,0.7114637287921782,0.6507576493159848,0.5053446717194987,0.6535409702445265,0.4586250796181312,1,1,1,1,1,1,6,0.7114637287921782,0.1858396,0.1858396,0.5253101
5,total_lmp_rt,5,34,metered_load_mw,0.6990946598756709,0.5880926275658475,0.4290492909843453,0.4395718654434251,0.5252432934960058,0.1885390017645408,1,1,1,1,1,1,6,0.6990946598756709,0.0023607563,0.0023607563,0.0017314303
6,total_pjm_loc_credit,6,4,metered_load_mw,0.0860218805695766,0.2400462189032951,0.2290766338656186,0.1457169985699864,0.2077792376432478,0.6895543672283039,1,1,1,1,1,1,6,0.6895543672283039,0.04094182,0.04094182,0.1239688
7,total_lmp_da,7,30,metered_load_mw,0.3888597883353326,0.6870089870009985,0.6427542799587387,0.485410063942174,0.6321873253652813,0.1909073641733778,1,1,1,1,1,1,6,0.6870089870009985,0.06325718,0.06325718,0.5024901
8,system_energy_price_da,8,29,metered_load_mw,0.3429405217052234,0.6762730124282668,0.6223172557496047,0.4770260370093065,0.6272803832104812,0.1841777576034951,1,1,1,1,1,1,6,0.6762730124282668,0.29756573,0.29756573,0.6627931
9,system_energy_price_rt,9,33,metered_load_mw,0.2362855020958329,0.6052563176270912,0.5285200378097258,0.4192127066747636,0.5207724834931552,0.1863830742949616,1,1,1,1,1,1,6,0.6052563176270912,0.094135545,0.094135545,0.29192573
10,da_as_nsr_mw_primary_reserve,10,28,metered_load_mw,0.0870283100204658,0.2055056292895763,0.1691326918225941,0.1402551893527724,0.2084468134311468,0.3951621992020019,1,1,1,1,1,1,6,0.3951621992020019,-0.001953202,-0.001953202,0.0038365969
11,congestion_price_da,11,31,metered_load_mw,0.1761464135439775,0.2074230401811625,0.3408902542705892,0.0950667883422444,0.3162958331655205,0.0714478556990709,1,1,1,1,1,1,6,0.3408902542705892,0.08647649,0.08647649,0.22889434
12,da_as_mcp_synchronized_reserve,12,11,metered_load_mw,0.3081412396469705,0.2366659764011788,0.3345393198651681,0.1960027975361156,0.3285745827017226,0.067030968016487,1,1,1,1,1,1,6,0.3345393198651681,0.13446082,0.13446082,0.50647193
13,da_as_mcp_primary_reserve,13,10,metered_load_mw,0.2318210046410395,0.191448913087424,0.3161955476708337,0.1320448228568946,0.2712863274454468,0.0614781490451098,1,1,1,1,1,1,6,0.3161955476708337,0.06697206,0.06697206,0.20106186
14,da_as_as_req_mw_synchronized_reserve,14,14,metered_load_mw,0.115161277167881,0.2880107002620889,0.2955659660985681,0.225018948633721,0.2885843281836121,0.0663031403596205,1,1,1,1,1,1,6,0.2955659660985681,-0.006380966,-0.006380966,0.02994348
15,da_as_as_mw_primary_reserve,15,19,metered_load_mw,0.0690298778231228,0.2422194609933631,0.2552456543301656,0.1846651487301232,0.287420474476495,0.1227851856633155,1,1,1,1,1,1,6,0.287420474476495,0.015550412,0.015550412,0.114639945
16,da_as_as_req_mw_primary_reserve,16,13,metered_load_mw,0.1166675161526741,0.2740621439500204,0.2766119365649837,0.1923953773722357,0.2585162829647454,0.0651995883314777,1,1,1,1,1,1,6,0.2766119365649837,0.077321805,0.077321805,0.24483737
17,da_as_total_mw_primary_reserve,17,16,metered_load_mw,0.0710009725555608,0.269895463222803,0.2671038792731289,0.156072302822349,0.2454592770534737,0.1239333999058893,1,1,1,1,1,1,6,0.269895463222803,0.082349546,0.082349546,0.22599316
18,rmccp,18,2,metered_load_mw,0.1724974612775343,0.2134738415966139,0.1683206257031821,0.1370218744664982,0.1947048199907229,0.206909795006415,1,1,1,1,1,1,6,0.2134738415966139,-0.00022197641,-0.00022197641,0.0010849383
19,marginal_loss_price_rt,19,36,metered_load_mw,1.0,0.6528989253221885,0.4737233990648128,0.4479596213189059,0.5490005311076042,0.0311393824590179,1,1,1,1,1,0,5,1.0,0.043174885,0.043174885,0.021501536
