feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,gate,final_gate,best_epoch_gate
1,marginal_loss_price_da,1,58,congestion_price_da,0.1753233789337878,0.2751791521228228,0.4097176326633113,0.2043397275507367,0.4815495599642888,0.1089663347756906,1,1,1,1,1,1,6,0.4815495599642888,0.41455096,0.41455096,0.6320888
2,marginal_loss_price_rt,2,62,congestion_price_da,0.4424567888994286,0.1503247969176917,0.2772317953599341,0.1208484706236759,0.3765080388465074,0.059527315790904,1,1,1,1,1,1,6,0.4424567888994286,0.34002975,0.34002975,0.56034297
3,gen_fuel_oil_pct,3,20,congestion_price_da,0.1180803812089085,0.1479742514621378,0.346321036791158,0.1153262972543392,0.441764860173081,0.0902751688011265,1,1,1,1,1,1,6,0.441764860173081,0.2354345,0.2354345,0.36831057
4,forecast_load_mw_latest_available,4,25,congestion_price_da,0.1707856909203091,0.1791194206253437,0.3207906538563241,0.1336828855869304,0.4208067642812516,0.0738309540488114,1,1,1,1,1,1,6,0.4208067642812516,0.3025743,0.3025743,0.43649253
5,metered_load_mw,5,28,congestion_price_da,0.1998257540447028,0.1914114873317468,0.3073906383012064,0.1409952738393105,0.3953578260107452,0.0743970264456094,1,1,1,1,1,1,6,0.3953578260107452,0.10603255,0.10603255,0.24135906
6,total_gen,6,1,congestion_price_da,0.1613078748337162,0.23503722491249,0.3304045306909396,0.1515416677381987,0.3877818787293748,0.0733420326529821,1,1,1,1,1,1,6,0.3877818787293748,0.0037899879,0.0037899879,0.02548092
7,forecast_load_mw_day_ahead,7,26,congestion_price_da,0.1627644816009783,0.19154156897559,0.3326177568873313,0.1471582134455432,0.3830378418345663,0.0774394931575239,1,1,1,1,1,1,6,0.3830378418345663,0.01672178,0.01672178,0.12648153
8,gen_fuel_nuclear_pct,8,19,congestion_price_da,0.1557483611105677,-0.2021955582820363,-0.2764259401437765,-0.1367722663252849,0.3599340387051249,0.0875441107490024,1,1,1,1,1,1,6,0.3599340387051249,0.047819324,0.047819324,0.122384526
9,prelim_load_avg_hourly,9,27,congestion_price_da,0.2244508637814059,0.1871749986231415,0.2826103121424271,0.1271644803509596,0.3569743054986436,0.0736619427189116,1,1,1,1,1,1,6,0.3569743054986436,0.051437482,0.051437482,0.208109
10,gen_fuel_hydro_mw,10,7,congestion_price_da,0.0634044814444089,0.2323593545950445,0.1778945609798767,0.1681980030935505,0.356318880466035,0.0648677487606524,1,1,1,1,1,1,6,0.356318880466035,0.01683102,0.01683102,0.09096739
11,da_as_mcp_synchronized_reserve,11,39,congestion_price_da,0.2090196035505415,0.2072971791660919,0.1453992452341733,0.1642680444467977,0.3437364046109868,0.0619850943709284,1,1,1,1,1,1,6,0.3437364046109868,0.32196385,0.32196385,0.50336635
12,total_pjm_rt_load_mwh,12,31,congestion_price_da,0.1761541840524756,0.2080659026971076,0.3389742636179345,0.0955449649325814,0.3143956255718181,0.0708925532787477,1,1,1,1,1,1,6,0.3389742636179345,0.006414676,0.006414676,0.12227227
13,gen_fuel_other_renewables_pct,13,21,congestion_price_da,0.0973555068541153,-0.2377260706976824,-0.221536448105749,-0.1759937977446164,0.328068574674687,0.0862241582257727,1,1,1,1,1,1,6,0.328068574674687,0.09732212,0.09732212,0.18734214
14,gen_fuel_gas_mw,14,6,congestion_price_da,0.1601618388710728,0.2003581149795699,0.276064543500538,0.1302266358338607,0.3162451439125698,0.0735028562435558,1,1,1,1,1,1,6,0.3162451439125698,0.003060374,0.003060374,0.0062100305
15,gen_fuel_coal_mw,15,5,congestion_price_da,0.1120005770783986,0.1189194672385159,0.2679633621788918,0.0823874970574311,0.2922020368943061,0.073334360154096,1,1,1,1,1,1,6,0.2922020368943061,0.008658251,0.008658251,0.13126045
16,total_lmp_rt,16,60,congestion_price_da,0.689610749530593,0.1996060871338784,0.3351976790315304,0.1329804461781187,0.3902354140652152,0.030190187582617,1,1,1,1,1,0,5,0.689610749530593,0.1664493,0.1664493,0.35010996
17,system_energy_price_da,17,57,congestion_price_da,0.2375386721413555,0.220557412821703,0.2964464050056236,0.1422500383934637,0.506566269900603,0.0375721049279645,1,1,1,1,1,0,5,0.506566269900603,0.7132221,0.7132221,0.93216634
18,gen_fuel_oil_mw,18,10,congestion_price_da,0.1883198131259029,0.1721250877150106,0.3448120048955616,0.0814288199785012,0.4344177108819007,0.0429003595287037,1,1,1,1,1,0,5,0.4344177108819007,0.04319694,0.04319694,0.13197629
19,da_as_mcp_primary_reserve,19,38,congestion_price_da,0.0902501045240657,0.1948433541294228,0.2920520509419504,0.1790703501573605,0.3853435256035714,0.0469468344124326,1,1,1,1,1,0,5,0.3853435256035714,0.26309848,0.26309848,0.4765912
20,system_energy_price_rt,20,59,congestion_price_da,0.2093428906686797,0.1813960350285754,0.3199083360651085,0.1119116290310958,0.3475059894213443,0.0280439475999891,1,1,1,1,1,0,5,0.3475059894213443,0.0024602737,0.0024602737,-0.002747423
21,total_losses,21,2,congestion_price_da,0.1096775303707976,0.106415138706345,0.2597934994427993,0.0847972589694213,0.2967650312765346,0.0373545721115101,1,1,1,1,1,0,5,0.2967650312765346,0.321738,0.321738,0.5258517
22,gross_inadv_interchange_mw,22,68,congestion_price_da,0.0423217489731517,0.1673415897232145,0.2409012437663726,0.1428607172643869,0.2784037615339987,0.0684390077615821,0,1,1,1,1,1,5,0.2784037615339987,0.3525941,0.3525941,0.59662414
23,gen_fuel_hydro_pct,23,17,congestion_price_da,0.0552087371289308,0.1862704946239421,0.1515806945683712,0.157310581075457,0.2689373841667823,0.0472079476905271,1,1,1,1,1,0,5,0.2689373841667823,0.21036282,0.21036282,0.3167522
24,da_as_as_req_mw_primary_reserve,24,41,congestion_price_da,0.1115931745843653,0.2537452046097569,0.2166757372782899,0.1762575955879766,0.2298399608415764,0.0253966812436503,1,1,1,1,1,0,5,0.2537452046097569,0.12139216,0.12139216,0.29465157
25,da_as_as_mw_thirty_minutes_reserve,25,49,congestion_price_da,0.2049791972992066,-0.1359733270653148,-0.1689362838524834,-0.0767642900936203,0.2491881905736098,0.0705052174277512,1,1,1,0,1,1,5,0.2491881905736098,0.00093747897,0.00093747897,0.13102747
26,gen_fuel_storage_mw,26,13,congestion_price_da,0.0600772278194421,0.1422866865228907,0.1069751241666738,0.1389905780644886,0.2392284476141876,0.0417144944882129,1,1,1,1,1,0,5,0.2392284476141876,0.22786,0.22786,0.40866154
27,da_as_as_req_mw_thirty_minutes_reserve,27,43,congestion_price_da,0.0542911454939222,0.2283394476151929,0.1842455157235572,0.1589017185752327,0.2161574780266553,0.0307980115629339,1,1,1,1,1,0,5,0.2283394476151929,0.23331767,0.23331767,0.38072634
28,da_as_as_req_mw_synchronized_reserve,28,42,congestion_price_da,0.0634062039037154,0.2186217961339316,0.193515110249978,0.1622351786256302,0.2098144684213563,0.0218758286435456,1,1,1,1,1,0,5,0.2186217961339316,0.24978253,0.24978253,0.41949975
29,da_as_total_mw_synchronized_reserve,29,45,congestion_price_da,0.0820921978555809,0.1653513167164177,0.1491733285623584,0.1241096375275842,0.2044003503194258,0.025903505068761,1,1,1,1,1,0,5,0.2044003503194258,0.11603901,0.11603901,0.1974536
30,total_pjm_loc_credit,30,32,congestion_price_da,0.0759329889423741,0.1979578579748785,0.1956682315480752,0.1443959785893999,0.1910225066550662,0.0478693055633273,1,1,1,1,1,0,5,0.1979578579748785,0.20566015,0.20566015,0.36555442
31,da_as_as_mw_synchronized_reserve,31,48,congestion_price_da,0.1271129089206811,0.1533401640757438,0.1377065851391986,0.1299450738460575,0.1971001740421712,0.023275081976448,1,1,1,1,1,0,5,0.1971001740421712,0.12729527,0.12729527,0.24070938
32,da_as_as_mw_primary_reserve,32,47,congestion_price_da,0.1021516341759489,0.1550428968394017,0.1323511670537906,0.0861289010270879,0.1861559429634206,0.0237181732768064,1,1,1,1,1,0,5,0.1861559429634206,0.02746297,0.02746297,0.070555545
33,da_as_total_mw_primary_reserve,33,44,congestion_price_da,0.0843715015520674,0.1212650023880487,0.1019954140467754,0.1077519041048804,0.1851641903324039,0.0145384606319224,1,1,1,1,1,0,5,0.1851641903324039,-0.00025339148,-0.00025339148,0.0072504873
34,congestion_price_rt,34,61,congestion_price_da,0.1596230128568001,0.0392632847730061,0.1789770536071602,0.0154596966030888,0.3139600950608277,0.064753194140105,1,0,1,0,1,1,4,0.3139600950608277,0.2705021,0.2705021,0.46235126
35,da_as_total_mw_thirty_minutes_reserve,35,46,congestion_price_da,0.1537887944408814,-0.0983473863190406,-0.12625387243642,-0.0754951191800471,0.3137492256144907,0.0716897956612019,1,0,1,0,1,1,4,0.3137492256144907,0.3782548,0.3782548,0.5415919
36,total_pjm_rmccp_cr,36,36,congestion_price_da,0.145611170195603,0.0973226756325648,0.279564904441747,0.0245000768066359,0.1911349297660044,0.0726258918508095,1,0,1,0,1,1,4,0.279564904441747,0.12418233,0.12418233,0.24160276
37,rmccp,37,29,congestion_price_da,0.2546214863706738,0.100560656992821,0.124553664848908,0.0735706172226679,0.2027742610216263,0.0182490209188954,1,1,1,0,1,0,4,0.2546214863706738,-0.0005953452,-0.0005953452,-0.011939714
38,gen_fuel_nuclear_mw,38,9,congestion_price_da,0.251876012345804,0.0970162293004918,0.2041391430806039,0.0427075951126227,0.1756298824969178,0.0649984128260688,1,0,1,0,1,1,4,0.251876012345804,0.3024375,0.3024375,0.46808684
39,gen_fuel_coal_pct,39,15,congestion_price_da,0.0813244692003414,0.100984504947006,0.1909949215130937,0.0756597238702117,0.236230203221335,0.0146344823661422,1,1,1,0,1,0,4,0.236230203221335,0.21204096,0.21204096,0.284208
40,gross_actual_interchange_mw,40,66,congestion_price_da,0.0502723863271756,0.0974255143914377,0.1786250126327558,0.0693981577691005,0.1939880474878083,0.0678674360370469,1,0,1,0,1,1,4,0.1939880474878083,0.3360916,0.3360916,0.5339432
