rank,index,center,related,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score
1,61,congestion_price_da,marginal_loss_price_rt,0.7753131659376344,0.18693635756224064,0.3608663265299061,0.1384459804702059,0.43081636933501816,0.05892168840760836,1,1,1,1,1,1,6,0.7753131659376344
2,57,congestion_price_da,marginal_loss_price_da,0.2019473214323612,0.295980588894717,0.3249754296252046,0.19573686109044278,0.5083671192959154,0.11648332778137345,1,1,1,1,1,1,6,0.5083671192959154
3,20,congestion_price_da,gen_fuel_oil_pct,0.11808038120890853,0.14797425146213783,0.346321036791158,0.11532629725433927,0.441764860173081,0.09027516880112658,1,1,1,1,1,1,6,0.441764860173081
4,25,congestion_price_da,forecast_load_mw_latest_available,0.1707856909203091,0.17911942062534375,0.32079065385632416,0.13368288558693042,0.4208067642812516,0.07383095404881147,1,1,1,1,1,1,6,0.4208067642812516
5,28,congestion_price_da,metered_load_mw,0.19982575404470285,0.19141148733174687,0.30739063830120644,0.14099527383931051,0.3953578260107452,0.0743970264456094,1,1,1,1,1,1,6,0.3953578260107452
6,1,congestion_price_da,total_gen,0.16130787483371628,0.23503722491249007,0.3304045306909396,0.15154166773819877,0.3877818787293748,0.0733420326529821,1,1,1,1,1,1,6,0.3877818787293748
7,26,congestion_price_da,forecast_load_mw_day_ahead,0.16276448160097834,0.19154156897559005,0.33261775688733136,0.1471582134455432,0.3830378418345663,0.07743949315752391,1,1,1,1,1,1,6,0.3830378418345663
8,19,congestion_price_da,gen_fuel_nuclear_pct,0.1557483611105677,-0.20219555828203634,-0.2764259401437765,-0.13677226632528497,0.35993403870512497,0.08754411074900245,1,1,1,1,1,1,6,0.35993403870512497
9,27,congestion_price_da,prelim_load_avg_hourly,0.2244508637814059,0.18717499862314155,0.2826103121424271,0.12716448035095962,0.3569743054986436,0.0736619427189116,1,1,1,1,1,1,6,0.3569743054986436
10,7,congestion_price_da,gen_fuel_hydro_mw,0.06340448144440895,0.2323593545950445,0.17789456097987677,0.16819800309355054,0.356318880466035,0.06486774876065249,1,1,1,1,1,1,6,0.356318880466035
11,39,congestion_price_da,da_as_mcp_synchronized_reserve,0.2090196035505415,0.2072971791660919,0.14539924523417336,0.1642680444467977,0.34373640461098687,0.06198509437092847,1,1,1,1,1,1,6,0.34373640461098687
12,31,congestion_price_da,total_pjm_rt_load_mwh,0.17615418405247568,0.20806590269710762,0.3389742636179345,0.09554496493258141,0.31439562557181816,0.0708925532787477,1,1,1,1,1,1,6,0.3389742636179345
13,21,congestion_price_da,gen_fuel_other_renewables_pct,0.09735550685411531,-0.2377260706976824,-0.22153644810574907,-0.17599379774461646,0.32806857467468703,0.08622415822577272,1,1,1,1,1,1,6,0.32806857467468703
14,6,congestion_price_da,gen_fuel_gas_mw,0.1601618388710728,0.20035811497956998,0.276064543500538,0.13022663583386074,0.3162451439125698,0.07350285624355586,1,1,1,1,1,1,6,0.3162451439125698
15,5,congestion_price_da,gen_fuel_coal_mw,0.1120005770783986,0.1189194672385159,0.2679633621788918,0.08238749705743112,0.2922020368943061,0.07333436015409604,1,1,1,1,1,1,6,0.2922020368943061
16,67,congestion_price_da,gross_inadv_interchange_mw,0.057485184737969174,0.1854847646300277,0.24250255144958377,0.1200806227411732,0.2823273406374414,0.06860947784141738,1,1,1,1,1,1,6,0.2823273406374414
17,58,congestion_price_da,system_energy_price_rt,0.6214823762667712,0.1802779854827623,0.3149900048030528,0.1323225827438471,0.41139105466092923,0.03524599298405101,1,1,1,1,1,0,5,0.6214823762667712
18,10,congestion_price_da,gen_fuel_oil_mw,0.18831981312590293,0.1721250877150106,0.3448120048955616,0.08142881997850128,0.4344177108819007,0.042900359528703795,1,1,1,1,1,0,5,0.4344177108819007
19,38,congestion_price_da,da_as_mcp_primary_reserve,0.09025010452406572,0.1948433541294228,0.2920520509419504,0.17907035015736056,0.3853435256035714,0.046946834412432664,1,1,1,1,1,0,5,0.3853435256035714
20,59,congestion_price_da,total_lmp_rt,0.205644211641215,0.18092228745591216,0.3198345989715994,0.11133166527661939,0.3476042787018433,0.028015438602268673,1,1,1,1,1,0,5,0.3476042787018433
21,2,congestion_price_da,total_losses,0.10967753037079761,0.10641513870634506,0.25979349944279934,0.08479725896942136,0.2967650312765346,0.03735457211151017,1,1,1,1,1,0,5,0.2967650312765346
22,17,congestion_price_da,gen_fuel_hydro_pct,0.05520873712893088,0.18627049462394218,0.15158069456837123,0.157310581075457,0.2689373841667823,0.047207947690527115,1,1,1,1,1,0,5,0.2689373841667823
23,41,congestion_price_da,da_as_as_req_mw_primary_reserve,0.11159317458436538,0.25374520460975697,0.21667573727828998,0.1762575955879766,0.2298399608415764,0.025396681243650333,1,1,1,1,1,0,5,0.25374520460975697
24,49,congestion_price_da,da_as_as_mw_thirty_minutes_reserve,0.20497919729920666,-0.13597332706531481,-0.16893628385248344,-0.07676429009362033,0.24918819057360983,0.07050521742775123,1,1,1,0,1,1,5,0.24918819057360983
25,13,congestion_price_da,gen_fuel_storage_mw,0.06007722781944215,0.14228668652289078,0.10697512416667383,0.13899057806448867,0.2392284476141876,0.04171449448821293,1,1,1,1,1,0,5,0.2392284476141876
26,43,congestion_price_da,da_as_as_req_mw_thirty_minutes_reserve,0.05429114549392225,0.22833944761519295,0.18424551572355727,0.15890171857523278,0.2161574780266553,0.030798011562933953,1,1,1,1,1,0,5,0.22833944761519295
27,42,congestion_price_da,da_as_as_req_mw_synchronized_reserve,0.06340620390371547,0.2186217961339316,0.19351511024997803,0.16223517862563025,0.2098144684213563,0.021875828643545616,1,1,1,1,1,0,5,0.2186217961339316
28,45,congestion_price_da,da_as_total_mw_synchronized_reserve,0.08209219785558092,0.1653513167164177,0.1491733285623584,0.12410963752758424,0.20440035031942586,0.025903505068761053,1,1,1,1,1,0,5,0.20440035031942586
29,32,congestion_price_da,total_pjm_loc_credit,0.07593298894237416,0.19795785797487858,0.19566823154807525,0.14439597858939993,0.19102250665506623,0.04786930556332734,1,1,1,1,1,0,5,0.19795785797487858
30,48,congestion_price_da,da_as_as_mw_synchronized_reserve,0.1271129089206811,0.15334016407574388,0.13770658513919867,0.1299450738460575,0.1971001740421712,0.023275081976448033,1,1,1,1,1,0,5,0.1971001740421712
31,47,congestion_price_da,da_as_as_mw_primary_reserve,0.10215163417594894,0.15504289683940173,0.13235116705379063,0.08612890102708796,0.1861559429634206,0.0237181732768064,1,1,1,1,1,0,5,0.1861559429634206
32,44,congestion_price_da,da_as_total_mw_primary_reserve,0.08437150155206749,0.12126500238804877,0.10199541404677548,0.10775190410488049,0.18516419033240394,0.014538460631922401,1,1,1,1,1,0,5,0.18516419033240394
33,65,congestion_price_da,gross_actual_interchange_mw,0.07570906052761124,0.10447248897621182,0.18204752908995656,0.030076473503255458,0.15424266050703644,0.06887118852583693,1,1,1,0,1,1,5,0.18204752908995656
34,60,congestion_price_da,congestion_price_rt,0.09755858612473607,0.028618837829192226,0.15476739670186093,0.05264536831044245,0.3217386822624579,0.05830555528573273,1,0,1,0,1,1,4,0.3217386822624579
35,46,congestion_price_da,da_as_total_mw_thirty_minutes_reserve,0.1537887944408814,-0.09834738631904066,-0.12625387243642,-0.0754951191800471,0.3137492256144907,0.07168979566120193,1,0,1,0,1,1,4,0.3137492256144907
36,36,congestion_price_da,total_pjm_rmccp_cr,0.14561117019560307,0.09732267563256489,0.279564904441747,0.02450007680663599,0.19113492976600446,0.07262589185080957,1,0,1,0,1,1,4,0.279564904441747
37,29,congestion_price_da,rmccp,0.2546214863706738,0.10056065699282103,0.12455366484890804,0.07357061722266796,0.20277426102162638,0.018249020918895426,1,1,1,0,1,0,4,0.2546214863706738
38,9,congestion_price_da,gen_fuel_nuclear_mw,0.251876012345804,0.09701622930049188,0.2041391430806039,0.04270759511262274,0.17562988249691786,0.06499841282606886,1,0,1,0,1,1,4,0.251876012345804
39,15,congestion_price_da,gen_fuel_coal_pct,0.08132446920034143,0.10098450494700603,0.1909949215130937,0.0756597238702117,0.23623020322133506,0.014634482366142282,1,1,1,0,1,0,4,0.23623020322133506
40,33,congestion_price_da,total_pjm_reg_purchases,0.09950674988465384,0.1207841361273876,0.14197869166782798,0.06099805393383375,0.18851687001146833,0.039889181171657226,1,1,1,0,1,0,4,0.18851687001146833
41,3,congestion_price_da,wind_generation_mw,0.04095161460756207,-0.1241441213769344,-0.06045408817134203,-0.08589380038921322,0.11150052428744668,0.0683297490527857,0,1,0,1,1,1,4,0.1241441213769344
42,8,congestion_price_da,gen_fuel_multiple_fuels_mw,0.15353667888405587,0.04650432162737981,0.1387313155882062,-0.0019416723767840228,0.27462992124658797,0.047273233125750394,1,0,1,0,1,0,3,0.27462992124658797
43,66,congestion_price_da,gross_sched_interchange_mw,0.004025721311827396,0.05865488563483783,0.1583350745015281,0.030760377231295467,0.1526720249162888,0.06545746270334363,0,0,1,0,1,1,3,0.1583350745015281
44,35,congestion_price_da,total_pjm_assigned_reg,0.06554341302527508,0.09465582027466342,0.1257697013900885,0.05597138114000063,0.15398365315730952,0.03591153010415207,1,0,1,0,1,0,3,0.15398365315730952
45,16,congestion_price_da,gen_fuel_gas_pct,0.021617764366265946,0.10780209897599269,0.12636302969411792,0.07623644366690209,0.14463081095584462,0.003900829646713909,0,1,1,0,1,0,3,0.14463081095584462
46,14,congestion_price_da,gen_fuel_wind_mw,0.04038193420625674,-0.07899236410471563,-0.032871840312816314,-0.0832345757198768,0.10900767698705652,0.0689745768668826,0,0,0,1,1,1,3,0.10900767698705652
47,18,congestion_price_da,gen_fuel_multiple_fuels_pct,0.13194918123607813,-0.07604468551256652,-0.035414418691218676,0.01047257685345692,0.19921078899204397,0.046495386180929126,1,0,0,0,1,0,2,0.19921078899204397
48,62,congestion_price_da,net_actual_interchange_mw,0.036304741450724626,-0.03843984962151212,-0.05867643429461372,-0.019701153531526534,0.17347551470004235,0.0675864267449909,0,0,0,0,1,1,2,0.17347551470004235
