epoch,feature_index,feature,gate
1,1,marginal_loss_price_rt,0.73261607
1,2,gen_fuel_oil_pct,0.5848166
1,3,marginal_loss_price_da,0.54942155
1,4,gen_fuel_nuclear_pct,0.409923
1,5,gen_fuel_multiple_fuels_pct,0.5317206
1,6,gen_fuel_storage_mw,0.51110566
1,7,total_lmp_rt,0.68854064
1,8,system_energy_price_rt,0.6920669
1,9,system_energy_price_da,0.5976539
1,10,total_lmp_da,0.5885964
1,11,total_pjm_rmccp_cr,0.6012769
1,12,rmccp,0.5975902
1,13,metered_load_mw,0.56009656
1,14,gen_fuel_oil_mw,0.54920715
1,15,total_pjm_rt_load_mwh,0.5409684
1,16,prelim_load_avg_hourly,0.54853487
1,17,gen_fuel_gas_mw,0.540356
1,18,gen_fuel_multiple_fuels_mw,0.54904664
1,19,forecast_load_mw_latest_available,0.5402666
1,20,forecast_load_mw_day_ahead,0.53670436
1,21,total_gen,0.5386353
1,22,gen_fuel_coal_mw,0.52182484
1,23,gen_fuel_other_renewables_pct,0.40519497
1,24,da_as_as_mw_thirty_minutes_reserve,0.41646758
1,25,da_as_mcp_synchronized_reserve,0.50791764
1,26,da_as_total_mw_thirty_minutes_reserve,0.41691178
1,27,total_losses,0.5079784
1,28,gross_inadv_interchange_mw,0.5061373
1,29,gen_fuel_hydro_mw,0.4935135
1,30,total_pjm_reg_purchases,0.5004293
1,31,gen_fuel_coal_pct,0.49035278
1,32,total_pjm_loc_credit,0.49371785
1,33,congestion_price_da,0.49928647
1,34,da_as_mcp_primary_reserve,0.4983783
1,35,net_sched_interchange_mw,0.4794059
1,36,total_pjm_assigned_reg,0.47572428
1,37,gen_fuel_gas_pct,0.4738985
1,38,gross_actual_interchange_mw,0.4688615
1,39,net_actual_interchange_mw,0.4700866
1,40,gen_fuel_hydro_pct,0.46096238
1,41,gen_fuel_nuclear_mw,0.46158746
1,42,gross_sched_interchange_mw,0.4545526
1,43,da_as_ss_mw_primary_reserve,0.45209017
1,44,total_pjm_rmpcp_cr,0.41396523
1,45,da_as_as_req_mw_thirty_minutes_reserve,0.42288035
1,46,da_as_nsr_mw_primary_reserve,0.42520693
2,1,marginal_loss_price_rt,0.72492766
2,2,gen_fuel_oil_pct,0.5812664
2,3,marginal_loss_price_da,0.54737455
2,4,gen_fuel_nuclear_pct,0.41850215
2,5,gen_fuel_multiple_fuels_pct,0.530704
2,6,gen_fuel_storage_mw,0.5112999
2,7,total_lmp_rt,0.6817081
2,8,system_energy_price_rt,0.6852868
2,9,system_energy_price_da,0.5929411
2,10,total_lmp_da,0.5843255
2,11,total_pjm_rmccp_cr,0.597807
2,12,rmccp,0.59496045
2,13,metered_load_mw,0.55741596
2,14,gen_fuel_oil_mw,0.5470594
2,15,total_pjm_rt_load_mwh,0.53940797
2,16,prelim_load_avg_hourly,0.5464911
2,17,gen_fuel_gas_mw,0.53883886
2,18,gen_fuel_multiple_fuels_mw,0.5470562
2,19,forecast_load_mw_latest_available,0.53867626
2,20,forecast_load_mw_day_ahead,0.5354439
2,21,total_gen,0.53728056
2,22,gen_fuel_coal_mw,0.52128744
2,23,gen_fuel_other_renewables_pct,0.41326725
2,24,da_as_as_mw_thirty_minutes_reserve,0.42398545
2,25,da_as_mcp_synchronized_reserve,0.50871277
2,26,da_as_total_mw_thirty_minutes_reserve,0.42427042
2,27,total_losses,0.5081679
2,28,gross_inadv_interchange_mw,0.50647855
2,29,gen_fuel_hydro_mw,0.4947203
2,30,total_pjm_reg_purchases,0.5012728
2,31,gen_fuel_coal_pct,0.49167398
2,32,total_pjm_loc_credit,0.49487358
2,33,congestion_price_da,0.50118756
2,34,da_as_mcp_primary_reserve,0.49937114
2,35,net_sched_interchange_mw,0.48142952
2,36,total_pjm_assigned_reg,0.47783774
2,37,gen_fuel_gas_pct,0.47600815
2,38,gross_actual_interchange_mw,0.47140047
2,39,net_actual_interchange_mw,0.4724439
2,40,gen_fuel_hydro_pct,0.46396184
2,41,gen_fuel_nuclear_mw,0.46503487
2,42,gross_sched_interchange_mw,0.4579683
2,43,da_as_ss_mw_primary_reserve,0.45570964
2,44,total_pjm_rmpcp_cr,0.41998634
2,45,da_as_as_req_mw_thirty_minutes_reserve,0.4284862
2,46,da_as_nsr_mw_primary_reserve,0.43090692
3,1,marginal_loss_price_rt,0.70360607
3,2,gen_fuel_oil_pct,0.5742358
3,3,marginal_loss_price_da,0.54493594
3,4,gen_fuel_nuclear_pct,0.4342978
3,5,gen_fuel_multiple_fuels_pct,0.53061277
3,6,gen_fuel_storage_mw,0.51372474
3,7,total_lmp_rt,0.6659901
3,8,system_energy_price_rt,0.6693135
3,9,system_energy_price_da,0.5855666
3,10,total_lmp_da,0.5779789
3,11,total_pjm_rmccp_cr,0.5907493
3,12,rmccp,0.58877087
3,13,metered_load_mw,0.5542321
3,14,gen_fuel_oil_mw,0.54528695
3,15,total_pjm_rt_load_mwh,0.53844684
3,16,prelim_load_avg_hourly,0.54464823
3,17,gen_fuel_gas_mw,0.53799933
3,18,gen_fuel_multiple_fuels_mw,0.54537296
3,19,forecast_load_mw_latest_available,0.53779876
3,20,forecast_load_mw_day_ahead,0.5350538
3,21,total_gen,0.5366894
3,22,gen_fuel_coal_mw,0.52253205
3,23,gen_fuel_other_renewables_pct,0.42925248
3,24,da_as_as_mw_thirty_minutes_reserve,0.43896908
3,25,da_as_mcp_synchronized_reserve,0.51197803
3,26,da_as_total_mw_thirty_minutes_reserve,0.4391933
3,27,total_losses,0.5112084
3,28,gross_inadv_interchange_mw,0.50962406
3,29,gen_fuel_hydro_mw,0.49951255
3,30,total_pjm_reg_purchases,0.5052989
3,31,gen_fuel_coal_pct,0.49678612
3,32,total_pjm_loc_credit,0.49965966
3,33,congestion_price_da,0.50575155
3,34,da_as_mcp_primary_reserve,0.50372654
3,35,net_sched_interchange_mw,0.48781
3,36,total_pjm_assigned_reg,0.48470125
3,37,gen_fuel_gas_pct,0.483054
3,38,gross_actual_interchange_mw,0.4789359
3,39,net_actual_interchange_mw,0.47981924
3,40,gen_fuel_hydro_pct,0.4726475
3,41,gen_fuel_nuclear_mw,0.4736975
3,42,gross_sched_interchange_mw,0.46721864
3,43,da_as_ss_mw_primary_reserve,0.46537676
3,44,total_pjm_rmpcp_cr,0.43431273
3,45,da_as_as_req_mw_thirty_minutes_reserve,0.44186214
3,46,da_as_nsr_mw_primary_reserve,0.4439771
4,1,marginal_loss_price_rt,0.6857555
4,2,gen_fuel_oil_pct,0.5688034
4,3,marginal_loss_price_da,0.5434399
4,4,gen_fuel_nuclear_pct,0.44714832
4,5,gen_fuel_multiple_fuels_pct,0.531127
4,6,gen_fuel_storage_mw,0.51626307
4,7,total_lmp_rt,0.6537936
4,8,system_energy_price_rt,0.6568942
4,9,system_energy_price_da,0.5803563
4,10,total_lmp_da,0.5736223
4,11,total_pjm_rmccp_cr,0.5857696
4,12,rmccp,0.58451265
4,13,metered_load_mw,0.55239046
4,14,gen_fuel_oil_mw,0.54458696
4,15,total_pjm_rt_load_mwh,0.53841025
4,16,prelim_load_avg_hourly,0.5438647
4,17,gen_fuel_gas_mw,0.53802913
4,18,gen_fuel_multiple_fuels_mw,0.54477006
4,19,forecast_load_mw_latest_available,0.53779113
4,20,forecast_load_mw_day_ahead,0.53542286
4,21,total_gen,0.5369031
4,22,gen_fuel_coal_mw,0.52422184
4,23,gen_fuel_other_renewables_pct,0.44234034
4,24,da_as_as_mw_thirty_minutes_reserve,0.45140767
4,25,da_as_mcp_synchronized_reserve,0.5151914
4,26,da_as_total_mw_thirty_minutes_reserve,0.45157698
4,27,total_losses,0.51437163
4,28,gross_inadv_interchange_mw,0.51282024
4,29,gen_fuel_hydro_mw,0.5039954
4,30,total_pjm_reg_purchases,0.50921005
4,31,gen_fuel_coal_pct,0.5015712
4,32,total_pjm_loc_credit,0.50421154
4,33,congestion_price_da,0.50990665
4,34,da_as_mcp_primary_reserve,0.5079083
4,35,net_sched_interchange_mw,0.4935541
4,36,total_pjm_assigned_reg,0.49090245
4,37,gen_fuel_gas_pct,0.48942116
4,38,gross_actual_interchange_mw,0.48561463
4,39,net_actual_interchange_mw,0.48638353
4,40,gen_fuel_hydro_pct,0.4803262
4,41,gen_fuel_nuclear_mw,0.48127037
4,42,gross_sched_interchange_mw,0.47528052
4,43,da_as_ss_mw_primary_reserve,0.4738113
4,44,total_pjm_rmpcp_cr,0.4464216
4,45,da_as_as_req_mw_thirty_minutes_reserve,0.45322916
4,46,da_as_nsr_mw_primary_reserve,0.455071
5,1,marginal_loss_price_rt,0.6843833
5,2,gen_fuel_oil_pct,0.57105625
5,3,marginal_loss_price_da,0.5457553
5,4,gen_fuel_nuclear_pct,0.455766
5,5,gen_fuel_multiple_fuels_pct,0.53327745
5,6,gen_fuel_storage_mw,0.5193073
5,7,total_lmp_rt,0.64972
5,8,system_energy_price_rt,0.6527825
5,9,system_energy_price_da,0.57911474
5,10,total_lmp_da,0.57274854
5,11,total_pjm_rmccp_cr,0.5849016
