feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,gate,final_gate,best_epoch_gate
1,prelim_load_avg_hourly,1,27,metered_load_mw,1.0,0.9999756602194908,0.9999799356633812,0.9955177894899468,0.9998942883732408,0.9758215539125956,1,1,1,1,1,1,6,1.0,0.00018885394,0.00018885394,1.2417509e-05
2,total_pjm_rt_load_mwh,2,30,metered_load_mw,1.0,0.9999014133223793,0.9999083155760676,0.9919182652210174,0.9998604026359206,0.976484051466726,1,1,1,1,1,1,6,1.0,0.00016497025,0.00016497025,4.5741044e-06
3,system_energy_price_rt,3,60,metered_load_mw,1.0,0.5996575368782768,0.388906085990247,0.4323859573535786,0.5160293375398304,0.1930614234899271,1,1,1,1,1,1,6,1.0,2.4183857e-05,2.4183857e-05,-9.5761534e-05
4,total_lmp_rt,4,61,metered_load_mw,1.0,0.6266660232547432,0.4367365048896057,0.4554729326335077,0.5602099074156126,0.1864006847681874,1,1,1,1,1,1,6,1.0,-0.00010501936,-0.00010501936,1.0215126e-05
5,forecast_load_mw_latest_available,5,25,metered_load_mw,0.9451650547492704,0.9958401107225736,0.9960080302649396,0.9435923027260124,0.993671126937559,0.978747029824761,1,1,1,1,1,1,6,0.9960080302649396,0.00044701924,0.00044701924,-6.593475e-05
6,forecast_load_mw_day_ahead,6,26,metered_load_mw,0.7758413193579355,0.9892249258085244,0.9905925699553229,0.9152544729999654,0.9874974268337242,0.9659082873887016,1,1,1,1,1,1,6,0.9905925699553229,-1.9664632e-05,-1.9664632e-05,0.00023459143
7,total_gen,7,1,metered_load_mw,0.7264589887170702,0.9847616959718284,0.9893379854877768,0.8957825966082846,0.9841159502243684,0.964754271062871,1,1,1,1,1,1,6,0.9893379854877768,0.041351724,0.041351724,0.055456687
8,gen_fuel_gas_mw,8,6,metered_load_mw,0.3294459018614727,0.880940118183602,0.9034698799426696,0.6923401984325607,0.8740110947273945,0.9723702574908736,1,1,1,1,1,1,6,0.9723702574908736,4.782337e-05,4.782337e-05,-4.2089596e-05
9,gen_fuel_coal_mw,9,5,metered_load_mw,0.2472616165677502,0.8248719918235892,0.8385879667715914,0.6484269116958842,0.8398928262435441,0.9456203467680432,1,1,1,1,1,1,6,0.9456203467680432,0.00028334922,0.00028334922,-4.141686e-05
10,gross_inadv_interchange_mw,10,69,metered_load_mw,0.0548640674625268,0.4488896421487258,0.4659901318989407,0.3199916597164303,0.4595009861766969,0.8915928324164516,1,1,1,1,1,1,6,0.8915928324164516,-0.0002756819,-0.0002756819,4.4558914e-05
11,gross_actual_interchange_mw,11,67,metered_load_mw,0.0578929661519196,0.3549366419212865,0.3312984085343265,0.2510786766750069,0.3495992618312278,0.8889273542624433,1,1,1,1,1,1,6,0.8889273542624433,0.00010338827,0.00010338827,-0.00012244697
12,gen_fuel_nuclear_mw,12,9,metered_load_mw,0.1607585966274768,0.5814092553729757,0.5474371799048687,0.3858531122499419,0.5725258185605657,0.8389619845949807,1,1,1,1,1,1,6,0.8389619845949807,0.0003426879,0.0003426879,6.8772526e-05
13,gen_fuel_hydro_mw,13,7,metered_load_mw,0.0910784127393451,0.4102050117656405,0.4957940656242622,0.2925232227111099,0.4797663795101671,0.8317445261236172,1,1,1,1,1,1,6,0.8317445261236172,-4.8471466e-05,-4.8471466e-05,9.520256e-06
14,total_losses,14,2,metered_load_mw,0.1507659428486612,0.7084847214032068,0.6576652737501161,0.5071066353976064,0.6614430984484702,0.4520931866396965,1,1,1,1,1,1,6,0.7084847214032068,-4.3067856e-05,-4.3067856e-05,0.00027634786
