rank,index,center,related,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score
1,28,metered_load_mw,total_pjm_rt_load_mwh,1.0,0.9998975938774989,0.9999059833636671,0.9922268557130942,0.9998650938418585,0.9716154233954527,1,1,1,1,1,1,6,1.0
2,58,metered_load_mw,system_energy_price_rt,1.0,0.6139694212644552,0.38723954917460246,0.4398074346266748,0.5338391440805502,0.184283925679011,1,1,1,1,1,1,6,1.0
3,24,metered_load_mw,forecast_load_mw_latest_available,0.9445570597816834,0.9958082162742979,0.9960452239049693,0.943970241668301,0.9941054590308317,0.9713970527395782,1,1,1,1,1,1,6,0.9960452239049693
4,25,metered_load_mw,forecast_load_mw_day_ahead,0.77916993645208,0.9887253775284178,0.9907253984196798,0.9128236066575722,0.9861469559341122,0.9674741541243131,1,1,1,1,1,1,6,0.9907253984196798
5,5,metered_load_mw,gen_fuel_gas_mw,0.32731967673605306,0.8712142791391658,0.8966624530971969,0.7011504878699134,0.8755170314795019,0.9629998511402416,1,1,1,1,1,1,6,0.9629998511402416
6,4,metered_load_mw,gen_fuel_coal_mw,0.24136522012664097,0.8221500904984796,0.8372346843200881,0.642683928149763,0.8341630660830085,0.9431540362948018,1,1,1,1,1,1,6,0.9431540362948018
7,33,metered_load_mw,total_pjm_rmccp_cr,0.21045194646495424,0.23750339280651656,0.1510542579213016,0.1536446914853374,0.20644837183030584,0.9081297691389749,1,1,1,1,1,1,6,0.9081297691389749
8,67,metered_load_mw,gross_inadv_interchange_mw,0.06308454006995631,0.44388957287661923,0.46872498176083466,0.30783708646093966,0.45374723084494073,0.8941273935618035,1,1,1,1,1,1,6,0.8941273935618035
9,65,metered_load_mw,gross_actual_interchange_mw,0.050597569229809375,0.3816703518683736,0.3410929388314443,0.2636725048651654,0.3591363016814274,0.8883908442799725,1,1,1,1,1,1,6,0.8883908442799725
10,8,metered_load_mw,gen_fuel_nuclear_mw,0.15036555046222072,0.5604765207575999,0.5259512051626233,0.37684193945351946,0.567603223791874,0.8487449225010556,1,1,1,1,1,1,6,0.8487449225010556
11,6,metered_load_mw,gen_fuel_hydro_mw,0.07975530764636522,0.40759719311750825,0.5006169393199289,0.26457427885789675,0.42654730480900843,0.7986202640147867,1,1,1,1,1,1,6,0.7986202640147867
12,1,metered_load_mw,total_losses,0.16119359648234166,0.7114637287921782,0.6507576493159846,0.5053446717194987,0.6535409702445496,0.4586250796181317,1,1,1,1,1,1,6,0.7114637287921782
13,9,metered_load_mw,gen_fuel_oil_mw,0.29511633705674706,0.5863706616740404,0.6929168811799903,0.3943136992723634,0.6550405865669935,0.42795366175293637,1,1,1,1,1,1,6,0.6929168811799903
14,55,metered_load_mw,total_lmp_da,0.358712105955657,0.678691632818925,0.6329463422175344,0.49700027800945235,0.6498951451650912,0.1914280700339777,1,1,1,1,1,1,6,0.678691632818925
15,54,metered_load_mw,system_energy_price_da,0.3803483618904333,0.6764110406243897,0.6190545027833562,0.4879883131654176,0.6401606728371839,0.1868501453478555,1,1,1,1,1,1,6,0.6764110406243897
16,59,metered_load_mw,total_lmp_rt,0.3575666682367683,0.6020797589646487,0.5230040511318478,0.4346705587989992,0.537022602461517,0.18284794199572196,1,1,1,1,1,1,6,0.6020797589646487
17,29,metered_load_mw,total_pjm_loc_credit,0.17997948044685555,0.23512746732178327,0.19229537932795301,0.1283766980701657,0.17481947447467658,0.5857394383931576,1,1,1,1,1,1,6,0.5857394383931576
18,7,metered_load_mw,gen_fuel_multiple_fuels_mw,0.07720670207999031,0.3754494801422606,0.4488100053736677,0.24155766834171435,0.39411993790523114,0.33184849769722075,1,1,1,1,1,1,6,0.4488100053736677
19,26,metered_load_mw,rmccp,0.4450962224315301,0.24574669458605367,0.1549722673193239,0.16159528198342307,0.20661459516012307,0.21075003741897733,1,1,1,1,1,1,6,0.4450962224315301
20,30,metered_load_mw,total_pjm_reg_purchases,0.05251872245008085,0.2551722403524711,0.23399533232140135,0.16206839032527107,0.25767622199703466,0.3875747176842742,1,1,1,1,1,1,6,0.3875747176842742
21,53,metered_load_mw,da_as_nsr_mw_primary_reserve,0.08653567769477884,0.21346914117825952,0.168828345971338,0.10509402605874718,0.16242099930645504,0.3637395545242093,1,1,1,1,1,1,6,0.3637395545242093
22,36,metered_load_mw,da_as_mcp_synchronized_reserve,0.28789683754670903,0.2487991218242751,0.3455511600943705,0.1925590858051723,0.29651732737604486,0.0677670900206454,1,1,1,1,1,1,6,0.3455511600943705
23,56,metered_load_mw,congestion_price_da,0.16381184832931384,0.17539710758601032,0.31642873459344256,0.12971365026410897,0.33487943834829353,0.07259044994524941,1,1,1,1,1,1,6,0.33487943834829353
24,39,metered_load_mw,da_as_as_req_mw_synchronized_reserve,0.09204684842407387,0.2618961800619177,0.25976705030231856,0.219187418447211,0.3235675687658333,0.06696059546066509,1,1,1,1,1,1,6,0.3235675687658333
25,38,metered_load_mw,da_as_as_req_mw_primary_reserve,0.10133459452410143,0.2928355974687881,0.2960246446505275,0.2195992743820581,0.30519168702849814,0.07002996562165202,1,1,1,1,1,1,6,0.30519168702849814
26,35,metered_load_mw,da_as_mcp_primary_reserve,0.29623805806324616,0.20243159233845087,0.29946292615472675,0.15680619669920817,0.2749423524213082,0.062041045974485544,1,1,1,1,1,1,6,0.29946292615472675
27,44,metered_load_mw,da_as_as_mw_primary_reserve,0.06788361216006533,0.2685153311001879,0.26729958691093114,0.18347218440324192,0.28871542873647843,0.1301857319890122,1,1,1,1,1,1,6,0.28871542873647843
28,41,metered_load_mw,da_as_total_mw_primary_reserve,0.07360334886560407,0.2635145026622307,0.2691348767790791,0.16058937254489156,0.26317221500871085,0.1196390547419869,1,1,1,1,1,1,6,0.2691348767790791
29,61,metered_load_mw,marginal_loss_price_rt,1.0,0.6563756403558294,0.4183962743962696,0.47673035009596404,0.5813659098846049,0.029979784152055034,1,1,1,1,1,0,5,1.0
30,18,metered_load_mw,gen_fuel_nuclear_pct,0.40561631786188757,-0.9008762340150981,-0.917392908500403,-0.7353932480317862,0.8878085442045005,0.029049162780250555,1,1,1,1,1,0,5,0.917392908500403
31,2,metered_load_mw,wind_generation_mw,0.027305236404614335,-0.15838913185621226,-0.17406880540350894,-0.08731164859605225,0.14186650809830598,0.8996653534618737,0,1,1,1,1,1,5,0.8996653534618737
32,13,metered_load_mw,gen_fuel_wind_mw,0.022504075414315514,-0.14451380460659752,-0.15273627086851382,-0.09230119093504435,0.1313719737006344,0.8977983409848048,0,1,1,1,1,1,5,0.8977983409848048
33,66,metered_load_mw,gross_sched_interchange_mw,0.02018654182630925,0.19835683670631518,0.1976345999886819,0.13912705031971087,0.2107445381604343,0.8727922492655282,0,1,1,1,1,1,5,0.8727922492655282
34,20,metered_load_mw,gen_fuel_other_renewables_pct,0.2794318286504461,-0.6848329667393265,-0.7033826539788733,-0.5662079487236713,0.6597270483783636,0.028937173111576002,1,1,1,1,1,0,5,0.7033826539788733
35,19,metered_load_mw,gen_fuel_oil_pct,0.18570989230339455,0.46766497734163254,0.612568174221659,0.3318844001283277,0.5801906646949552,0.02866285315705346,1,1,1,1,1,0,5,0.612568174221659
36,57,metered_load_mw,marginal_loss_price_da,0.21385054894215433,0.5870116539288556,0.566459500767302,0.4024008912990208,0.5736352793748459,0.04324022662344092,1,1,1,1,1,0,5,0.5870116539288556
37,14,metered_load_mw,gen_fuel_coal_pct,0.10966284482363058,0.5726933729388586,0.5492079760831329,0.39159268934915187,0.5834646063159068,0.028710946543980504,1,1,1,1,1,0,5,0.5834646063159068
38,64,metered_load_mw,net_inadv_interchange_mw,0.004058814664386062,0.17131984203864012,0.18082241165829896,0.14165564474262857,0.21910471410282117,0.41271344964422324,0,1,1,1,1,1,5,0.41271344964422324
39,15,metered_load_mw,gen_fuel_gas_pct,0.05035416597548266,0.37073421374929727,0.38161034116449477,0.261636240519377,0.37195283108561605,0.028580023939230873,1,1,1,1,1,0,5,0.38161034116449477
40,10,metered_load_mw,gen_fuel_other_renewables_mw,0.038661190908477285,0.28816793932431833,0.27694318684159375,0.20538046130591142,0.31277274692320367,0.3647757679355636,0,1,1,1,1,1,5,0.3647757679355636
