epoch,feature_index,feature,gamma_index,gamma
0,1,da_as_as_mw_thirty_minutes_reserve,1,1.0
0,1,da_as_as_mw_thirty_minutes_reserve,2,1.0
0,2,da_as_total_mw_thirty_minutes_reserve,1,1.0
0,2,da_as_total_mw_thirty_minutes_reserve,2,1.0
0,3,gross_sched_interchange_mw,1,1.0
0,3,gross_sched_interchange_mw,2,1.0
0,4,gen_fuel_nuclear_mw,1,1.0
0,4,gen_fuel_nuclear_mw,2,1.0
0,5,gen_fuel_gas_mw,1,1.0
0,5,gen_fuel_gas_mw,2,1.0
0,6,da_as_as_req_mw_thirty_minutes_reserve,1,1.0
0,6,da_as_as_req_mw_thirty_minutes_reserve,2,1.0
0,7,da_as_as_req_mw_primary_reserve,1,1.0
0,7,da_as_as_req_mw_primary_reserve,2,1.0
0,8,da_as_as_req_mw_synchronized_reserve,1,1.0
0,8,da_as_as_req_mw_synchronized_reserve,2,1.0
0,9,total_pjm_assigned_reg,1,1.0
0,9,total_pjm_assigned_reg,2,1.0
0,10,da_as_as_mw_primary_reserve,1,1.0
0,10,da_as_as_mw_primary_reserve,2,1.0
0,11,da_as_total_mw_primary_reserve,1,1.0
0,11,da_as_total_mw_primary_reserve,2,1.0
0,12,da_as_as_mw_synchronized_reserve,1,1.0
0,12,da_as_as_mw_synchronized_reserve,2,1.0
0,13,total_pjm_reg_purchases,1,1.0
0,13,total_pjm_reg_purchases,2,1.0
0,14,gen_fuel_other_renewables_mw,1,1.0
0,14,gen_fuel_other_renewables_mw,2,1.0
0,15,total_lmp_da,1,1.0
0,15,total_lmp_da,2,1.0
0,16,total_pjm_rmpcp_cr,1,1.0
0,16,total_pjm_rmpcp_cr,2,1.0
0,17,forecast_load_mw_day_ahead,1,1.0
0,17,forecast_load_mw_day_ahead,2,1.0
0,18,total_pjm_rmccp_cr,1,1.0
0,18,total_pjm_rmccp_cr,2,1.0
0,19,gen_fuel_wind_mw,1,1.0
0,19,gen_fuel_wind_mw,2,1.0
0,20,da_as_total_mw_synchronized_reserve,1,1.0
0,20,da_as_total_mw_synchronized_reserve,2,1.0
0,21,system_energy_price_da,1,1.0
0,21,system_energy_price_da,2,1.0
0,22,gen_fuel_multiple_fuels_pct,1,1.0
0,22,gen_fuel_multiple_fuels_pct,2,1.0
0,23,gen_fuel_multiple_fuels_mw,1,1.0
0,23,gen_fuel_multiple_fuels_mw,2,1.0
0,24,marginal_loss_price_rt,1,1.0
0,24,marginal_loss_price_rt,2,1.0
0,25,gen_fuel_gas_pct,1,1.0
0,25,gen_fuel_gas_pct,2,1.0
0,26,marginal_loss_price_da,1,1.0
0,26,marginal_loss_price_da,2,1.0
0,27,total_lmp_rt,1,1.0
0,27,total_lmp_rt,2,1.0
0,28,rmccp,1,1.0
0,28,rmccp,2,1.0
0,29,system_energy_price_rt,1,1.0
0,29,system_energy_price_rt,2,1.0
0,30,rmpcp,1,1.0
0,30,rmpcp,2,1.0
0,31,gen_fuel_wind_pct,1,1.0
0,31,gen_fuel_wind_pct,2,1.0
0,32,gen_fuel_coal_mw,1,1.0
0,32,gen_fuel_coal_mw,2,1.0
0,33,wind_generation_mw,1,1.0
0,33,wind_generation_mw,2,1.0
0,34,gross_inadv_interchange_mw,1,1.0
0,34,gross_inadv_interchange_mw,2,1.0
0,35,gen_fuel_oil_mw,1,1.0
0,35,gen_fuel_oil_mw,2,1.0
0,36,da_as_mcp_primary_reserve,1,1.0
0,36,da_as_mcp_primary_reserve,2,1.0
0,37,total_pjm_rt_load_mwh,1,1.0
0,37,total_pjm_rt_load_mwh,2,1.0
0,38,metered_load_mw,1,1.0
0,38,metered_load_mw,2,1.0
0,39,forecast_load_mw_latest_available,1,1.0
0,39,forecast_load_mw_latest_available,2,1.0
0,40,prelim_load_avg_hourly,1,1.0
0,40,prelim_load_avg_hourly,2,1.0
0,41,gross_actual_interchange_mw,1,1.0
0,41,gross_actual_interchange_mw,2,1.0
0,42,gen_fuel_hydro_mw,1,1.0
0,42,gen_fuel_hydro_mw,2,1.0
0,43,total_pjm_loc_credit,1,1.0
0,43,total_pjm_loc_credit,2,1.0
0,44,total_losses,1,1.0
0,44,total_losses,2,1.0
0,45,net_inadv_interchange_mw,1,1.0
0,45,net_inadv_interchange_mw,2,1.0
0,46,da_as_nsr_mw_primary_reserve,1,1.0
0,46,da_as_nsr_mw_primary_reserve,2,1.0
0,47,total_pjm_self_sched_reg,1,1.0
0,47,total_pjm_self_sched_reg,2,1.0
0,48,da_as_ss_mw_synchronized_reserve,1,1.0
0,48,da_as_ss_mw_synchronized_reserve,2,1.0
0,49,da_as_ss_mw_thirty_minutes_reserve,1,1.0
0,49,da_as_ss_mw_thirty_minutes_reserve,2,1.0
0,50,da_as_ss_mw_primary_reserve,1,1.0
0,50,da_as_ss_mw_primary_reserve,2,1.0
0,51,gen_fuel_solar_mw,1,1.0
0,51,gen_fuel_solar_mw,2,1.0
0,52,gen_fuel_coal_pct,1,1.0
0,52,gen_fuel_coal_pct,2,1.0
0,53,congestion_price_rt,1,1.0
0,53,congestion_price_rt,2,1.0
0,54,da_as_mcp_synchronized_reserve,1,1.0
0,54,da_as_mcp_synchronized_reserve,2,1.0
0,55,congestion_price_da,1,1.0
0,55,congestion_price_da,2,1.0
1,1,da_as_as_mw_thirty_minutes_reserve,1,1.0174377
1,1,da_as_as_mw_thirty_minutes_reserve,2,1.0174377
1,2,da_as_total_mw_thirty_minutes_reserve,1,1.0076417
1,2,da_as_total_mw_thirty_minutes_reserve,2,1.0076417
1,3,gross_sched_interchange_mw,1,1.0744836
1,3,gross_sched_interchange_mw,2,1.0744836
1,4,gen_fuel_nuclear_mw,1,1.0411545
1,4,gen_fuel_nuclear_mw,2,1.0411545
1,5,gen_fuel_gas_mw,1,1.039975
1,5,gen_fuel_gas_mw,2,1.039975
1,6,da_as_as_req_mw_thirty_minutes_reserve,1,1.0271008
1,6,da_as_as_req_mw_thirty_minutes_reserve,2,1.0271008
1,7,da_as_as_req_mw_primary_reserve,1,1.0303013
1,7,da_as_as_req_mw_primary_reserve,2,1.0303013
1,8,da_as_as_req_mw_synchronized_reserve,1,1.0488058
1,8,da_as_as_req_mw_synchronized_reserve,2,1.0488058
1,9,total_pjm_assigned_reg,1,1.0476092
1,9,total_pjm_assigned_reg,2,1.0476092
1,10,da_as_as_mw_primary_reserve,1,1.0470563
1,10,da_as_as_mw_primary_reserve,2,1.0470563
1,11,da_as_total_mw_primary_reserve,1,1.0154333
1,11,da_as_total_mw_primary_reserve,2,1.0154333
1,12,da_as_as_mw_synchronized_reserve,1,0.9563775
1,12,da_as_as_mw_synchronized_reserve,2,0.9563775
1,13,total_pjm_reg_purchases,1,1.0023931
1,13,total_pjm_reg_purchases,2,1.0023931
1,14,gen_fuel_other_renewables_mw,1,0.9902946
1,14,gen_fuel_other_renewables_mw,2,0.9902946
1,15,total_lmp_da,1,1.0041926
1,15,total_lmp_da,2,1.0041926
1,16,total_pjm_rmpcp_cr,1,1.0100307
1,16,total_pjm_rmpcp_cr,2,1.0100307
1,17,forecast_load_mw_day_ahead,1,1.013955
1,17,forecast_load_mw_day_ahead,2,1.013955
1,18,total_pjm_rmccp_cr,1,0.9728381
1,18,total_pjm_rmccp_cr,2,0.9728381
1,19,gen_fuel_wind_mw,1,0.9913455
1,19,gen_fuel_wind_mw,2,0.9913455
1,20,da_as_total_mw_synchronized_reserve,1,1.0249826
1,20,da_as_total_mw_synchronized_reserve,2,1.0249826
1,21,system_energy_price_da,1,1.0293447
1,21,system_energy_price_da,2,1.0293447
1,22,gen_fuel_multiple_fuels_pct,1,1.0011653
1,22,gen_fuel_multiple_fuels_pct,2,1.0011653
1,23,gen_fuel_multiple_fuels_mw,1,0.99392253
1,23,gen_fuel_multiple_fuels_mw,2,0.99392253
1,24,marginal_loss_price_rt,1,0.9855449
1,24,marginal_loss_price_rt,2,0.9855449
1,25,gen_fuel_gas_pct,1,0.94292194
1,25,gen_fuel_gas_pct,2,0.94292194
1,26,marginal_loss_price_da,1,0.990984
1,26,marginal_loss_price_da,2,0.990984
1,27,total_lmp_rt,1,0.9752769
1,27,total_lmp_rt,2,0.9752769
1,28,rmccp,1,0.9790076
1,28,rmccp,2,0.9790076
1,29,system_energy_price_rt,1,0.9808381
1,29,system_energy_price_rt,2,0.9808381
1,30,rmpcp,1,0.9932821
1,30,rmpcp,2,0.9932821
1,31,gen_fuel_wind_pct,1,0.9946892
1,31,gen_fuel_wind_pct,2,0.9946892
1,32,gen_fuel_coal_mw,1,0.9964026
1,32,gen_fuel_coal_mw,2,0.9964026
1,33,wind_generation_mw,1,0.9894337
1,33,wind_generation_mw,2,0.9894337
1,34,gross_inadv_interchange_mw,1,1.0121417
1,34,gross_inadv_interchange_mw,2,1.0121417
1,35,gen_fuel_oil_mw,1,0.96296376
1,35,gen_fuel_oil_mw,2,0.96296376
1,36,da_as_mcp_primary_reserve,1,0.98507637
1,36,da_as_mcp_primary_reserve,2,0.98507637
1,37,total_pjm_rt_load_mwh,1,1.0120142
1,37,total_pjm_rt_load_mwh,2,1.0120142
1,38,metered_load_mw,1,1.0205673
1,38,metered_load_mw,2,1.0205673
1,39,forecast_load_mw_latest_available,1,0.99505746
1,39,forecast_load_mw_latest_available,2,0.99505746
1,40,prelim_load_avg_hourly,1,1.0295198
1,40,prelim_load_avg_hourly,2,1.0295198
1,41,gross_actual_interchange_mw,1,0.97294605
1,41,gross_actual_interchange_mw,2,0.97294605
1,42,gen_fuel_hydro_mw,1,0.9586972
1,42,gen_fuel_hydro_mw,2,0.9586972
1,43,total_pjm_loc_credit,1,0.9600895
1,43,total_pjm_loc_credit,2,0.9600895
1,44,total_losses,1,1.0254277
1,44,total_losses,2,1.0254277
1,45,net_inadv_interchange_mw,1,0.9779205
1,45,net_inadv_interchange_mw,2,0.9779205
1,46,da_as_nsr_mw_primary_reserve,1,0.9992393
1,46,da_as_nsr_mw_primary_reserve,2,0.9992393
1,47,total_pjm_self_sched_reg,1,0.9660089
1,47,total_pjm_self_sched_reg,2,0.9660089
1,48,da_as_ss_mw_synchronized_reserve,1,0.97805995
1,48,da_as_ss_mw_synchronized_reserve,2,0.97805995
1,49,da_as_ss_mw_thirty_minutes_reserve,1,0.96138287
1,49,da_as_ss_mw_thirty_minutes_reserve,2,0.96138287
1,50,da_as_ss_mw_primary_reserve,1,0.9662053
1,50,da_as_ss_mw_primary_reserve,2,0.9662053
1,51,gen_fuel_solar_mw,1,1.0181154
1,51,gen_fuel_solar_mw,2,1.0181154
1,52,gen_fuel_coal_pct,1,0.9886884
1,52,gen_fuel_coal_pct,2,0.9886884
1,53,congestion_price_rt,1,0.99843156
1,53,congestion_price_rt,2,0.99843156
