feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,gate,final_gate,best_epoch_gate
1,da_as_as_mw_thirty_minutes_reserve,1,48,net_actual_interchange_mw,0.07614815441971755,-0.4300114088035583,-0.39416815297246177,-0.2894166004709139,0.4026997186775917,0.8558365835569048,1,1,1,1,1,1,6,0.8558365835569048,0.76978654,0.76978654,0.8414476
2,da_as_total_mw_thirty_minutes_reserve,2,45,net_actual_interchange_mw,0.06680115168473988,-0.42781225695955516,-0.3968488559207854,-0.2519403416643604,0.37389662034360094,0.845312486276529,1,1,1,1,1,1,6,0.845312486276529,0.7795551,0.7795551,0.8486779
3,gross_sched_interchange_mw,3,66,net_actual_interchange_mw,0.13280136358951514,-0.46491716099079555,-0.482865267251619,-0.31812065610230744,0.4581198020265599,0.813430486332515,1,1,1,1,1,1,6,0.813430486332515,0.6991887,0.6991887,0.78004533
4,gen_fuel_nuclear_mw,4,8,net_actual_interchange_mw,0.11620610397722465,-0.3541013284954533,-0.4241739916999138,-0.24828952607808022,0.4424313183578815,0.794505323316619,1,1,1,1,1,1,6,0.794505323316619,0.6989014,0.6989014,0.77705103
5,gen_fuel_gas_mw,5,5,net_actual_interchange_mw,0.026926800486067014,-0.32857987087092566,-0.32749450006662884,-0.20035432774351006,0.2872303021405945,0.906187799408037,0,1,1,1,1,1,5,0.906187799408037,0.82968146,0.82968146,0.88816994
6,da_as_as_req_mw_thirty_minutes_reserve,6,42,net_actual_interchange_mw,0.17968932630709744,-0.32442464998287346,-0.4058240141898128,-0.3020778068451359,0.4756106883826613,0.035673411501904104,1,1,1,1,1,0,5,0.4756106883826613,0.19795503,0.19795503,0.22944038
7,da_as_as_req_mw_primary_reserve,7,40,net_actual_interchange_mw,0.18981709847042072,-0.32745917501931604,-0.40179133343569245,-0.24792284195747588,0.4504389729966657,0.06737914625556114,1,1,1,1,1,0,5,0.4504389729966657,0.19748618,0.19748618,0.22871487
8,da_as_as_req_mw_synchronized_reserve,8,41,net_actual_interchange_mw,0.176779058440217,-0.32440049212190586,-0.40459666177362796,-0.23503945483758856,0.41304473628455746,0.06542902202712568,1,1,1,1,1,0,5,0.41304473628455746,0.21323867,0.21323867,0.24759817
9,total_pjm_assigned_reg,9,34,net_actual_interchange_mw,0.039514062033339264,0.2371752769997925,0.2646412896751056,0.16839142183241945,0.25868128029419923,0.40905686227530186,0,1,1,1,1,1,5,0.40905686227530186,0.35738665,0.35738665,0.42085412
10,da_as_as_mw_primary_reserve,10,46,net_actual_interchange_mw,0.0846352069431757,-0.3429191408390256,-0.35078930132896324,-0.25124151597941174,0.3956463541090446,0.11355268746667,1,1,1,1,1,0,5,0.3956463541090446,0.35264665,0.35264665,0.41366753
11,da_as_total_mw_primary_reserve,11,43,net_actual_interchange_mw,0.08586117661542611,-0.31710584290622906,-0.3357718025270435,-0.250127567216758,0.3875396938467373,0.11540437614033895,1,1,1,1,1,0,5,0.3875396938467373,0.34558657,0.34558657,0.40571856
12,da_as_as_mw_synchronized_reserve,12,47,net_actual_interchange_mw,0.07227086810252432,-0.3686679585855874,-0.34756996762223014,-0.23208270891326066,0.3216246240448308,0.23127895862132905,1,1,1,1,1,0,5,0.3686679585855874,0.43506137,0.43506137,0.51042897
13,total_pjm_reg_purchases,13,32,net_actual_interchange_mw,0.04784662303798179,0.22319540302171142,0.25134760440533993,0.18010564359188214,0.29212041327012145,0.3604777982451274,0,1,1,1,1,1,5,0.3604777982451274,0.32535616,0.32535616,0.3817028
14,gen_fuel_other_renewables_mw,14,10,net_actual_interchange_mw,0.04644314285975286,-0.2141386756235211,-0.22306326950137423,-0.13159621186171894,0.20544384106064104,0.34361181573595523,0,1,1,1,1,1,5,0.34361181573595523,0.49543527,0.49543527,0.5770813
15,total_lmp_da,15,57,net_actual_interchange_mw,0.08293949367327802,0.3194899286454909,0.15538592751387986,0.22767306088407008,0.2638886577735876,0.17699830801381952,1,1,1,1,1,0,5,0.3194899286454909,0.22761513,0.22761513,0.25779697
16,total_pjm_rmpcp_cr,16,36,net_actual_interchange_mw,0.11198615027705036,-0.25670840158825464,-0.1985357921433502,-0.15681510037142735,0.2769928762895305,0.17506287080247426,1,1,1,1,1,0,5,0.2769928762895305,0.28124622,0.28124622,0.3361714
17,forecast_load_mw_day_ahead,17,25,net_actual_interchange_mw,0.03352974412550699,-0.17833990194431043,-0.19520200780500901,-0.1161480806085785,0.21205318605323037,0.9165759121206096,0,1,1,0,1,1,4,0.9165759121206096,0.79219073,0.79219073,0.85946685
18,total_pjm_rmccp_cr,18,35,net_actual_interchange_mw,0.3792701808320931,0.24004303842004324,0.11099538421400083,0.14096743614582938,0.19641125974113452,0.8854805931947144,1,1,0,1,0,1,4,0.8854805931947144,0.14181624,0.14181624,0.17224847
19,gen_fuel_wind_mw,19,13,net_actual_interchange_mw,0.014837346333268504,0.175679818344607,0.15942854345634802,0.1252864562106853,0.19884060575168738,0.8442467460503364,0,1,1,1,0,1,4,0.8442467460503364,0.6802657,0.6802657,0.76108795
20,da_as_total_mw_synchronized_reserve,20,44,net_actual_interchange_mw,0.05819263646985124,-0.35821513955682577,-0.34738048306058256,-0.23736205705151395,0.3308215015511085,0.20725868101908929,0,1,1,1,1,0,4,0.35821513955682577,0.4479131,0.4479131,0.5232011
21,system_energy_price_da,21,56,net_actual_interchange_mw,0.06784389504394933,0.33200352688612866,0.10329905583733849,0.22178632756938244,0.27150478173378934,0.17619967944852752,1,1,0,1,1,0,4,0.33200352688612866,0.26606312,0.26606312,0.29995868
22,gen_fuel_multiple_fuels_pct,22,17,net_actual_interchange_mw,0.04982634076447717,0.30336356235455464,0.3229611040182339,0.18106064859079457,0.3093514314877315,0.027760330366186366,0,1,1,1,1,0,4,0.3229611040182339,0.16509783,0.16509783,0.1874479
23,gen_fuel_multiple_fuels_mw,23,7,net_actual_interchange_mw,0.03347162984976238,0.20317884003998,0.19623469120069453,0.11200592471851882,0.20199502044444673,0.3112542451486444,0,1,1,0,1,1,4,0.3112542451486444,0.33989224,0.33989224,0.40070903
24,marginal_loss_price_rt,24,63,net_actual_interchange_mw,0.1949391256130735,0.26469801039770624,0.09170787083487852,0.19558738491490052,0.23140353333945696,0.03253500206960569,1,1,0,1,1,0,4,0.26469801039770624,0.091519676,0.091519676,0.09906339
25,gen_fuel_gas_pct,25,15,net_actual_interchange_mw,0.03351654787401633,-0.26061713314991225,-0.25907406908047365,-0.15131078078605148,0.2337270170665881,0.02688148751434859,0,1,1,1,1,0,4,0.26061713314991225,0.3590192,0.3590192,0.4206072
26,marginal_loss_price_da,26,59,net_actual_interchange_mw,0.060538723972195174,0.19675445288166438,0.051838967577669884,0.15615512927439532,0.24148013541092184,0.0399706447733848,1,1,0,1,1,0,4,0.24148013541092184,0.2302635,0.2302635,0.26051342
27,total_lmp_rt,27,61,net_actual_interchange_mw,0.1743151031171437,0.23663579209693641,0.07922782985315178,0.1315151515151515,0.15792517003500456,0.17460514939108154,1,1,0,1,0,0,3,0.23663579209693641,0.13913883,0.13913883,0.15853745
28,rmccp,28,28,net_actual_interchange_mw,0.14924260563882105,0.23138384172225243,0.11507626890343721,0.13297893104631334,0.18182613278020057,0.1989981198870661,1,1,0,1,0,0,3,0.23138384172225243,0.16250801,0.16250801,0.18708721
29,system_energy_price_rt,29,60,net_actual_interchange_mw,0.12751323725556202,0.2260244418950727,0.08991954727713959,0.14200725307003292,0.1525894743377964,0.17966306454870773,1,1,0,1,0,0,3,0.2260244418950727,0.18588002,0.18588002,0.21424703
30,rmpcp,30,29,net_actual_interchange_mw,0.08272074937557232,-0.20401809256110454,-0.1388576669393261,-0.11639308030757903,0.20969936992436844,0.05171265971248963,1,1,0,0,1,0,3,0.20969936992436844,0.24925159,0.24925159,0.29658595
31,gen_fuel_wind_pct,31,23,net_actual_interchange_mw,0.015613508764340155,0.1994011611443603,0.18322283785389096,0.12498898859479314,0.1842339301734624,0.026626704729615217,0,1,1,1,0,0,3,0.1994011611443603,0.24004294,0.24004294,0.2780568
32,gen_fuel_coal_mw,32,4,net_actual_interchange_mw,0.05690704777691717,-0.10673326992642074,-0.14775728794558593,-0.09851698380150639,0.25003697022926735,0.8846357213008744,0,0,0,0,1,1,2,0.8846357213008744,0.7347986,0.7347986,0.8114406
33,wind_generation_mw,33,2,net_actual_interchange_mw,0.016435465406142196,0.15642276652617912,0.14931071777384272,0.09112315818737837,0.16140493060568956,0.8516882710074035,0,1,0,0,0,1,2,0.8516882710074035,0.6820318,0.6820318,0.76476353
34,gross_inadv_interchange_mw,34,67,net_actual_interchange_mw,0.022749079701277986,-0.08005594245955537,-0.1530512210869733,-0.027331109257714762,0.15936448118226934,0.843521643335084,0,0,1,0,0,1,2,0.843521643335084,0.7681453,0.7681453,0.83760357
35,gen_fuel_oil_mw,35,9,net_actual_interchange_mw,0.07162323018399662,-0.023372460101499834,-0.08945438743254641,0.015599045822817086,0.11101440351616636,0.4009123301972434,1,0,0,0,0,1,2,0.4009123301972434,0.4294617,0.4294617,0.50503474
36,da_as_mcp_primary_reserve,36,37,net_actual_interchange_mw,0.07382927055293982,0.14575211662739593,0.09312650650665741,0.12741064917271502,0.13795136498469782,0.05773840801294383,1,0,0,1,0,0,2,0.14575211662739593,0.20299466,0.20299466,0.23474467
37,total_pjm_rt_load_mwh,37,30,net_actual_interchange_mw,0.023768826986459646,-0.09501818966868772,-0.12321485941177052,-0.040126522189697054,0.1425047986664768,0.919188088362369,0,0,0,0,0,1,1,0.919188088362369,0.78606105,0.78606105,0.8543969
38,metered_load_mw,38,27,net_actual_interchange_mw,0.02246884543357901,-0.08287683543075948,-0.10202579464894648,-0.05094801223241591,0.1575128057932108,0.9172610616203442,0,0,0,0,0,1,1,0.9172610616203442,0.7805811,0.7805811,0.8502696
39,forecast_load_mw_latest_available,39,24,net_actual_interchange_mw,0.026479342963241347,-0.07860694144156706,-0.09908274785858981,-0.03592048590968546,0.14078005906783186,0.9105318160887241,0,0,0,0,0,1,1,0.9105318160887241,0.7719886,0.7719886,0.8433059
40,prelim_load_avg_hourly,40,26,net_actual_interchange_mw,0.023501848992459624,-0.06498590659009289,-0.08781250239371012,-0.050266958947677146,0.13893396331013716,0.9010777593729238,0,0,0,0,0,1,1,0.9010777593729238,0.7680978,0.7680978,0.8404032
41,gross_actual_interchange_mw,41,65,net_actual_interchange_mw,0.04267561596164478,0.00874141608529337,-0.039977211491489306,0.011531832082290798,0.13634520372636985,0.8261976230537289,0,0,0,0,0,1,1,0.8261976230537289,0.6934527,0.6934527,0.7750076
