epoch,feature_index,feature,gate
1,1,gross_sched_interchange_mw,0.58366257
1,2,da_as_as_mw_thirty_minutes_reserve,0.52141017
1,3,gen_fuel_nuclear_mw,0.59887755
1,4,da_as_total_mw_thirty_minutes_reserve,0.5201796
1,5,gen_fuel_gas_mw,0.5066318
1,6,total_pjm_rmccp_cr,0.895164
1,7,da_as_as_req_mw_thirty_minutes_reserve,0.42880952
1,8,da_as_as_req_mw_primary_reserve,0.46559644
1,9,forecast_load_mw_day_ahead,0.5402054
1,10,da_as_as_req_mw_synchronized_reserve,0.45085534
1,11,da_as_as_mw_synchronized_reserve,0.3478555
1,12,gen_fuel_coal_mw,0.575712
1,13,da_as_total_mw_synchronized_reserve,0.32968435
1,14,da_as_as_mw_primary_reserve,0.34061342
1,15,gen_fuel_wind_mw,0.5915101
1,16,da_as_total_mw_primary_reserve,0.3434763
1,17,wind_generation_mw,0.5716433
1,18,total_pjm_assigned_reg,0.5063942
1,19,total_pjm_reg_purchases,0.51276594
1,20,total_pjm_rt_load_mwh,0.551027
1,21,metered_load_mw,0.5444885
1,22,forecast_load_mw_latest_available,0.550323
1,23,gross_inadv_interchange_mw,0.54850984
1,24,prelim_load_avg_hourly,0.53807914
1,25,total_lmp_da,0.5626579
2,1,gross_sched_interchange_mw,0.5531402
2,2,da_as_as_mw_thirty_minutes_reserve,0.5208999
2,3,gen_fuel_nuclear_mw,0.58064383
2,4,da_as_total_mw_thirty_minutes_reserve,0.5262603
2,5,gen_fuel_gas_mw,0.54074657
2,6,total_pjm_rmccp_cr,0.8583454
2,7,da_as_as_req_mw_thirty_minutes_reserve,0.35509872
2,8,da_as_as_req_mw_primary_reserve,0.39010778
2,9,forecast_load_mw_day_ahead,0.5819813
2,10,da_as_as_req_mw_synchronized_reserve,0.38366702
2,11,da_as_as_mw_synchronized_reserve,0.33493268
2,12,gen_fuel_coal_mw,0.6061427
2,13,da_as_total_mw_synchronized_reserve,0.32110828
2,14,da_as_as_mw_primary_reserve,0.31570143
2,15,gen_fuel_wind_mw,0.65293676
2,16,da_as_total_mw_primary_reserve,0.3189817
2,17,wind_generation_mw,0.63415056
2,18,total_pjm_assigned_reg,0.54466057
2,19,total_pjm_reg_purchases,0.54397446
2,20,total_pjm_rt_load_mwh,0.60483587
2,21,metered_load_mw,0.59806204
2,22,forecast_load_mw_latest_available,0.60334486
2,23,gross_inadv_interchange_mw,0.59995353
2,24,prelim_load_avg_hourly,0.59222203
2,25,total_lmp_da,0.5772109
3,1,gross_sched_interchange_mw,0.520112
3,2,da_as_as_mw_thirty_minutes_reserve,0.5165391
3,3,gen_fuel_nuclear_mw,0.5588531
3,4,da_as_total_mw_thirty_minutes_reserve,0.5287028
3,5,gen_fuel_gas_mw,0.56791884
3,6,total_pjm_rmccp_cr,0.79557645
3,7,da_as_as_req_mw_thirty_minutes_reserve,0.30720595
3,8,da_as_as_req_mw_primary_reserve,0.33842123
3,9,forecast_load_mw_day_ahead,0.61288685
3,10,da_as_as_req_mw_synchronized_reserve,0.3399016
3,11,da_as_as_mw_synchronized_reserve,0.33803046
3,12,gen_fuel_coal_mw,0.6254862
3,13,da_as_total_mw_synchronized_reserve,0.32913083
3,14,da_as_as_mw_primary_reserve,0.3099346
3,15,gen_fuel_wind_mw,0.6955687
3,16,da_as_total_mw_primary_reserve,0.31337887
3,17,wind_generation_mw,0.67850417
3,18,total_pjm_assigned_reg,0.57852966
3,19,total_pjm_reg_purchases,0.5723691
3,20,total_pjm_rt_load_mwh,0.645161
3,21,metered_load_mw,0.6380913
3,22,forecast_load_mw_latest_available,0.64282155
3,23,gross_inadv_interchange_mw,0.64060986
3,24,prelim_load_avg_hourly,0.63323593
3,25,total_lmp_da,0.5949489
4,1,gross_sched_interchange_mw,0.5444521
4,2,da_as_as_mw_thirty_minutes_reserve,0.54380894
4,3,gen_fuel_nuclear_mw,0.5784277
4,4,da_as_total_mw_thirty_minutes_reserve,0.5558604
4,5,gen_fuel_gas_mw,0.5950671
4,6,total_pjm_rmccp_cr,0.76292026
4,7,da_as_as_req_mw_thirty_minutes_reserve,0.30712754
4,8,da_as_as_req_mw_primary_reserve,0.3363667
4,9,forecast_load_mw_day_ahead,0.6298781
4,10,da_as_as_req_mw_synchronized_reserve,0.33910093
4,11,da_as_as_mw_synchronized_reserve,0.34991363
4,12,gen_fuel_coal_mw,0.6358075
4,13,da_as_total_mw_synchronized_reserve,0.34183553
4,14,da_as_as_mw_primary_reserve,0.31801865
4,15,gen_fuel_wind_mw,0.6893398
4,16,da_as_total_mw_primary_reserve,0.320608
4,17,wind_generation_mw,0.673901
4,18,total_pjm_assigned_reg,0.5546063
4,19,total_pjm_reg_purchases,0.54663897
4,20,total_pjm_rt_load_mwh,0.65734774
4,21,metered_load_mw,0.6498122
4,22,forecast_load_mw_latest_available,0.6534942
4,23,gross_inadv_interchange_mw,0.65202683
4,24,prelim_load_avg_hourly,0.644054
4,25,total_lmp_da,0.5631226
5,1,gross_sched_interchange_mw,0.5521706
5,2,da_as_as_mw_thirty_minutes_reserve,0.5500608
5,3,gen_fuel_nuclear_mw,0.58623624
5,4,da_as_total_mw_thirty_minutes_reserve,0.56142837
5,5,gen_fuel_gas_mw,0.5986314
5,6,total_pjm_rmccp_cr,0.762537
5,7,da_as_as_req_mw_thirty_minutes_reserve,0.31407663
5,8,da_as_as_req_mw_primary_reserve,0.34297213
5,9,forecast_load_mw_day_ahead,0.6314356
5,10,da_as_as_req_mw_synchronized_reserve,0.34486365
5,11,da_as_as_mw_synchronized_reserve,0.35345188
5,12,gen_fuel_coal_mw,0.6384347
5,13,da_as_total_mw_synchronized_reserve,0.34575698
5,14,da_as_as_mw_primary_reserve,0.32339704
5,15,gen_fuel_wind_mw,0.6911314
5,16,da_as_total_mw_primary_reserve,0.32584602
5,17,wind_generation_mw,0.67455965
5,18,total_pjm_assigned_reg,0.55794626
5,19,total_pjm_reg_purchases,0.55095893
5,20,total_pjm_rt_load_mwh,0.6572606
5,21,metered_load_mw,0.65006816
5,22,forecast_load_mw_latest_available,0.6532912
5,23,gross_inadv_interchange_mw,0.6527269
5,24,prelim_load_avg_hourly,0.6437915
5,25,total_lmp_da,0.567654
6,1,gross_sched_interchange_mw,0.54815346
6,2,da_as_as_mw_thirty_minutes_reserve,0.54330456
6,3,gen_fuel_nuclear_mw,0.58420414
6,4,da_as_total_mw_thirty_minutes_reserve,0.5544715
6,5,gen_fuel_gas_mw,0.59058356
6,6,total_pjm_rmccp_cr,0.7800061
6,7,da_as_as_req_mw_thirty_minutes_reserve,0.32164836
6,8,da_as_as_req_mw_primary_reserve,0.35146463
6,9,forecast_load_mw_day_ahead,0.62675846
6,10,da_as_as_req_mw_synchronized_reserve,0.35251275
6,11,da_as_as_mw_synchronized_reserve,0.35327774
6,12,gen_fuel_coal_mw,0.63709867
6,13,da_as_total_mw_synchronized_reserve,0.34528863
6,14,da_as_as_mw_primary_reserve,0.32569507
6,15,gen_fuel_wind_mw,0.6952428
6,16,da_as_total_mw_primary_reserve,0.32851878
6,17,wind_generation_mw,0.6776909
6,18,total_pjm_assigned_reg,0.5708206
6,19,total_pjm_reg_purchases,0.56507397
6,20,total_pjm_rt_load_mwh,0.6538201
6,21,metered_load_mw,0.6468513
6,22,forecast_load_mw_latest_available,0.65040535
6,23,gross_inadv_interchange_mw,0.6502739
6,24,prelim_load_avg_hourly,0.64084214
6,25,total_lmp_da,0.58629274
7,1,gross_sched_interchange_mw,0.5648789
7,2,da_as_as_mw_thirty_minutes_reserve,0.5653652
7,3,gen_fuel_nuclear_mw,0.59885126
7,4,da_as_total_mw_thirty_minutes_reserve,0.5761058
7,5,gen_fuel_gas_mw,0.61357087
7,6,total_pjm_rmccp_cr,0.74760765
7,7,da_as_as_req_mw_thirty_minutes_reserve,0.31122643
7,8,da_as_as_req_mw_primary_reserve,0.33867115
7,9,forecast_load_mw_day_ahead,0.64217424
7,10,da_as_as_req_mw_synchronized_reserve,0.34023675
7,11,da_as_as_mw_synchronized_reserve,0.3554805
7,12,gen_fuel_coal_mw,0.6479445
7,13,da_as_total_mw_synchronized_reserve,0.34883323
7,14,da_as_as_mw_primary_reserve,0.32533237
7,15,gen_fuel_wind_mw,0.6987879
7,16,da_as_total_mw_primary_reserve,0.32742256
7,17,wind_generation_mw,0.68131006
7,18,total_pjm_assigned_reg,0.55921465
7,19,total_pjm_reg_purchases,0.5520275
7,20,total_pjm_rt_load_mwh,0.6656082
7,21,metered_load_mw,0.65897995
7,22,forecast_load_mw_latest_available,0.6611555
7,23,gross_inadv_interchange_mw,0.6609021
7,24,prelim_load_avg_hourly,0.65177256
7,25,total_lmp_da,0.5628453
8,1,gross_sched_interchange_mw,0.55900955
8,2,da_as_as_mw_thirty_minutes_reserve,0.5627514
8,3,gen_fuel_nuclear_mw,0.5957376
8,4,da_as_total_mw_thirty_minutes_reserve,0.5741426
8,5,gen_fuel_gas_mw,0.6154995
8,6,total_pjm_rmccp_cr,0.75319976
8,7,da_as_as_req_mw_thirty_minutes_reserve,0.29988775
8,8,da_as_as_req_mw_primary_reserve,0.32755604
8,9,forecast_load_mw_day_ahead,0.64751565
8,10,da_as_as_req_mw_synchronized_reserve,0.3295825
8,11,da_as_as_mw_synchronized_reserve,0.3486307
8,12,gen_fuel_coal_mw,0.6535655
8,13,da_as_total_mw_synchronized_reserve,0.3421246
8,14,da_as_as_mw_primary_reserve,0.31725755
8,15,gen_fuel_wind_mw,0.7112181
8,16,da_as_total_mw_primary_reserve,0.31968203
8,17,wind_generation_mw,0.6936592
8,18,total_pjm_assigned_reg,0.5704241
8,19,total_pjm_reg_purchases,0.562378
8,20,total_pjm_rt_load_mwh,0.67325705
8,21,metered_load_mw,0.66681165
8,22,forecast_load_mw_latest_available,0.6690781
8,23,gross_inadv_interchange_mw,0.6679477
8,24,prelim_load_avg_hourly,0.6598194
8,25,total_lmp_da,0.57137036
9,1,gross_sched_interchange_mw,0.5571506
9,2,da_as_as_mw_thirty_minutes_reserve,0.5603938
9,3,gen_fuel_nuclear_mw,0.59548646
9,4,da_as_total_mw_thirty_minutes_reserve,0.5714802
9,5,gen_fuel_gas_mw,0.6119272
9,6,total_pjm_rmccp_cr,0.7546087
9,7,da_as_as_req_mw_thirty_minutes_reserve,0.30632302
9,8,da_as_as_req_mw_primary_reserve,0.3337449
9,9,forecast_load_mw_day_ahead,0.6445574
9,10,da_as_as_req_mw_synchronized_reserve,0.3350866
9,11,da_as_as_mw_synchronized_reserve,0.3511699
9,12,gen_fuel_coal_mw,0.6526061
9,13,da_as_total_mw_synchronized_reserve,0.34518147
9,14,da_as_as_mw_primary_reserve,0.32235208
9,15,gen_fuel_wind_mw,0.7145266
9,16,da_as_total_mw_primary_reserve,0.32485816
9,17,wind_generation_mw,0.695789
9,18,total_pjm_assigned_reg,0.58135295
9,19,total_pjm_reg_purchases,0.57452905
9,20,total_pjm_rt_load_mwh,0.670295
9,21,metered_load_mw,0.664329
9,22,forecast_load_mw_latest_available,0.6663972
9,23,gross_inadv_interchange_mw,0.66603816
9,24,prelim_load_avg_hourly,0.65722233
9,25,total_lmp_da,0.58477795
10,1,gross_sched_interchange_mw,0.5721984
10,2,da_as_as_mw_thirty_minutes_reserve,0.57205486
10,3,gen_fuel_nuclear_mw,0.6078623
10,4,da_as_total_mw_thirty_minutes_reserve,0.5816059
10,5,gen_fuel_gas_mw,0.61720747
10,6,total_pjm_rmccp_cr,0.75114775
10,7,da_as_as_req_mw_thirty_minutes_reserve,0.31709427
10,8,da_as_as_req_mw_primary_reserve,0.3438407
10,9,forecast_load_mw_day_ahead,0.64487565
10,10,da_as_as_req_mw_synchronized_reserve,0.34376383
10,11,da_as_as_mw_synchronized_reserve,0.35648122
10,12,gen_fuel_coal_mw,0.65346116
10,13,da_as_total_mw_synchronized_reserve,0.35060126
10,14,da_as_as_mw_primary_reserve,0.32969534
10,15,gen_fuel_wind_mw,0.7086364
10,16,da_as_total_mw_primary_reserve,0.33175492
10,17,wind_generation_mw,0.68894535
10,18,total_pjm_assigned_reg,0.57394904
10,19,total_pjm_reg_purchases,0.5682814
10,20,total_pjm_rt_load_mwh,0.66679686
10,21,metered_load_mw,0.6611754
10,22,forecast_load_mw_latest_available,0.66254467
10,23,gross_inadv_interchange_mw,0.6628972
10,24,prelim_load_avg_hourly,0.65319586
10,25,total_lmp_da,0.57708436
11,1,gross_sched_interchange_mw,0.5740342
11,2,da_as_as_mw_thirty_minutes_reserve,0.57299626
11,3,gen_fuel_nuclear_mw,0.61010784
11,4,da_as_total_mw_thirty_minutes_reserve,0.5821976
11,5,gen_fuel_gas_mw,0.6169512
11,6,total_pjm_rmccp_cr,0.75627273
11,7,da_as_as_req_mw_thirty_minutes_reserve,0.31929716
11,8,da_as_as_req_mw_primary_reserve,0.34616765
11,9,forecast_load_mw_day_ahead,0.6448376
11,10,da_as_as_req_mw_synchronized_reserve,0.3455106
11,11,da_as_as_mw_synchronized_reserve,0.35611498
11,12,gen_fuel_coal_mw,0.6545658
11,13,da_as_total_mw_synchronized_reserve,0.35021958
11,14,da_as_as_mw_primary_reserve,0.33033693
11,15,gen_fuel_wind_mw,0.7110084
11,16,da_as_total_mw_primary_reserve,0.33242267
11,17,wind_generation_mw,0.6907022
11,18,total_pjm_assigned_reg,0.5781081
11,19,total_pjm_reg_purchases,0.5729688
11,20,total_pjm_rt_load_mwh,0.66649854
11,21,metered_load_mw,0.6611004
11,22,forecast_load_mw_latest_available,0.6623607
11,23,gross_inadv_interchange_mw,0.6627942
11,24,prelim_load_avg_hourly,0.65294725
11,25,total_lmp_da,0.5818657
12,1,gross_sched_interchange_mw,0.5771881
12,2,da_as_as_mw_thirty_minutes_reserve,0.5765629
12,3,gen_fuel_nuclear_mw,0.61373156
12,4,da_as_total_mw_thirty_minutes_reserve,0.5854307
12,5,gen_fuel_gas_mw,0.62006825
12,6,total_pjm_rmccp_cr,0.75553864
12,7,da_as_as_req_mw_thirty_minutes_reserve,0.31709835
12,8,da_as_as_req_mw_primary_reserve,0.3436998
12,9,forecast_load_mw_day_ahead,0.6472939
12,10,da_as_as_req_mw_synchronized_reserve,0.34259963
12,11,da_as_as_mw_synchronized_reserve,0.3540846
12,12,gen_fuel_coal_mw,0.6574456
12,13,da_as_total_mw_synchronized_reserve,0.34844637
12,14,da_as_as_mw_primary_reserve,0.32876498
12,15,gen_fuel_wind_mw,0.71488595
12,16,da_as_total_mw_primary_reserve,0.33077997
