W_1,W_2,W_3,W_4,W_5,W_6,epoch
0.0,0.0,0.0,0.0,0.0,0.0,0
-0.05652635,-0.11481962,-0.095496476,-0.10364695,0.19770887,0.095195256,1
-0.1328353,-0.11726903,-0.1127172,-0.098639175,0.14452751,0.16181317,2
-0.22511397,-0.14768024,-0.14824747,-0.13217476,0.1082112,0.23045051,3
-0.2770649,-0.18560258,-0.19271281,-0.17234717,0.087551944,0.31526905,4
-0.3229874,-0.20262931,-0.21296296,-0.1926643,0.05271931,0.3866146,5
-0.3564245,-0.22008741,-0.23119374,-0.2119799,0.027456483,0.4490223,6
-0.38299093,-0.22983368,-0.24262245,-0.22152051,0.0091188075,0.49159232,7
-0.408039,-0.2345014,-0.24551478,-0.22667758,-0.006280996,0.5325954,8
-0.40689477,-0.23858006,-0.2517705,-0.23096219,-0.00567328,0.5517523,9
-0.4225396,-0.25194564,-0.2649725,-0.24472441,-0.013005354,0.5735054,10
-0.4292323,-0.25646248,-0.27090603,-0.2490594,-0.018324524,0.584256,11
-0.44452462,-0.25156945,-0.2661195,-0.24398848,-0.027212238,0.598309,12
-0.4407624,-0.25847486,-0.2730829,-0.25165758,-0.023860741,0.6166727,13
-0.45462632,-0.26284805,-0.27801672,-0.25576466,-0.025388712,0.62168986,14
-0.45450056,-0.2646161,-0.2807174,-0.2574778,-0.027387232,0.6298399,15
-0.45857364,-0.26261038,-0.278443,-0.25624183,-0.027896095,0.64140636,16
-0.46099842,-0.25983626,-0.2784005,-0.25430298,-0.034535974,0.6465535,17
-0.46068802,-0.26115116,-0.28084674,-0.25517634,-0.029921485,0.6512441,18
-0.46810433,-0.2579944,-0.2790971,-0.25210756,-0.03561933,0.6573869,19
-0.46247786,-0.26268208,-0.2851823,-0.25702783,-0.03191131,0.6621103,20
-0.46852013,-0.25609803,-0.28053367,-0.25205186,-0.03498444,0.66843194,21
-0.47441307,-0.26039,-0.2869623,-0.25522208,-0.03276245,0.67083806,22
-0.47706464,-0.25834402,-0.28645584,-0.25378644,-0.03409989,0.67566246,23
-0.47759512,-0.2558861,-0.28471917,-0.25140035,-0.03182939,0.68309087,24
-0.47833416,-0.25454283,-0.28503552,-0.24928145,-0.036488123,0.6837136,25
-0.4773611,-0.25937587,-0.28948694,-0.25391454,-0.032626275,0.6915969,26
-0.4992711,-0.25862014,-0.29004166,-0.2536212,-0.034671582,0.68956405,27
-0.4971283,-0.25941777,-0.2914147,-0.25440353,-0.028652063,0.6984075,28
-0.5194648,-0.26047567,-0.2929822,-0.25532982,-0.036363102,0.7040432,29
-0.51111627,-0.26692778,-0.3008937,-0.26091877,-0.027495556,0.7101944,30
-0.51793104,-0.26456228,-0.29905355,-0.260068,-0.030879576,0.709747,31
-0.51615965,-0.26010874,-0.29684734,-0.25622272,-0.028165318,0.7180493,32
-0.51561046,-0.2563845,-0.2961355,-0.2528774,-0.027689798,0.7139968,33
-0.5138289,-0.2549352,-0.29572642,-0.25247398,-0.028233446,0.71795756,34
-0.51219755,-0.25626644,-0.29931143,-0.25347215,-0.025538323,0.71852297,35
-0.51316863,-0.25130227,-0.29519764,-0.24780956,-0.02489841,0.71866363,36
-0.5137711,-0.25004533,-0.2959422,-0.24783438,-0.027146764,0.71796715,37
-0.5098868,-0.24890548,-0.29768202,-0.24680929,-0.026445758,0.7253958,38
-0.5074115,-0.24994934,-0.30096683,-0.24779668,-0.024118278,0.7265202,39
-0.5107904,-0.24356553,-0.29634038,-0.24197777,-0.024305362,0.7258307,40
-0.5217343,-0.25065544,-0.30201757,-0.24923766,-0.026119461,0.7357498,41
-0.5247516,-0.24757256,-0.30349103,-0.24637964,-0.021585597,0.73431855,42
-0.5197223,-0.24614713,-0.30686343,-0.24478978,-0.016645337,0.73699087,43
-0.5266076,-0.24588028,-0.30821198,-0.24634518,-0.01877002,0.73682266,44
-0.5288187,-0.24522208,-0.30735448,-0.24542879,-0.020719714,0.7377139,45
-0.5221879,-0.24761958,-0.31207058,-0.24834633,-0.016708696,0.7380419,46
-0.5223364,-0.24325958,-0.30970022,-0.24477035,-0.019979475,0.7400343,47
-0.5176548,-0.24094085,-0.30769873,-0.2421284,-0.01457565,0.74296254,48
-0.5223743,-0.24062757,-0.3081216,-0.2421638,-0.016501099,0.74442196,49
-0.5167454,-0.23763637,-0.3089936,-0.24051021,-0.017017724,0.74499243,50
-0.5249067,-0.23591892,-0.30944622,-0.23869331,-0.0150908185,0.75851554,51
-0.5265019,-0.24256332,-0.31913605,-0.2460757,-0.01641288,0.7761026,52
-0.53379726,-0.24152434,-0.32181257,-0.24408889,-0.018843291,0.78037673,53
-0.5373646,-0.24153176,-0.32261443,-0.24414966,-0.016341746,0.79096216,54
-0.53704107,-0.23529004,-0.32169756,-0.23814014,-0.018867055,0.79794484,55
