W_1,W_2,W_3,W_4,W_5,W_6,epoch
0.015290771,0.016600158,-0.0046854494,0.018372227,-0.004382071,0.0040358137,0
0.043349884,-0.07661094,-0.0979762,-0.070101015,0.10845564,0.13799997,1
-0.01127941,-0.04460513,-0.07749572,-0.033406954,0.08630519,0.16119568,2
-0.06472701,-0.04118325,-0.07849666,-0.03141165,0.06352647,0.19195828,3
-0.12964198,-0.058532465,-0.095502704,-0.050708283,0.04184599,0.24437183,4
-0.18637612,-0.08535203,-0.122104675,-0.07933262,0.02567477,0.30288446,5
-0.23926274,-0.09714397,-0.13449498,-0.09216445,0.0044467174,0.35582098,6
-0.28674933,-0.11160334,-0.14911601,-0.10710906,-0.015868707,0.4121169,7
-0.31064633,-0.11899978,-0.15757695,-0.11548196,-0.026853137,0.4546546,8
-0.35023013,-0.12874335,-0.167508,-0.1237462,-0.03329688,0.49330038,9
-0.35851038,-0.13409656,-0.17311685,-0.12989561,-0.038460393,0.5225071,10
-0.3817189,-0.13607754,-0.17679143,-0.1322173,-0.046892,0.5445932,11
-0.390059,-0.14243847,-0.18376368,-0.13862917,-0.050163087,0.5691139,12
-0.39821774,-0.14832446,-0.19227284,-0.1445948,-0.054952346,0.58112,13
-0.40099072,-0.15224195,-0.19847348,-0.14830117,-0.056371365,0.5998582,14
-0.41402453,-0.153071,-0.19985363,-0.14942883,-0.060827326,0.6188312,15
-0.4269372,-0.16255973,-0.21167462,-0.1588781,-0.052689042,0.6258767,16
-0.42534637,-0.16226886,-0.21220632,-0.15856369,-0.056972362,0.6566588,17
-0.43184522,-0.16595477,-0.22018322,-0.16359352,-0.060095605,0.66154474,18
-0.44307134,-0.16636397,-0.22141,-0.16425367,-0.059958838,0.6695868,19
-0.44276208,-0.16418798,-0.22220646,-0.16188481,-0.062579535,0.673618,20
-0.44688532,-0.16539066,-0.22527497,-0.16413194,-0.061253034,0.6758596,21
-0.45128793,-0.1662754,-0.22996289,-0.16559385,-0.06693612,0.6779433,22
-0.45451847,-0.16578571,-0.23059443,-0.16599117,-0.069947556,0.6883709,23
-0.4492458,-0.1689272,-0.2357129,-0.16906944,-0.06448645,0.70087916,24
-0.45649838,-0.16783659,-0.2374397,-0.17022382,-0.07131443,0.70263904,25
-0.47062603,-0.16524966,-0.23449968,-0.16752993,-0.07127433,0.70966077,26
-0.47344166,-0.16978014,-0.24091971,-0.17143185,-0.07306876,0.7232295,27
-0.47286135,-0.16729619,-0.24103227,-0.17009246,-0.071223445,0.71508074,28
-0.4705461,-0.16544767,-0.24117054,-0.1691943,-0.07331184,0.72130424,29
-0.4720041,-0.16961823,-0.24840972,-0.1740723,-0.06775046,0.7361176,30
-0.49820545,-0.18172093,-0.26101798,-0.18941684,-0.06469055,0.75571465,31
-0.49968085,-0.17109945,-0.25325704,-0.17876479,-0.06956129,0.7522159,32
-0.5014565,-0.170747,-0.25362498,-0.17915937,-0.06550479,0.7579547,33
-0.5032035,-0.17428443,-0.26025358,-0.18295534,-0.06482984,0.7532041,34
-0.5063375,-0.1642524,-0.25198403,-0.1721094,-0.06836412,0.7613811,35
-0.4928193,-0.16217113,-0.25473908,-0.17021066,-0.06736994,0.7576221,36
-0.4998389,-0.1678981,-0.26168442,-0.17731386,-0.06250614,0.75764126,37
-0.5018658,-0.15905382,-0.254929,-0.16864051,-0.06576027,0.7600662,38
-0.51141185,-0.16121306,-0.25763953,-0.17022254,-0.062914945,0.7665304,39
-0.5029016,-0.15636703,-0.25744972,-0.16678788,-0.05920963,0.7686922,40
-0.5107045,-0.15633304,-0.25809273,-0.16740474,-0.0614035,0.77411807,41
-0.50421095,-0.1642021,-0.26533982,-0.17339684,-0.055990208,0.7811789,42
-0.50887334,-0.16166869,-0.26211536,-0.17090711,-0.053641267,0.7821195,43
-0.5149134,-0.15642628,-0.2605443,-0.16602974,-0.06079661,0.7823264,44
-0.52116597,-0.15517747,-0.2626641,-0.16616012,-0.060971085,0.77775574,45
-0.52872235,-0.1545421,-0.26358527,-0.16545963,-0.059379462,0.7862889,46
-0.5253629,-0.1574553,-0.2697142,-0.1690911,-0.053858146,0.77873194,47
-0.52363557,-0.15739098,-0.26905555,-0.16832168,-0.052061737,0.78408206,48
-0.5288094,-0.15370317,-0.26819322,-0.16502155,-0.054394238,0.7841133,49
-0.5188354,-0.15201946,-0.26976678,-0.16452672,-0.047341354,0.78465885,50
-0.5290692,-0.1534417,-0.27461118,-0.16615115,-0.051953036,0.79712445,51
-0.52824384,-0.15512119,-0.27857015,-0.16829176,-0.046095703,0.81363946,52
-0.53786963,-0.14895622,-0.27375975,-0.16295406,-0.048449844,0.8207212,53
-0.5414541,-0.149222,-0.27808845,-0.1641231,-0.05083345,0.8297077,54
-0.5543815,-0.15201235,-0.28323266,-0.167304,-0.048416436,0.84480184,55
-0.55600935,-0.1514448,-0.2867128,-0.16697481,-0.042375926,0.84805095,56
-0.5560808,-0.14973794,-0.2872777,-0.16719638,-0.03764677,0.8592502,57
-0.56084627,-0.14996311,-0.28787726,-0.16801679,-0.038540337,0.86151356,58
-0.5623032,-0.14690112,-0.2879027,-0.16567993,-0.039578304,0.8594007,59
-0.55396307,-0.14139058,-0.28887108,-0.16021684,-0.042139273,0.87105703,60
-0.55234987,-0.14364503,-0.29178905,-0.16231766,-0.04215848,0.88354737,61
-0.5644766,-0.14133246,-0.2914878,-0.16227941,-0.03931553,0.88969654,62
-0.5626355,-0.13674508,-0.29208833,-0.15930413,-0.0391843,0.8893215,63
-0.5646177,-0.13468322,-0.29316694,-0.15750054,-0.038594693,0.8977942,64
-0.5548584,-0.13239738,-0.29464653,-0.15683296,-0.03174693,0.9007833,65
-0.558256,-0.13014604,-0.29357487,-0.15347093,-0.03326663,0.9016111,66
-0.5557857,-0.12805296,-0.29614484,-0.15245177,-0.030903675,0.9044558,67
-0.5582776,-0.12512372,-0.29531252,-0.15015551,-0.03540471,0.9091503,68
-0.5591973,-0.12421324,-0.29776415,-0.14925998,-0.033594523,0.9120773,69
-0.556839,-0.120309286,-0.29703435,-0.14473203,-0.029350076,0.9138087,70
-0.55482876,-0.119628936,-0.30003694,-0.14683606,-0.029645264,0.9134594,71
-0.55111307,-0.120547675,-0.30311498,-0.14892446,-0.025912505,0.9178278,72
-0.5449198,-0.11610129,-0.30062026,-0.14407332,-0.02510605,0.92916495,73
-0.5441216,-0.11339995,-0.30108407,-0.14147812,-0.020191805,0.9314755,74
-0.5535064,-0.11177293,-0.30357578,-0.14225881,-0.021315169,0.9370682,75
-0.55053234,-0.11433713,-0.30881527,-0.14501007,-0.020681141,0.94188213,76
-0.55019444,-0.10792701,-0.30690324,-0.13899109,-0.021133069,0.94456154,77
-0.5569981,-0.10286017,-0.30548328,-0.1340265,-0.026815712,0.94554543,78
-0.55971366,-0.102502994,-0.3091868,-0.13467199,-0.01686362,0.94857776,79
-0.55664724,-0.10124973,-0.312872,-0.13484062,-0.019903623,0.9621924,80
-0.5504793,-0.104924165,-0.3185716,-0.13759805,-0.016191442,0.9609856,81
-0.5551641,-0.10392557,-0.31995478,-0.13549995,-0.012522083,0.9620962,82
-0.55159813,-0.09438258,-0.31317216,-0.12622312,-0.0142025165,0.96233267,83
-0.55295783,-0.0911674,-0.31512868,-0.12477299,-0.015073599,0.96239173,84
-0.5518765,-0.08761374,-0.31338117,-0.12120632,-0.017903924,0.9741259,85
-0.552009,-0.085930906,-0.31507078,-0.1189927,-0.016702315,0.9674272,86
-0.54440033,-0.08567008,-0.31761032,-0.11926354,-0.0089832805,0.9744028,87
-0.5342,-0.09068749,-0.32690415,-0.12317612,-0.008592384,0.97875565,88
-0.53902066,-0.086789034,-0.32671136,-0.12051743,-0.010689783,0.97735214,89
-0.54146415,-0.08326112,-0.32702643,-0.11598468,-0.015537454,0.9778966,90
-0.53616756,-0.08687677,-0.33153412,-0.120276116,-0.01156707,0.9841969,91
-0.54134804,-0.08091187,-0.32905778,-0.114602566,-0.0117702475,0.98660314,92
-0.5395845,-0.08129572,-0.33243588,-0.11723366,-0.015456146,0.99040765,93
-0.53915596,-0.0792723,-0.3329216,-0.1144686,-0.0078080078,0.9892036,94
-0.53366387,-0.07780098,-0.33351603,-0.11306616,-0.007318663,0.990925,95
-0.54067117,-0.070590205,-0.32924142,-0.106607385,-0.009749573,0.99555737,96
-0.53950816,-0.0707211,-0.3296322,-0.10630231,-0.007438462,0.9995423,97
-0.5300013,-0.07723866,-0.34051427,-0.113832965,-0.0018040987,0.99519753,98
-0.5332393,-0.060653355,-0.3290128,-0.09915692,-0.005219737,0.98570305,99
-0.53274584,-0.06744851,-0.338271,-0.10625555,-0.005730536,0.99860895,100
-0.52906746,-0.066304944,-0.33971202,-0.10452501,-0.0067507117,0.99942416,101
-0.52412444,-0.06383989,-0.3410274,-0.10253051,0.00014078886,0.996399,102
-0.5198301,-0.06050381,-0.34014484,-0.098451436,-0.0020173313,1.0022547,103
-0.5135528,-0.054243427,-0.3396027,-0.09244011,0.0009141824,0.9985881,104
-0.5258668,-0.05648476,-0.34245402,-0.09561746,-0.0025687548,1.0028781,105
