feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,gate,final_gate,best_epoch_gate
1,da_as_as_mw_thirty_minutes_reserve,1,48,net_actual_interchange_mw,0.07614815441971755,-0.4300114088035583,-0.39416815297246177,-0.2894166004709139,0.40269971867767107,0.8558365835569046,1,1,1,1,1,1,6,0.8558365835569046,0.6397815,0.6397815,0.6766449
2,da_as_total_mw_thirty_minutes_reserve,2,45,net_actual_interchange_mw,0.06680115168473988,-0.42781225695955516,-0.39684885592078545,-0.2519403416643604,0.37389662034362914,0.8453124862765271,1,1,1,1,1,1,6,0.8453124862765271,0.66838294,0.66838294,0.7048604
3,gross_sched_interchange_mw,3,66,net_actual_interchange_mw,0.13280136358951514,-0.46491716099079555,-0.4828652672516189,-0.31812065610230744,0.458119802026588,0.8134304863325155,1,1,1,1,1,1,6,0.8134304863325155,0.57097703,0.57097703,0.5993987
4,gen_fuel_nuclear_mw,4,8,net_actual_interchange_mw,0.11620610397722465,-0.3541013284954533,-0.42417399169991377,-0.24828952607808022,0.44243131835788446,0.7945053233166174,1,1,1,1,1,1,6,0.7945053233166174,0.5892912,0.5892912,0.6169229
5,gen_fuel_gas_mw,5,5,net_actual_interchange_mw,0.026926800486067014,-0.32857987087092566,-0.32749450006662867,-0.20035432774351006,0.28723030214060347,0.9061877994080342,0,1,1,1,1,1,5,0.9061877994080342,0.7643005,0.7643005,0.7997302
6,da_as_as_req_mw_thirty_minutes_reserve,6,42,net_actual_interchange_mw,0.17968932630709744,-0.32442464998287346,-0.4058240141898126,-0.3020780167965689,0.4756106883824669,0.03567341150190416,1,1,1,1,1,0,5,0.4756106883824669,0.0942572,0.0942572,0.09023458
7,da_as_as_req_mw_primary_reserve,7,40,net_actual_interchange_mw,0.18981709847042072,-0.32745917501931604,-0.40179133343569284,-0.24792284195747588,0.45043897299654584,0.06737914625556095,1,1,1,1,1,0,5,0.45043897299654584,0.1019463,0.1019463,0.09818425
8,da_as_as_req_mw_synchronized_reserve,8,41,net_actual_interchange_mw,0.176779058440217,-0.32440049212190586,-0.4045966617736275,-0.23503945483758856,0.4130447362843996,0.06542902202712592,1,1,1,1,1,0,5,0.4130447362843996,0.11818498,0.11818498,0.1149939
9,total_pjm_assigned_reg,9,34,net_actual_interchange_mw,0.039514062033339264,0.2371752769997925,0.26464128967510575,0.16839142183241945,0.2586812802941945,0.40905686227530286,0,1,1,1,1,1,5,0.40905686227530286,0.18905778,0.18905778,0.20869878
10,da_as_as_mw_primary_reserve,10,46,net_actual_interchange_mw,0.0846352069431757,-0.3429191408390256,-0.35078930132896297,-0.25124151597941174,0.3956463541087916,0.11355268746666972,1,1,1,1,1,0,5,0.3956463541087916,0.18130343,0.18130343,0.18515483
11,da_as_total_mw_primary_reserve,11,43,net_actual_interchange_mw,0.08586117661542611,-0.317105694913789,-0.33577180252704397,-0.250127567216758,0.38753969384652254,0.11540437614033942,1,1,1,1,1,0,5,0.38753969384652254,0.17949238,0.17949238,0.18335481
12,da_as_as_mw_synchronized_reserve,12,47,net_actual_interchange_mw,0.07227086810252432,-0.3686681519235862,-0.34756996762223014,-0.23208270891326066,0.32162462404488024,0.23127895862132933,1,1,1,1,1,0,5,0.3686681519235862,0.26361227,0.26361227,0.2771958
13,total_pjm_reg_purchases,13,32,net_actual_interchange_mw,0.04784662303798179,0.22319540302171142,0.2513476044053398,0.18010564359188214,0.29212041327015664,0.36047779824512727,0,1,1,1,1,1,5,0.36047779824512727,0.16110986,0.16110986,0.17576706
14,gen_fuel_other_renewables_mw,14,10,net_actual_interchange_mw,0.04644314285975286,-0.2141386756235211,-0.22306326950137442,-0.13159621186171894,0.20544384106070157,0.3436118157359548,0,1,1,1,1,1,5,0.3436118157359548,0.3642005,0.3642005,0.3915653
15,total_lmp_da,15,57,net_actual_interchange_mw,0.08293949367327802,0.3194899286454909,0.15538592751387983,0.22767306088407008,0.26388865777356646,0.17699830801381972,1,1,1,1,1,0,5,0.3194899286454909,0.14795521,0.14795521,0.15280928
16,total_pjm_rmpcp_cr,16,36,net_actual_interchange_mw,0.11198615027705036,-0.25670840158825464,-0.19853579214335024,-0.15681510037142735,0.27699287628950375,0.1750628708024746,1,1,1,1,1,0,5,0.27699287628950375,0.14793758,0.14793758,0.1553491
17,forecast_load_mw_day_ahead,17,25,net_actual_interchange_mw,0.03352974412550699,-0.17833990194431043,-0.19520200780500904,-0.1161480806085785,0.21205318605309775,0.9165759121206075,0,1,1,0,1,1,4,0.9165759121206075,0.7382754,0.7382754,0.77845883
18,total_pjm_rmccp_cr,18,35,net_actual_interchange_mw,0.3792701808320931,0.24004303842004324,0.11099538421400092,0.14096743614582938,0.1964112597410734,0.8854805931947165,1,1,0,1,0,1,4,0.8854805931947165,0.15451492,0.15451492,0.16401069
19,gen_fuel_wind_mw,19,13,net_actual_interchange_mw,0.014837346333268504,0.175679818344607,0.159428543456348,0.1252864562106853,0.1988406057516847,0.8442467460503356,0,1,1,1,0,1,4,0.8442467460503356,0.5711645,0.5711645,0.6228596
20,da_as_total_mw_synchronized_reserve,20,44,net_actual_interchange_mw,0.05819263646985124,-0.35821513955682577,-0.3473804830605827,-0.23736205705151395,0.3308215015510649,0.2072586810190892,0,1,1,1,1,0,4,0.35821513955682577,0.26834303,0.26834303,0.2816889
21,system_energy_price_da,21,56,net_actual_interchange_mw,0.06784389504394933,0.33200352688612866,0.10329905583733852,0.22178632756938244,0.27150478173379405,0.17619967944852707,1,1,0,1,1,0,4,0.33200352688612866,0.1923398,0.1923398,0.19756432
22,gen_fuel_multiple_fuels_pct,22,17,net_actual_interchange_mw,0.04982634076447717,0.3033634236188058,0.32296110401823375,0.18106064859079457,0.3093514314877337,0.027760330366200726,0,1,1,1,1,0,4,0.32296110401823375,0.058976382,0.058976382,0.061346594
23,gen_fuel_multiple_fuels_mw,23,7,net_actual_interchange_mw,0.03347162984976238,0.20317884003998,0.19623469120069476,0.11200592471851882,0.20199502044442946,0.31125424514864414,0,1,1,0,1,1,4,0.31125424514864414,0.19473913,0.19473913,0.21354342
24,marginal_loss_price_rt,24,63,net_actual_interchange_mw,0.1949391256130735,0.26469801039770624,0.09170787083487848,0.19558738491490052,0.2314035333394437,0.03253500206960559,1,1,0,1,1,0,4,0.26469801039770624,0.06358929,0.06358929,0.062168606
25,gen_fuel_gas_pct,25,15,net_actual_interchange_mw,0.03351654787401633,-0.26061713314991225,-0.25907406908047337,-0.15131078078605148,0.23372701706673576,0.026881487514348504,0,1,1,1,1,0,4,0.26061713314991225,0.21084474,0.21084474,0.22123826
26,marginal_loss_price_da,26,59,net_actual_interchange_mw,0.060538723972195174,0.19675445288166438,0.05183896757766991,0.15615512927439532,0.2414801354109004,0.03997064477338479,1,1,0,1,1,0,4,0.2414801354109004,0.14557545,0.14557545,0.14929861
27,total_lmp_rt,27,61,net_actual_interchange_mw,0.1743151031171437,0.23663579209693641,0.07922782985315176,0.1315151515151515,0.15792517003507545,0.17460514939108132,1,1,0,1,0,0,3,0.23663579209693641,0.108544454,0.108544454,0.1111423
28,rmccp,28,28,net_actual_interchange_mw,0.14924260563882105,0.23138384172225243,0.11507626890343717,0.13297893104631334,0.18182613278020623,0.1989981198870658,1,1,0,1,0,0,3,0.23138384172225243,0.11263706,0.11263706,0.11681972
29,system_energy_price_rt,29,60,net_actual_interchange_mw,0.12751323725556202,0.2260244418950727,0.08991954727713959,0.14200725307003292,0.1525894743378045,0.17966306454870756,1,1,0,1,0,0,3,0.2260244418950727,0.13893133,0.13893133,0.14484936
30,rmpcp,30,29,net_actual_interchange_mw,0.08272074937557232,-0.20401793227151552,-0.13885766693932608,-0.11639308030757903,0.20969936992436364,0.05171265971248973,1,1,0,0,1,0,3,0.20969936992436364,0.12786344,0.12786344,0.13479756
31,gen_fuel_wind_pct,31,23,net_actual_interchange_mw,0.015613508764340155,0.19940130551271112,0.18322283785389076,0.12498898859479314,0.18423393017347997,0.026626704729614755,0,1,1,1,0,0,3,0.19940130551271112,0.1201437,0.1201437,0.12821907
32,gen_fuel_coal_mw,32,4,net_actual_interchange_mw,0.05690704777691717,-0.10673326992642074,-0.1477572879455859,-0.09851698380150639,0.250036970229292,0.8846357213008724,0,0,0,0,1,1,2,0.8846357213008724,0.66099006,0.66099006,0.70321447
33,wind_generation_mw,33,2,net_actual_interchange_mw,0.016435465406142196,0.15642276652617912,0.14931071777384267,0.09112315818737837,0.1614049306056826,0.8516882710074049,0,1,0,0,0,1,2,0.8516882710074049,0.58249414,0.58249414,0.6360192
34,gross_inadv_interchange_mw,34,67,net_actual_interchange_mw,0.022749079701277986,-0.08005587313510944,-0.15305122108697328,-0.027331109257714762,0.15936448118236965,0.8435216433350838,0,0,1,0,0,1,2,0.8435216433350838,0.7405475,0.7405475,0.77923566
35,gen_fuel_oil_mw,35,9,net_actual_interchange_mw,0.07162323018399662,-0.023372460101499834,-0.08945438743254643,0.015599045822817086,0.11101440351612013,0.40091233019724387,1,0,0,0,0,1,2,0.40091233019724387,0.36668077,0.36668077,0.3964979
36,da_as_mcp_primary_reserve,36,37,net_actual_interchange_mw,0.07382927055293982,0.14575211662739593,0.09312650650665746,0.12741064917271502,0.13795136498472202,0.05773840801294373,1,0,0,1,0,0,2,0.14575211662739593,0.12680821,0.12680821,0.13373634
37,total_pjm_rt_load_mwh,37,30,net_actual_interchange_mw,0.023768826986459646,-0.09501818966868772,-0.12321485941177046,-0.040126522189697054,0.14250479866637722,0.91918808836237,0,0,0,0,0,1,1,0.91918808836237,0.753152,0.753152,0.794219
38,metered_load_mw,38,27,net_actual_interchange_mw,0.02246884543357901,-0.08287683543075948,-0.10202579464894647,-0.05094801223241591,0.15751280579338847,0.9172610616203445,0,0,0,0,0,1,1,0.9172610616203445,0.73437876,0.73437876,0.77745754
39,forecast_load_mw_latest_available,39,24,net_actual_interchange_mw,0.026479342963241347,-0.07860694144156706,-0.09908274785858977,-0.03592048590968546,0.1407800590677568,0.9105318160887264,0,0,0,0,0,1,1,0.9105318160887264,0.7321904,0.7321904,0.7755312
40,prelim_load_avg_hourly,40,26,net_actual_interchange_mw,0.023501848992459624,-0.06498590659009289,-0.08781250239371012,-0.050266958947677146,0.1389339633100093,0.9010777593729213,0,0,0,0,0,1,1,0.9010777593729213,0.7237807,0.7237807,0.76806027
41,gross_actual_interchange_mw,41,65,net_actual_interchange_mw,0.04267561596164478,0.00874141608529337,-0.039977211491489306,0.011531832082290798,0.13634520372652487,0.8261976230537292,0,0,0,0,0,1,1,0.8261976230537292,0.6477255,0.6477255,0.69403696
42,gen_fuel_hydro_mw,42,6,net_actual_interchange_mw,0.03271580983515798,0.029267286202913367,0.012251007053103622,0.026842400207615375,0.08425309547046946,0.7514145005534181,0,0,0,0,0,1,1,0.7514145005534181,0.59370506,0.59370506,0.64439094
43,total_pjm_loc_credit,43,31,net_actual_interchange_mw,0.027531546962714575,-0.08532891611344771,0.007778456416658805,-0.055670743812832456,0.0662262554505495,0.6435118064300821,0,0,0,0,0,1,1,0.6435118064300821,0.47774756,0.47774756,0.5321214
44,total_losses,44,1,net_actual_interchange_mw,0.03963189335682223,0.08268687122698032,0.07464246245195844,0.08600682653905208,0.18321022450702223,0.4301389673623036,0,0,0,0,0,1,1,0.4301389673623036,0.30709517,0.30709517,0.33699146
45,net_inadv_interchange_mw,45,64,net_actual_interchange_mw,0.0003383834665777744,-0.07612593896209117,-0.05376412529476608,-0.06442178511385008,0.1073232965918435,0.3891491769165352,0,0,0,0,0,1,1,0.3891491769165352,0.40023875,0.40023875,0.440552
46,da_as_nsr_mw_primary_reserve,46,55,net_actual_interchange_mw,0.0526706886512562,-0.06194170830301933,-0.054675418314887654,-0.05459796957454676,0.09624239879732335,0.3483430641824791,0,0,0,0,0,1,1,0.3483430641824791,0.30760005,0.30760005,0.33791608
47,total_pjm_self_sched_reg,47,33,net_actual_interchange_mw,0.023434376731549883,-0.0815410659852478,-0.052308463597488176,-0.061263595540462075,0.12677247106196993,0.329489573805287,0,0,0,0,0,1,1,0.329489573805287,0.31836632,0.31836632,0.35025597
48,da_as_ss_mw_synchronized_reserve,48,50,net_actual_interchange_mw,0.024282302142760594,0.04791394873022278,0.039077971075887834,0.068849050508466,0.10828789911236085,0.3274919622918721,0,0,0,0,0,1,1,0.3274919622918721,0.30972862,0.30972862,0.3402818
49,da_as_ss_mw_thirty_minutes_reserve,49,51,net_actual_interchange_mw,0.031553198641253555,0.06853296523252468,0.05635638051904417,0.060668304973258605,0.11929312999370895,0.3239248024042263,0,0,0,0,0,1,1,0.3239248024042263,0.28424966,0.28424966,0.31224954
50,da_as_ss_mw_primary_reserve,50,49,net_actual_interchange_mw,0.025728792136308732,0.05799509543399156,0.04638401096980565,-0.009476402130862156,0.07624665713365489,0.32308731599228174,0,0,0,0,0,1,1,0.32308731599228174,0.2967197,0.2967197,0.32809618
51,gen_fuel_solar_mw,51,11,net_actual_interchange_mw,0.023426011053235038,0.012067249688806033,-0.06156325063954124,-0.015076136039258795,0.07539363261650343,0.3033751386757592,0,0,0,0,0,1,1,0.3033751386757592,0.37071726,0.37071726,0.4026171
52,gen_fuel_coal_pct,52,14,net_actual_interchange_mw,0.05503081052562919,-0.04289632110373378,-0.010667488740639414,-0.0374193594428789,0.20001078401562736,0.027529052543861645,0,0,0,0,1,0,1,0.20001078401562736,0.11957887,0.11957887,0.12651792
53,congestion_price_rt,53,62,net_actual_interchange_mw,0.01308666679975735,0.12419966251896089,0.15492351735923182,0.09126089763007594,0.18219953170208317,0.032320130154487925,0,0,1,0,0,0,1,0.18219953170208317,0.120687895,0.120687895,0.12978338
54,da_as_mcp_synchronized_reserve,54,38,net_actual_interchange_mw,0.05045383583201255,0.17449953557064066,0.13288821446455013,0.1108502522973809,0.13442121970944082,0.06277166454117508,0,1,0,0,0,0,1,0.17449953557064066,0.13108839,0.13108839,0.13973382
55,congestion_price_da,55,58,net_actual_interchange_mw,0.07314183130197613,-0.03890771454530161,-0.06644916216761655,-0.047686961356686125,0.17095770347920042,0.06978825087428848,1,0,0,0,0,0,1,0.17095770347920042,0.15061507,0.15061507,0.15880641
