W_1,W_2,W_3,W_4,W_5,W_6,epoch
0.18579486,0.026609385,-0.18632436,0.05198393,0.14676602,0.26658484,1
0.1059415,0.06177895,-0.16922326,0.09591169,0.13985205,0.31315884,2
0.011401014,0.07273171,-0.16355439,0.109371476,0.09692393,0.33978152,3
-0.063050576,0.05402372,-0.18577532,0.08631854,0.08486479,0.39211103,4
-0.12397466,0.02268144,-0.21630858,0.051734474,0.05807394,0.4613497,5
-0.16513547,0.003761698,-0.23583746,0.029935267,0.030525154,0.5047708,6
-0.19518812,-0.0063095037,-0.24576129,0.017819744,0.008009031,0.55645937,7
-0.22465783,-0.025494905,-0.26644334,-0.0028360581,-0.013404429,0.61868834,8
-0.25523585,-0.034322754,-0.27544788,-0.013252364,-0.03265041,0.6566598,9
-0.27655807,-0.046501238,-0.2904258,-0.025724703,-0.036153406,0.6937355,10
-0.3039606,-0.052952785,-0.296706,-0.033460483,-0.04908762,0.7224314,11
-0.3131552,-0.05229807,-0.29803592,-0.03189201,-0.058286734,0.7523348,12
-0.33222967,-0.05726783,-0.3057309,-0.037875768,-0.063880414,0.79268366,13
-0.34784678,-0.058283187,-0.3084807,-0.039080862,-0.071326435,0.81330234,14
-0.35327652,-0.05710616,-0.30773443,-0.038678512,-0.072333835,0.83574677,15
-0.3701122,-0.061694425,-0.31379852,-0.044184025,-0.073272005,0.8408688,16
-0.37257847,-0.06125835,-0.31575704,-0.04325148,-0.0784737,0.8504744,17
-0.3824199,-0.061646562,-0.32030544,-0.04520426,-0.0846669,0.86006045,18
-0.39170644,-0.06165479,-0.3205756,-0.045968536,-0.08845305,0.872084,19
-0.40223894,-0.06022289,-0.31959346,-0.046187345,-0.09107114,0.884232,20
-0.41060945,-0.060849827,-0.32007414,-0.045599073,-0.09193944,0.888515,21
-0.4246468,-0.0653761,-0.32518643,-0.05105424,-0.09596255,0.89738244,22
-0.42657945,-0.068077005,-0.32924408,-0.054118678,-0.100540146,0.900657,23
-0.4334394,-0.06646366,-0.32721788,-0.053400896,-0.10034724,0.90818423,24
-0.44282466,-0.06262362,-0.323901,-0.051210117,-0.11028833,0.91862345,25
-0.44202664,-0.067053884,-0.32745185,-0.057144795,-0.10280178,0.9229744,26
-0.4542423,-0.06706199,-0.32793328,-0.05760234,-0.10891827,0.9213232,27
-0.45193762,-0.07046875,-0.33101895,-0.061554804,-0.10938262,0.9294078,28
-0.44994578,-0.06943627,-0.33026674,-0.06142026,-0.11046378,0.9253074,29
-0.45078745,-0.0684676,-0.32934436,-0.06137907,-0.11356582,0.9368953,30
-0.45260236,-0.06962536,-0.33270237,-0.06241412,-0.11696911,0.93768626,31
-0.44153288,-0.07380706,-0.3373871,-0.066997156,-0.11596578,0.9449543,32
-0.4498983,-0.07556106,-0.3361536,-0.067992665,-0.11614329,0.94820553,33
-0.45149708,-0.07388975,-0.33678582,-0.06776438,-0.11837501,0.94196653,34
-0.45343068,-0.075552456,-0.3393538,-0.070685156,-0.12029872,0.94558233,35
-0.45033136,-0.07159079,-0.33557618,-0.06841082,-0.121217586,0.94277996,36
-0.44147664,-0.07092425,-0.33322474,-0.066658676,-0.11514005,0.94303596,37
-0.44189656,-0.06428837,-0.32895786,-0.062189225,-0.123159274,0.9426122,38
-0.43317172,-0.06755449,-0.3321071,-0.064888634,-0.12277543,0.9449629,39
-0.43454775,-0.06370969,-0.32780674,-0.062198773,-0.12659441,0.9476511,40
-0.43412563,-0.07001865,-0.3351835,-0.0701519,-0.12208323,0.947543,41
-0.43437994,-0.062805034,-0.32815963,-0.062024884,-0.12697344,0.94402695,42
-0.4269359,-0.06674415,-0.33463398,-0.06694089,-0.12484266,0.9411468,43
-0.44044933,-0.069682516,-0.33602753,-0.07151781,-0.12599769,0.94485927,44
-0.4371542,-0.070569426,-0.3371923,-0.07158506,-0.12718698,0.9438706,45
-0.44605172,-0.07040683,-0.33525974,-0.07224916,-0.122816466,0.9433571,46
-0.43793753,-0.07522674,-0.3399186,-0.07548229,-0.11918266,0.9543673,47
-0.4465217,-0.0729205,-0.33754355,-0.07381803,-0.12465391,0.94687897,48
-0.45497543,-0.076050505,-0.34041688,-0.07887044,-0.13350375,0.9449995,49
-0.44863313,-0.07186476,-0.33623195,-0.074829444,-0.13400756,0.9466321,50
-0.4323143,-0.065549836,-0.3322214,-0.070208594,-0.1252116,0.94942564,51
-0.44829386,-0.069014914,-0.3322339,-0.07340735,-0.12896147,0.9549769,52
-0.45261174,-0.06806601,-0.33240637,-0.07223698,-0.12707996,0.94790614,53
-0.4459119,-0.066000834,-0.33056217,-0.071482554,-0.12578148,0.96289545,54
-0.43999255,-0.06397252,-0.32872966,-0.069012456,-0.12545337,0.9610429,55
-0.44716343,-0.06784401,-0.33180422,-0.074073955,-0.12725884,0.9465773,56
-0.4527828,-0.06334977,-0.32465643,-0.0688196,-0.13044584,0.95378494,57
-0.43885243,-0.063261785,-0.327086,-0.06775874,-0.1327295,0.9570268,58
-0.44064596,-0.067980826,-0.33063045,-0.0724555,-0.1263797,0.9534985,59
-0.43511257,-0.06304467,-0.32773188,-0.0692011,-0.13334449,0.9531145,60
-0.43884185,-0.06487596,-0.32831857,-0.070182525,-0.13218866,0.95069355,61
-0.43232584,-0.07025801,-0.33371565,-0.07582786,-0.13070402,0.95927733,62
-0.43343288,-0.065738946,-0.32798815,-0.07115784,-0.1304824,0.9546879,63
-0.42898175,-0.0633759,-0.3237479,-0.06821368,-0.13095698,0.956147,64
-0.43715054,-0.061811082,-0.3215533,-0.06861373,-0.13286206,0.9649703,65
-0.427763,-0.060737252,-0.3225602,-0.06858601,-0.13188815,0.9649233,66
-0.42766342,-0.0622481,-0.32304814,-0.070281155,-0.13465598,0.9562898,67
-0.41883343,-0.062281862,-0.32339913,-0.07064349,-0.1286455,0.9591026,68
-0.41191897,-0.06364414,-0.324091,-0.071270406,-0.12502636,0.9535045,69
-0.41001296,-0.062420923,-0.32353577,-0.07228078,-0.12506635,0.9519038,70
-0.41001776,-0.06535111,-0.32728133,-0.0743475,-0.12797925,0.9506847,71
-0.40506223,-0.05958588,-0.3198358,-0.06957634,-0.13006482,0.9600169,72
-0.42405862,-0.060675748,-0.31944638,-0.070706986,-0.13367826,0.9525255,73
-0.41126502,-0.058117285,-0.31537956,-0.06648858,-0.1254393,0.95485294,74
-0.41694802,-0.058516998,-0.31645507,-0.06896038,-0.13561061,0.95197666,75
-0.41299775,-0.057961803,-0.3170526,-0.06824185,-0.1310738,0.9425486,76
-0.40478688,-0.06372144,-0.32217,-0.07351683,-0.12161263,0.93562984,77
-0.41722596,-0.060353767,-0.31722856,-0.06924162,-0.12672238,0.9534407,78
-0.4069937,-0.057656296,-0.31463093,-0.0671485,-0.12964882,0.94484085,79
-0.41596392,-0.056484573,-0.31116238,-0.06828065,-0.13515887,0.9418598,80
-0.4070641,-0.060309898,-0.31307667,-0.07094293,-0.13071515,0.9538129,81
-0.40820602,-0.0588844,-0.31295747,-0.070518844,-0.13650082,0.9485762,82
-0.4109264,-0.062792316,-0.31456053,-0.071277395,-0.12997365,0.9386934,83
-0.41597202,-0.0613749,-0.3117491,-0.070082255,-0.1283435,0.9529887,84
-0.41255262,-0.06260024,-0.3158463,-0.073146455,-0.14016093,0.94848067,85
-0.40412974,-0.067776226,-0.3191025,-0.07799372,-0.13150068,0.94253474,86
-0.39992666,-0.06496781,-0.31829858,-0.07619084,-0.13622345,0.9408173,87
-0.41522747,-0.063005656,-0.31438106,-0.07296596,-0.1353258,0.9438707,88
-0.4003598,-0.06294144,-0.31556603,-0.072955914,-0.13011642,0.9437899,89
-0.41360256,-0.05312637,-0.3045606,-0.06458356,-0.13926937,0.9385816,90
-0.40868056,-0.06331188,-0.31291428,-0.0744818,-0.13109198,0.94170505,91
-0.4057832,-0.053429786,-0.30360857,-0.06550469,-0.133565,0.9313856,92
-0.39852753,-0.058017988,-0.3097681,-0.070048586,-0.13061763,0.93557125,93
-0.40820768,-0.05629491,-0.30531573,-0.06914143,-0.13158844,0.92261904,94
-0.40663218,-0.056195773,-0.3035301,-0.06934075,-0.13315392,0.92318976,95
-0.4102139,-0.06095622,-0.30697078,-0.073275924,-0.13392362,0.92244935,96
-0.40523502,-0.058360595,-0.30478072,-0.069955744,-0.1337979,0.918919,97
-0.4196448,-0.052713852,-0.2965659,-0.06387194,-0.14287359,0.92196757,98
-0.39986786,-0.05691681,-0.30197197,-0.069365926,-0.13442053,0.92603034,99
-0.40714845,-0.055416934,-0.2987807,-0.06872917,-0.14217438,0.9256168,100
-0.40021175,-0.0550313,-0.29838836,-0.06717924,-0.12922713,0.9244658,101
-0.40099466,-0.059533793,-0.30260485,-0.07179926,-0.12773913,0.91432124,102
-0.4051185,-0.05463263,-0.29581192,-0.06720009,-0.12927255,0.92028284,103
-0.40990052,-0.055644426,-0.2970326,-0.06781713,-0.13438028,0.9278362,104
-0.40779418,-0.05544859,-0.29774195,-0.06838956,-0.13473868,0.92844623,105
-0.4053511,-0.062075485,-0.30236682,-0.0748486,-0.13487476,0.92335886,106
-0.3998909,-0.050740305,-0.29279074,-0.06459198,-0.13563915,0.9300052,107
-0.4081144,-0.05254831,-0.2931796,-0.06614254,-0.14215411,0.92119056,108
-0.40176338,-0.05674292,-0.2973011,-0.07025601,-0.13329153,0.9239149,109
-0.40851712,-0.05669149,-0.2971108,-0.06987295,-0.13762832,0.9229523,110
-0.4090803,-0.055872384,-0.29506904,-0.068420075,-0.13629554,0.92431265,111
-0.3963176,-0.059900105,-0.29931045,-0.07267126,-0.13055836,0.9334811,112
-0.41414797,-0.06424829,-0.3015603,-0.07707178,-0.13012603,0.9399031,113
-0.4209071,-0.05870553,-0.29535913,-0.07188282,-0.13242106,0.9302814,114
-0.4170143,-0.05976636,-0.29638544,-0.07320567,-0.12578452,0.9219249,115
-0.4185361,-0.054057226,-0.29150555,-0.06917229,-0.1346373,0.9163329,116
-0.4164878,-0.05561825,-0.29027608,-0.070093624,-0.1358022,0.9257934,117
-0.41557115,-0.049405385,-0.28424835,-0.06271918,-0.13257101,0.9231387,118
-0.41010594,-0.057745792,-0.291822,-0.07110538,-0.13110924,0.9254103,119
-0.40419078,-0.050617088,-0.28570244,-0.065279424,-0.1326009,0.9216007,120
-0.3963108,-0.052154418,-0.28708977,-0.06769376,-0.12849517,0.9212927,121
-0.40395784,-0.05009597,-0.28291583,-0.06347412,-0.13136625,0.9144545,122
-0.4017065,-0.053149443,-0.28580713,-0.06879806,-0.13695003,0.9050716,123
-0.40153036,-0.05393842,-0.28576475,-0.069363125,-0.13674033,0.913061,124
-0.39530253,-0.048247546,-0.27774587,-0.06468731,-0.13390698,0.913117,125
-0.39520335,-0.05665266,-0.2847585,-0.07381791,-0.1390583,0.912612,126
