rank,index,center,related,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score
1,57,total_lmp_rt,system_energy_price_da,1.0,0.828840008242682,0.6537736243110209,0.6693061292813193,0.7658615445809102,0.09472050550981108,1,1,1,1,1,1,6,1.0
2,58,total_lmp_rt,total_lmp_da,1.0,0.8266210301223215,0.631425395114452,0.6407812065610231,0.7427072757436439,0.08732152427215087,1,1,1,1,1,1,6,1.0
3,36,total_lmp_rt,total_pjm_rmccp_cr,0.8851034276947974,0.6172301197487203,0.6058513192464782,0.42369633536110396,0.588334584431387,0.1879488720933149,1,1,1,1,1,1,6,0.8851034276947974
4,19,total_lmp_rt,gen_fuel_nuclear_pct,0.8260592871385826,-0.6544582369436954,-0.42029956025929205,-0.4771707178696708,0.5686398780742984,0.0651807641417431,1,1,1,1,1,1,6,0.8260592871385826
5,28,total_lmp_rt,metered_load_mw,0.7513860188716576,0.5982759389860238,0.3953689194871435,0.43368084514873506,0.5305378894270043,0.19099726527794497,1,1,1,1,1,1,6,0.7513860188716576
6,31,total_lmp_rt,total_pjm_rt_load_mwh,0.7225187678212299,0.6120394307390522,0.42667241353889934,0.39707311241783205,0.483822583865056,0.18432077658619375,1,1,1,1,1,1,6,0.7225187678212299
7,10,total_lmp_rt,gen_fuel_oil_mw,0.22016927142359624,0.5501303274662388,0.6489393254083292,0.36143218300277447,0.5807480326234256,0.09045927271747559,1,1,1,1,1,1,6,0.6489393254083292
8,27,total_lmp_rt,prelim_load_avg_hourly,0.6119707063027287,0.614556918744721,0.41473527993935977,0.4503825760235839,0.5515437182553193,0.18802455685023525,1,1,1,1,1,1,6,0.614556918744721
9,25,total_lmp_rt,forecast_load_mw_latest_available,0.5963863161183244,0.5695071958964191,0.4207014573198404,0.4299478799294417,0.5356265946092695,0.19185454961836837,1,1,1,1,1,1,6,0.5963863161183244
10,6,total_lmp_rt,gen_fuel_gas_mw,0.5677963451644475,0.5158502464908875,0.3876540548141866,0.36233096839569695,0.4924359387065312,0.18726219896272583,1,1,1,1,1,1,6,0.5677963451644475
11,1,total_lmp_rt,total_gen,0.4995457146158205,0.5520350324483368,0.40259874675718327,0.3795551848762858,0.5021365492090807,0.18668169429604012,1,1,1,1,1,1,6,0.5520350324483368
12,26,total_lmp_rt,forecast_load_mw_day_ahead,0.550420233369768,0.502076073139863,0.38482632779627396,0.34972177782731084,0.4527141044538368,0.19769218697993657,1,1,1,1,1,1,6,0.550420233369768
13,49,total_lmp_rt,da_as_as_mw_thirty_minutes_reserve,0.5472149824352817,-0.3647246147538298,-0.3222730518941861,-0.26067386992388153,0.3755422047268955,0.174800349232538,1,1,1,1,1,1,6,0.5472149824352817
14,5,total_lmp_rt,gen_fuel_coal_mw,0.2444930466918502,0.51225439656665,0.37568465628492687,0.37034339257350823,0.43286152640441655,0.1893481242901385,1,1,1,1,1,1,6,0.51225439656665
15,8,total_lmp_rt,gen_fuel_multiple_fuels_mw,0.4815734452262316,0.4225936227638983,0.30463833504871785,0.2483976368039339,0.348300835064063,0.07269144998597374,1,1,1,1,1,1,6,0.4815734452262316
16,7,total_lmp_rt,gen_fuel_hydro_mw,0.21364277928370012,0.42706892668482593,0.36113686530883554,0.3133321403569885,0.44164915130777654,0.16317374450700062,1,1,1,1,1,1,6,0.44164915130777654
17,32,total_lmp_rt,total_pjm_loc_credit,0.1676513705616848,0.33201101725011845,0.43677850661135753,0.20455691444769594,0.4050531573181784,0.11414066213729664,1,1,1,1,1,1,6,0.43677850661135753
18,2,total_lmp_rt,total_losses,0.36708855622208886,0.43191331700878743,0.3098037778216251,0.29175842043033434,0.36598036730272326,0.08965370084245079,1,1,1,1,1,1,6,0.43191331700878743
19,46,total_lmp_rt,da_as_total_mw_thirty_minutes_reserve,0.39582095414716856,-0.38813737644352175,-0.3287694104750258,-0.26967149594093864,0.3882433489412955,0.18271636503017238,1,1,1,1,1,1,6,0.39582095414716856
20,33,total_lmp_rt,total_pjm_reg_purchases,0.08910830504447992,0.38118953390994814,0.2614702512758888,0.2771948846260773,0.33762324733069377,0.07945738333439407,1,1,1,1,1,1,6,0.38118953390994814
21,67,total_lmp_rt,gross_inadv_interchange_mw,0.21190716179126395,0.37848699360966587,0.2676706619114977,0.26519043647484014,0.3434124433299788,0.1743914212085565,1,1,1,1,1,1,6,0.37848699360966587
22,65,total_lmp_rt,gross_actual_interchange_mw,0.08374805351840037,0.2955760600514209,0.10461316852412927,0.19258270781206563,0.22176065923519192,0.1742409458593398,1,1,1,1,1,1,6,0.2955760600514209
23,35,total_lmp_rt,total_pjm_assigned_reg,0.0647484339903791,0.2913069672870482,0.22061986096431915,0.16705357071552301,0.2072738587796346,0.08642328168044179,1,1,1,1,1,1,6,0.2913069672870482
24,29,total_lmp_rt,rmccp,1.0,0.5788110624601313,0.5802302667745404,0.38627319681042316,0.5733259858675751,0.04670644287845472,1,1,1,1,1,0,5,1.0
25,60,total_lmp_rt,marginal_loss_price_da,0.8902508125948267,0.49053223621844017,0.5877400103914868,0.34646257051896784,0.5761053609554823,0.04118775217735061,1,1,1,1,1,0,5,0.8902508125948267
26,61,total_lmp_rt,congestion_price_rt,0.861057576734505,0.5629264843039513,0.5335877501295894,0.40488594679367973,0.6305067027576647,0.03801607033223235,1,1,1,1,1,0,5,0.861057576734505
27,21,total_lmp_rt,gen_fuel_other_renewables_pct,0.6854144876380441,-0.4920806057567602,-0.2945919755011872,-0.41052332819302445,0.4543849383515699,0.04132314863046674,1,1,1,1,1,0,5,0.6854144876380441
28,20,total_lmp_rt,gen_fuel_oil_pct,0.15717034548770892,0.49084256822669814,0.6053190254918477,0.3609238862257386,0.5844746795463445,0.03352015561896155,1,1,1,1,1,0,5,0.6053190254918477
29,39,total_lmp_rt,da_as_mcp_synchronized_reserve,0.4371997223766412,0.46170576572536765,0.4877677525216454,0.38596170473956926,0.5525531627232392,0.038345097419377756,1,1,1,1,1,0,5,0.5525531627232392
30,38,total_lmp_rt,da_as_mcp_primary_reserve,0.2401126805824392,0.40178598445446284,0.5140758945712229,0.285695088221107,0.4672236268169975,0.02926812395704066,1,1,1,1,1,0,5,0.5140758945712229
31,13,total_lmp_rt,gen_fuel_storage_mw,0.3874942470509175,0.4194582497677601,0.23026650205096455,0.3360632668963978,0.39062655275783564,0.03545898018434307,1,1,1,1,1,0,5,0.4194582497677601
32,15,total_lmp_rt,gen_fuel_coal_pct,0.2629366425245982,0.4064181409673811,0.23578904495258268,0.27701327292696404,0.32858164358981623,0.03238811727406082,1,1,1,1,1,0,5,0.4064181409673811
33,59,total_lmp_rt,congestion_price_da,0.20564989895599603,0.18092228745591218,0.3198345989715994,0.11133166527661939,0.34760427870184696,0.028015438602268673,1,1,1,1,1,0,5,0.34760427870184696
34,17,total_lmp_rt,gen_fuel_hydro_pct,0.07145795312506716,0.34437495551752906,0.2939551571610111,0.21928188648643032,0.3092008324447686,0.026287678045949038,1,1,1,1,1,0,5,0.34437495551752906
35,18,total_lmp_rt,gen_fuel_multiple_fuels_pct,0.07494734941593414,0.3227134102781741,0.2320159596833257,0.2326482876334193,0.28967854516194314,0.02202946323349095,1,1,1,1,1,0,5,0.3227134102781741
36,16,total_lmp_rt,gen_fuel_gas_pct,0.2368509793568415,0.2795705708956209,0.1846353296940236,0.16740775449050357,0.24192106353837886,0.019200796211221942,1,1,1,1,1,0,5,0.2795705708956209
37,62,total_lmp_rt,net_actual_interchange_mw,0.14092223803568982,0.2444468229928574,0.09795701377241545,0.15970809007506256,0.1847761940162536,0.17522150793257854,1,1,0,1,1,1,5,0.2444468229928574
38,63,total_lmp_rt,net_sched_interchange_mw,0.16612108376661047,0.23538648151354089,0.07936373485623939,0.17817221168492742,0.2010449499843647,0.17398418859267623,1,1,0,1,1,1,5,0.23538648151354089
39,24,total_lmp_rt,gen_fuel_wind_pct,0.09061371644978303,-0.16480001836811942,-0.13384314619331986,-0.08870924561677955,0.13643370754156434,0.015380393214852165,1,1,1,1,1,0,5,0.16480001836811942
40,64,total_lmp_rt,net_inadv_interchange_mw,0.0,0.13759987538060828,0.11261623354065906,0.09590081727887864,0.14512418281396308,0.08069620751379726,0,1,1,1,1,1,5,0.14512418281396308
41,30,total_lmp_rt,rmpcp,0.057034556690974916,-0.1921099133331929,-0.031008669022077055,-0.10283670409986853,0.1232661333834787,0.012917922268453843,1,1,0,1,1,0,4,0.1921099133331929
42,9,total_lmp_rt,gen_fuel_nuclear_mw,0.4883043672767457,0.07654279349509599,0.0529668923671119,0.0319834288138346,0.10779047854453279,0.1599787651092882,1,0,0,0,1,1,3,0.4883043672767457
43,45,total_lmp_rt,da_as_total_mw_synchronized_reserve,0.25069369717721773,-0.10009525320380305,0.008774681829514137,-0.06403251120824857,0.12281623504315814,0.04722230532246859,1,1,0,0,1,0,3,0.25069369717721773
44,37,total_lmp_rt,total_pjm_rmpcp_cr,0.04089570021621109,-0.18655135788169017,-0.00818293252240241,-0.13847978516673737,0.15319906610482883,0.04258116640305351,0,1,0,1,1,0,3,0.18655135788169017
45,14,total_lmp_rt,gen_fuel_wind_mw,0.08262003702985404,-0.07121460389742337,-0.07313178877781411,-0.05157975522302858,0.10571601797829835,0.17013772916696718,1,0,0,0,1,1,3,0.17013772916696718
46,66,total_lmp_rt,gross_sched_interchange_mw,0.05360442889836527,0.05345253483399859,0.062039196248618346,0.031467889908256885,0.11206997527835692,0.16993821745026672,1,0,0,0,1,1,3,0.16993821745026672
47,48,total_lmp_rt,da_as_as_mw_synchronized_reserve,0.16669039285356174,-0.12020612015085118,-0.007307656044580074,-0.06543131140229237,0.1080660527525955,0.0435141771189867,1,1,0,0,1,0,3,0.16669039285356174
48,50,total_lmp_rt,da_as_ss_mw_primary_reserve,0.06428317932474849,0.07357127915108601,0.02153740029058765,0.07972735931657056,0.10784645258198525,0.0736441863879384,1,0,0,0,1,1,3,0.10784645258198525
49,51,total_lmp_rt,da_as_ss_mw_synchronized_reserve,0.36796140291146373,0.05729335979097172,0.005099632609220561,0.05903524908376253,0.09543681185984065,0.07315697400735593,1,0,0,0,0,1,2,0.36796140291146373
50,22,total_lmp_rt,gen_fuel_solar_pct,0.330261563669383,-0.01250983287949381,-0.03888865676396576,0.002216778377613386,0.11882738205590396,0.009683852537967752,1,0,0,0,1,0,2,0.330261563669383
51,56,total_lmp_rt,da_as_nsr_mw_primary_reserve,0.30050174589063644,0.05349325631739194,-0.014087274393531213,0.006508861391055153,0.08101850407336868,0.08276830826370277,1,0,0,0,0,1,2,0.30050174589063644
52,52,total_lmp_rt,da_as_ss_mw_thirty_minutes_reserve,0.19381649768319548,0.04943948154819995,-0.002202116649622784,0.0371362895371404,0.08029321534503002,0.07489680454122952,1,0,0,0,0,1,2,0.19381649768319548
53,12,total_lmp_rt,gen_fuel_solar_mw,0.13157072843730433,0.031061847036324586,-0.014697248461926039,0.03684925450151704,0.07590302425602599,0.05576459700934196,1,0,0,0,0,1,2,0.13157072843730433
54,3,total_lmp_rt,wind_generation_mw,0.04129790187825478,-0.09602647002428034,-0.06476091863839531,-0.04417292187934389,0.09630236138944587,0.17373695730667266,0,0,0,0,0,1,1,0.17373695730667266
55,41,total_lmp_rt,da_as_as_req_mw_primary_reserve,0.1513988841841128,0.01596452677735501,0.037296963511574084,0.015755323990901588,0.05379193551894428,0.02005143673578778,1,0,0,0,0,0,1,0.1513988841841128
56,4,total_lmp_rt,solar_generation_mw,0.10153945732553883,-0.018997852486027204,-0.003070798862534409,-0.0022978040200993238,0.08826005153984282,0.03379664810560082,1,0,0,0,0,0,1,0.10153945732553883
57,43,total_lmp_rt,da_as_as_req_mw_thirty_minutes_reserve,0.0852861862271747,-0.0059265727948052925,0.04822606295077729,-0.04145913294290126,0.07199994656575276,0.010315599363932405,1,0,0,0,0,0,1,0.0852861862271747
58,42,total_lmp_rt,da_as_as_req_mw_synchronized_reserve,0.07127757537371084,0.01795234633027385,0.0459221997591987,-0.017329110229772765,0.08108233574111776,0.018750247769168085,1,0,0,0,0,0,1,0.08108233574111776
59,11,total_lmp_rt,gen_fuel_other_renewables_mw,0.04731909890414225,-0.015536697500367187,0.014101052247104725,-0.03201266160832595,0.07823018901500645,0.0712108146302414,0,0,0,0,0,1,1,0.07823018901500645
60,47,total_lmp_rt,da_as_as_mw_primary_reserve,0.07532267554589939,-0.07639668807513256,-0.03215995964289717,-0.02635677321102933,0.05646790716001076,0.02544474699881565,1,0,0,0,0,0,1,0.07639668807513256
61,34,total_lmp_rt,total_pjm_self_sched_reg,0.003864344982499568,-0.002072075788088505,-0.019521695548880297,0.005172369455359503,0.06504242245472287,0.06517084192232545,0,0,0,0,0,1,1,0.06517084192232545
62,44,total_lmp_rt,da_as_total_mw_primary_reserve,0.04542405127880918,-0.04687554707746257,-0.01520476602083811,-0.025394752045258272,0.06619629505808612,0.02830754592826298,0,0,0,0,0,0,0,0.06619629505808612
63,53,total_lmp_rt,da_as_ircmwt2_primary_reserve,0.0,0.0,0.0,,0.0,0.008393728524861371,0,0,0,0,0,0,0,0.008393728524861371
64,23,total_lmp_rt,gen_fuel_storage_pct,0.0,0.0,0.0,,0.0,0.006317032922917078,0,0,0,0,0,0,0,0.006317032922917078
65,40,total_lmp_rt,da_as_mcp_thirty_minutes_reserve,0.0,0.0,0.0,,0.0,0.005385935356434026,0,0,0,0,0,0,0,0.005385935356434026
66,54,total_lmp_rt,da_as_ircmwt2_synchronized_reserve,0.0,0.0,0.0,,0.0,0.0003304080273410671,0,0,0,0,0,0,0,0.0003304080273410671
67,55,total_lmp_rt,da_as_ircmwt2_thirty_minutes_reserve,0.0,0.0,0.0,,0.0,-9.030220451823777e-05,0,0,0,0,0,0,0,9.030220451823777e-05
