field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept
total_gen,0.6049595019160826,0.597479804279056,0.43130626095705726,0.1113616128392418,0.5923293463546264,0.16422640417369944,1,1,1,1,1,1,6,1
gen_fuel_other_renewables_pct,0.44748280018169945,0.5346426649387572,0.4144273514855766,0.1381530885966348,0.49082254378663703,0.1259845532455842,1,1,1,1,1,1,6,1
prelim_load_avg_hourly,0.6377840863499472,0.6759714559557897,0.4946544455409666,0.1390880393778765,0.6408228043744421,0.218351562225184,1,1,1,1,1,1,6,1
metered_load_mw,0.6369182309798697,0.6752256943479834,0.4941877174056477,0.13911498007266293,0.6402927598237077,0.21775058587771415,1,1,1,1,1,1,6,1
rmccp,0.31349056165954986,0.43712036107271385,0.3026411678310707,0.0533266833872568,0.4545059177730923,0.09034047646159049,1,1,1,1,1,1,6,1
total_pjm_rt_load_mwh,0.6352516744223148,0.6747547688947596,0.4935273870753999,0.13767667576317547,0.6395214764370452,0.21642706195985306,1,1,1,1,1,1,6,1
total_losses,0.444970134676895,0.4723932579149373,0.31732443352708517,0.06494515410859224,0.4296000341571797,0.08813954711554994,1,1,1,1,1,1,6,1
total_pjm_reg_purchases,0.3564785806102286,0.4864051871145268,0.32659087708627266,0.07054806490244692,0.4226820454254278,0.11217861238782272,1,1,1,1,1,1,6,1
total_pjm_assigned_reg,0.27155939150389036,0.35829165825457127,0.2317297704124856,0.035716795516162525,0.34267517367960576,0.06918941866855491,1,1,1,1,1,1,6,1
total_pjm_rmccp_cr,0.3033248183870111,0.4682607189267467,0.3269022490910039,0.05877475791924512,0.47021289478804573,0.10237194877908865,1,1,1,1,1,1,6,1
da_as_mcp_primary_reserve,0.6908085060372361,0.4810382873418091,0.36479676514750686,0.2223201326226551,0.6405155644284769,0.19669007216518264,1,1,1,1,1,1,6,1
da_as_mcp_synchronized_reserve,0.7641798418766365,0.5910919734536393,0.4490386721238268,0.18473920835677266,0.7268066197571648,0.23346854758249277,1,1,1,1,1,1,6,1
da_as_as_mw_thirty_minutes_reserve,0.47943566819020683,0.4704287439576984,0.3210642611870929,0.06676530937724545,0.4787469826226663,0.10986935452820676,1,1,1,1,1,1,6,1
system_energy_price_da,0.9916622838662086,0.9894801774374844,0.9291438847886512,0.6606664236009891,0.985462585924438,0.9361639543125587,1,1,1,1,1,1,6,1
marginal_loss_price_da,0.8229802696109709,0.5800300050433795,0.4281941323089404,0.11893363535078917,0.713746015528251,0.1915837819113988,1,1,1,1,1,1,6,1
system_energy_price_rt,0.6418057065978581,0.828191239694395,0.6535929492851684,0.23103705855430406,0.7591302690615677,0.4343839245622981,1,1,1,1,1,1,6,1
total_lmp_rt,0.6420687654269315,0.8280392121166529,0.6533723495178668,0.2306326567906185,0.7587814782997886,0.4340415270668869,1,1,1,1,1,1,6,1
congestion_price_rt,0.4327085043655456,0.4383854272056965,0.2931192697760189,0.051975131998141175,0.4278599778243598,0.08724493528507024,1,1,1,1,1,1,6,1
marginal_loss_price_rt,0.6352592311925703,0.7922103792963818,0.6065709577928865,0.18702457352315574,0.7394132057009909,0.3739995843403458,1,1,1,1,1,1,6,1
forecast_load_mw_latest_available,0.6381420892051772,0.672774413944568,0.49168700624128314,0.13858507421297164,0.6393259527909703,0.21576854340932228,1,1,1,1,1,1,6,1
gross_inadv_interchange_mw,0.4062033340392005,0.41766984630009585,0.28424769490938734,0.04270790223044409,0.37801410200158236,0.06751452594453485,1,1,1,1,1,1,6,1
gen_fuel_oil_mw,0.8095357791230435,0.6015038729446294,0.4321766986673127,0.1397878067768692,0.7336814985649815,0.21458820426044736,1,1,1,1,1,1,6,1
gen_fuel_oil_pct,0.7680097007714369,0.5765273903786361,0.42938148548952015,0.14586786668653634,0.6988075076183577,0.2079951133512658,1,1,1,1,1,1,6,1
gen_fuel_nuclear_pct,0.6012204447853687,0.7064766208111166,0.5217797956905733,0.14106720265036535,0.6416557214231513,0.24727950576146984,1,1,1,1,1,1,6,1
gen_fuel_multiple_fuels_pct,0.2791200649709511,0.39358235819795806,0.2858420141746645,0.043816787746162635,0.3759959512792106,0.08703592638830737,1,1,1,1,1,1,6,1
gen_fuel_hydro_pct,0.35585942441173013,0.45287477749648153,0.29399621757746486,0.07424241661495434,0.4620342802862134,0.13624937408787732,1,1,1,1,1,1,6,1
gen_fuel_coal_pct,0.3469459046849142,0.42292503472941195,0.2992982568186119,0.05218587498515349,0.3766363158168262,0.07543514110355803,1,1,1,1,1,1,6,1
gen_fuel_multiple_fuels_mw,0.4307848444958399,0.490278557600084,0.34605490471631223,0.06898952213016904,0.4944836594310144,0.12915098073831752,1,1,1,1,1,1,6,1
gen_fuel_coal_mw,0.5253074902278905,0.546870283905064,0.39285061278026356,0.09293114633940006,0.5197132169268472,0.13314036887553163,1,1,1,1,1,1,6,1
gen_fuel_storage_mw,0.3322797823809742,0.45689362407395556,0.34593234067739614,0.147270029856628,0.43293954729320544,0.1142904985679882,1,1,1,1,1,1,6,1
gen_fuel_gas_mw,0.5541013967484361,0.5271937011371591,0.368258613554947,0.08988833946716625,0.54100200871312,0.10847705034778679,1,1,1,1,1,1,6,1
gen_fuel_hydro_mw,0.47386873690972703,0.5190755688955833,0.34352441764739516,0.08709132892285291,0.5363510105390195,0.15392871438244027,1,1,1,1,1,1,6,1
net_sched_interchange_mw,0.11106111855674768,0.3111847081109675,0.2235073095316002,0.04188678359486386,0.26664016443211247,0.0651120182786353,0,1,1,1,0,1,4,1
