field,中文名,score
system_energy_price_rt,实时能量价格,0.5482407094158086
marginal_loss_price_rt,实时边际损耗价,0.5193750071453995
system_energy_price_da,日前能量价格,0.4374665471253971
gen_fuel_oil_pct,燃油占比,0.3901106164058625
gen_fuel_oil_mw,燃油出力,0.38882218624237325
rmccp,调频容量出清价,0.3395746118343281
gen_fuel_multiple_fuels_mw,多燃料出力,0.32835624563541466
total_pjm_rmccp_cr,调频容量信用额,0.3194333190838186
prelim_load_avg_hourly,预估小时负荷,0.30561488470968157
total_pjm_rt_load_mwh,实时负荷电量,0.3038234916630923
forecast_load_mw_latest_available,最新负荷预测,0.29798171697445586
gen_fuel_nuclear_pct,核电占比,0.2915204081602884
gen_fuel_multiple_fuels_pct,多燃料占比,0.27087138161918095
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.265135207970252
gen_fuel_other_renewables_pct,其他可再生占比,0.2506491289723396
gen_fuel_gas_mw,燃气出力,0.24457762144961048
da_as_mcp_synchronized_reserve,日前同步备用出清价,0.24310635182366178
da_as_mcp_primary_reserve,日前主用备用出清价,0.23332143150912615
gen_fuel_storage_mw,储能出力,0.21248181263012922
gen_fuel_coal_mw,燃煤出力,0.21005787778137736
gen_fuel_hydro_mw,水电出力,0.20909896248757187
total_pjm_loc_credit,机会成本信用,0.20532814246200792
total_pjm_reg_purchases,调频购买量,0.18106168507809378
gen_fuel_hydro_pct,水电占比,0.14976467140847322
gross_inadv_interchange_mw,总非计划交换,0.1401489311200678
total_pjm_assigned_reg,调频分配量,0.13889431241634922
gen_fuel_coal_pct,燃煤占比,0.1226751758143762
gen_fuel_gas_pct,燃气占比,0.09287786902045705
da_as_as_mw_primary_reserve,日前主用备用实际量,0.06557564003272932
net_inadv_interchange_mw,净非计划交换,0.05091985923632469
gross_sched_interchange_mw,总计划交换,0.04606374199987856
da_as_ss_mw_primary_reserve,日前主用备用自调度,0.045641752071058105
gen_fuel_wind_pct,风电占比,0.043544664907635935
da_as_nsr_mw_primary_reserve,非同步备用,0.04286645858767388
total_pjm_rmpcp_cr,调频性能信用额,0.042452046662192516
gen_fuel_other_renewables_mw,其他可再生出力,0.040173044668643916
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,0.03415857721131395
da_as_as_req_mw_primary_reserve,日前主用备用需求,0.03415565461039486
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.03096856050202943
da_as_as_mw_synchronized_reserve,日前同步备用实际量,0.023272931135857513
gen_fuel_solar_pct,光伏占比,0.018091235359745102
gen_fuel_solar_mw,光伏出力,0.017478493950832796
total_pjm_self_sched_reg,调频自调度量,0.014781853664409548
gen_fuel_nuclear_mw,核电出力,0.01156576437624554
solar_generation_mw,光伏出力,0.008645701271358492
rmpcp,调频性能出清价,0.0061221239304009925
gen_fuel_wind_mw,风电出力,0.004837408249317226
wind_generation_mw,风电出力,0.003380751336854708
