wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.40825024,0.4422023,0.44964242,0.4344885,0.40628353,0.40642583,0.4863368,0.49241522,0.42565307,0.44482824,0.4144905,0.39557624,0.3951581,0.36278448,0.4159436,0.4757417,0.428918,0.49375185,0.43346187,0.39700744,0.41307786,0.4884509,0.43520004,0.42550254,0.40102005,0.46504992,0.42762223,0.42718196,0.38658676,0.3813894,0.43378538,0.4154243,0.4637727,0.41440368,0.48009607,0.46943,0.45065087,0.40659636,0.45248303,0.43055823,0.38755742,0.3797282,0.5026515,0.4784543,0.49021217,0.47036275,0.39413026,0.44511864,0.5076542
0.39061007,0.4261228,0.43627208,0.434052,0.36596128,0.36864457,0.5241508,0.5047071,0.404597,0.43792138,0.36818257,0.39044484,0.3462535,0.26204097,0.38360143,0.47184542,0.4224408,0.5094411,0.41012672,0.35622618,0.39850447,0.4919491,0.44057527,0.40146556,0.33537456,0.47817668,0.3918723,0.38136438,0.3134776,0.32294253,0.42231324,0.39871907,0.4451032,0.4011894,0.4880845,0.48315805,0.44533846,0.34857583,0.4355027,0.4413791,0.33437124,0.30993658,0.5119876,0.47744846,0.49428663,0.46674484,0.34883684,0.42050156,0.5288648
0.3985859,0.3992376,0.44601008,0.42153248,0.3426243,0.35695717,0.5631983,0.49503833,0.43268427,0.4178034,0.29703823,0.393474,0.328392,0.20765746,0.35280374,0.47420418,0.38784015,0.49783802,0.3951136,0.3386854,0.39588934,0.5033821,0.4363942,0.37454027,0.26064205,0.48412663,0.3574883,0.3483353,0.22314209,0.26414987,0.42291728,0.3892717,0.44443962,0.36715773,0.49014682,0.48370048,0.4248962,0.3058848,0.41991454,0.41880813,0.31257913,0.2647508,0.511872,0.47553355,0.48859876,0.46042702,0.32037413,0.4238194,0.57446516
0.4008983,0.39245433,0.45523104,0.40975076,0.305302,0.33091843,0.60630935,0.49944475,0.4744073,0.42170268,0.23891468,0.38741592,0.32902792,0.14705133,0.30518076,0.47700945,0.3665982,0.49955076,0.3677205,0.33003888,0.37942976,0.51738936,0.44241148,0.36307058,0.18036981,0.47929937,0.35054913,0.3285983,0.1932317,0.23239262,0.41051766,0.37494218,0.4410187,0.336613,0.49624503,0.4986945,0.4171361,0.2685598,0.40889755,0.42317215,0.32882854,0.2442765,0.52397573,0.46939406,0.49560952,0.45759723,0.2798938,0.43170577,0.6153266
0.39649397,0.38366327,0.45886162,0.3851735,0.2918577,0.32740483,0.6542815,0.49424446,0.49600774,0.42312533,0.19301315,0.40610757,0.35222617,0.096867636,0.2825467,0.4905468,0.34197068,0.5123271,0.3445698,0.3306665,0.39377865,0.5247559,0.4365085,0.32477716,0.13771865,0.47444844,0.32280475,0.30586174,0.14048555,0.20439522,0.4146518,0.36897552,0.43289912,0.33446518,0.5129847,0.4930112,0.40382555,0.2520397,0.40440196,0.43539947,0.35208812,0.2395855,0.52103937,0.47744983,0.51153904,0.46909776,0.2619292,0.44709843,0.6506096
0.40995106,0.3686867,0.45519838,0.36573815,0.2859085,0.322713,0.67435247,0.49657226,0.52242166,0.42281085,0.16044006,0.43264568,0.34478778,0.07732775,0.25709152,0.50831455,0.34538588,0.5203541,0.31285104,0.3292578,0.4019053,0.5214321,0.42297098,0.29875234,0.07776842,0.4783081,0.32977313,0.27208126,0.08045396,0.1658279,0.3993314,0.37181363,0.4238342,0.3066362,0.51508206,0.4866336,0.39438236,0.21953371,0.4165705,0.4223304,0.3548329,0.25475657,0.53789407,0.47965387,0.528226,0.46042117,0.2268529,0.45399007,0.6810422
0.4321898,0.3688352,0.4520166,0.34530193,0.25518116,0.31606025,0.6991578,0.48200446,0.55110466,0.42011276,0.105913356,0.44720158,0.3485445,0.0828926,0.22542763,0.52523017,0.31665832,0.530712,0.27688086,0.328813,0.40740424,0.51394695,0.4122319,0.28508484,0.032209802,0.46689326,0.32457036,0.26154253,0.05072426,0.14332077,0.4011681,0.3697549,0.44386977,0.3036531,0.5195825,0.50214815,0.38410315,0.17448199,0.41357517,0.41662306,0.37511325,0.22336215,0.5623393,0.47871697,0.53563833,0.45438507,0.21316513,0.47727656,0.7096892
0.43216133,0.37356097,0.46893054,0.31551647,0.2406267,0.3283313,0.72869027,0.48833755,0.5658185,0.4296856,0.05910741,0.44540828,0.35528985,0.05620397,0.2028164,0.5362586,0.29546994,0.54149234,0.24614906,0.3342192,0.39428043,0.5240857,0.42084098,0.27369255,0.0,0.47690868,0.32917222,0.24751404,0.0,0.11060046,0.3962762,0.37307,0.45694473,0.30600038,0.54671496,0.5064474,0.39300954,0.1500394,0.4200459,0.43812683,0.369095,0.21299817,0.5866069,0.48876286,0.53768474,0.45020074,0.16693771,0.48966098,0.7465754
0.4491584,0.3751058,0.46819904,0.29599607,0.22572428,0.3323631,0.75584376,0.49307668,0.6073042,0.42640328,0.008301374,0.45380452,0.34235045,0.029707197,0.1825411,0.54216474,0.2695476,0.5520074,0.20552714,0.33941486,0.40680513,0.51162475,0.42572156,0.27472275,0.0,0.47637212,0.32211637,0.21493258,0.0,0.10386688,0.38847542,0.38869637,0.45876664,0.32025892,0.55646145,0.506935,0.37976474,0.11759235,0.4175799,0.42488718,0.37355027,0.19395451,0.60181254,0.4747434,0.5468521,0.46333387,0.12550795,0.50328416,0.7978098
0.46764573,0.35493788,0.46459973,0.27645835,0.22619447,0.3374085,0.77062184,0.49232686,0.6133651,0.4263163,0.0,0.46283165,0.34848332,0.02157447,0.16735092,0.5367084,0.24777664,0.56405365,0.17473495,0.32862198,0.4071702,0.5127155,0.42054942,0.26245254,0.0,0.47165364,0.32146144,0.18790649,0.0,0.058758654,0.36419058,0.394403,0.46785733,0.33929244,0.5548066,0.5111596,0.37245646,0.09847882,0.4198773,0.4191769,0.38146603,0.19180389,0.63710463,0.46837184,0.5318701,0.45750594,0.08491828,0.51902795,0.8441365
0.4922906,0.35734478,0.46850663,0.25990152,0.2113576,0.33214682,0.7736514,0.49437317,0.6262175,0.43105713,0.0,0.46437564,0.34808788,0.0071755126,0.16155975,0.5366304,0.21833618,0.55716646,0.15187022,0.34473082,0.42591164,0.5279631,0.4291748,0.25079957,0.0,0.46410218,0.31745678,0.18048298,0.0,0.039415028,0.37290698,0.4061669,0.47100824,0.32446817,0.56696105,0.5309916,0.37675622,0.06381,0.4232991,0.40048826,0.41029572,0.16669154,0.6635976,0.46106386,0.54076296,0.440412,0.07105413,0.5396289,0.8741572
0.49250826,0.34440458,0.4798479,0.22744924,0.19300643,0.32488847,0.7879612,0.5131959,0.6350397,0.4240498,0.0,0.4637583,0.3696277,0.0,0.15173624,0.5627907,0.18601474,0.5657461,0.10805608,0.33506057,0.41191155,0.53593445,0.4278856,0.24345082,0.0,0.4621779,0.31539375,0.15487902,0.0,0.003317064,0.3775994,0.39688295,0.48435995,0.34132576,0.57548594,0.5483969,0.38422903,0.025227431,0.45247045,0.4067175,0.4108641,0.14618593,0.69891906,0.44591445,0.52069527,0.4650069,0.055335693,0.54521334,0.8994799
0.5074004,0.3461605,0.48593727,0.21310087,0.1885344,0.31601524,0.80939347,0.5129209,0.6625103,0.4213707,0.0,0.4793519,0.37407956,0.0,0.1534768,0.5772402,0.15800874,0.5662087,0.07597043,0.33269483,0.42791092,0.54387903,0.41835478,0.23930463,0.0,0.45998564,0.33256426,0.118307926,0.0,0.0,0.381211,0.39429885,0.49819648,0.33848464,0.5869101,0.56848174,0.38093033,0.0,0.4720872,0.40563437,0.42767712,0.12667033,0.7077233,0.44661272,0.516491,0.46939158,0.029985903,0.54382646,0.9382843
0.5223828,0.34891456,0.48942617,0.19563618,0.18585402,0.31564736,0.83989507,0.52638865,0.6900242,0.41749355,0.0,0.4881273,0.3768293,0.0,0.15614498,0.60060185,0.15265676,0.5734288,0.041335825,0.34214264,0.44115224,0.5513564,0.40641105,0.22086611,0.0,0.45562512,0.34510484,0.09395803,0.0,0.0,0.37735388,0.39267775,0.49539897,0.33230722,0.58306634,0.5671438,0.36754876,0.0,0.47223526,0.40644443,0.4348949,0.11155013,0.7494438,0.4397313,0.5352529,0.4743148,0.009020298,0.57000005,0.97945213
0.5395614,0.3802391,0.4739427,0.16880055,0.16250448,0.31720078,0.8521912,0.52244467,0.7011019,0.4269999,0.0,0.48673695,0.38169685,0.0,0.140435,0.60302484,0.13595666,0.574521,0.004418176,0.3557191,0.45330718,0.55279094,0.39761028,0.2230936,0.0,0.45820498,0.3553193,0.065128624,0.0,0.0,0.38851848,0.3941574,0.51438725,0.3356746,0.5793639,0.57469773,0.37309787,0.0,0.46967068,0.41742298,0.45947036,0.091450356,0.7816065,0.4468482,0.5244373,0.489182,0.0,0.5935396,1.0
0.5583428,0.38611162,0.49326095,0.15873285,0.17055112,0.29413354,0.8893577,0.5209512,0.7123617,0.4495882,0.0,0.4862529,0.37694213,0.0,0.12318628,0.6289723,0.110161394,0.5759188,0.0,0.3594676,0.4580363,0.54968125,0.39661255,0.22267714,0.0,0.46202275,0.36707735,0.04007101,0.0,0.0,0.392065,0.3749012,0.5209602,0.3354627,0.6064904,0.5775701,0.36909834,0.0,0.47094503,0.42720705,0.4580805,0.07600725,0.81009066,0.43273488,0.5179156,0.4912297,0.0,0.6180193,1.0
0.5760018,0.3976475,0.48526675,0.13743988,0.1684167,0.28374642,0.91100454,0.5483636,0.7379685,0.4725314,0.0,0.49147877,0.38443124,0.0,0.11912872,0.63302916,0.08322893,0.5901868,0.0,0.35680646,0.46166694,0.5515322,0.39659655,0.23198798,0.0,0.4684632,0.3654196,0.01726837,0.0,0.0,0.39275938,0.37353292,0.53329176,0.3373776,0.6147247,0.59386206,0.38599083,0.0,0.48205325,0.42665386,0.47300348,0.054815218,0.83330613,0.43874472,0.52495086,0.49536914,0.0,0.6393546,1.0
0.5823629,0.40567437,0.47721434,0.11374084,0.15770559,0.2793484,0.9220581,0.5456989,0.7593498,0.4982171,0.0,0.49770376,0.38809076,0.0,0.10134785,0.65711045,0.06899132,0.5991837,0.0,0.34913447,0.46429762,0.5420587,0.40321353,0.21857077,0.0,0.46224716,0.37302467,0.011193387,0.0,0.0,0.382652,0.37557384,0.534501,0.34042346,0.63175213,0.60195845,0.3972729,0.0,0.49113876,0.43668467,0.47791684,0.039023586,0.87400293,0.43476695,0.52335155,0.50616235,0.0,0.6617585,1.0
