wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7697541,0.80924416,0.8624821,0.72435224,0.8444427,0.78951395,0.77165544,0.77097565,0.7242979,0.82247853,0.81970704,0.8710649,0.7883724,0.8701921,1.0226846,0.79662085,0.8611796,0.82941633,0.7353421,0.83708096,0.74217826,1.0144428,0.78377175,0.7108441,0.7423181,0.8154198,0.73932695,0.85288274,0.8973164,0.7328266,0.72719616,0.76819575,0.91857773,0.7566307,1.1236091,1.1489381,1.0288329,0.96659744,1.1718092,0.76757306,0.72128594,0.67094696,0.7106279,0.72911274,0.72268426,0.727373,0.77239853
0.59910405,0.61911124,0.7295269,0.55248547,0.7673308,0.66957635,0.62106234,0.59235287,0.5363647,0.6401603,0.6635232,0.75334656,0.6122467,0.65853506,0.99992794,0.6566562,0.72886723,0.6731679,0.5579499,0.708966,0.62050503,0.937961,0.6214138,0.51261127,0.5838277,0.67138606,0.5333198,0.69162107,0.7979352,0.55836344,0.5481195,0.62401456,0.8688028,0.68308175,1.0640316,1.0943569,0.94206613,1.2958604,1.1820343,0.5679213,0.55140454,0.45111263,0.53033054,0.55124414,0.5430595,0.5425789,0.60990125
0.47561184,0.4938497,0.6563142,0.41689935,0.715451,0.5488867,0.50928277,0.46027648,0.42374265,0.51836824,0.5347318,0.68412733,0.4906479,0.52173036,0.95749533,0.5670448,0.6340643,0.5614647,0.4459359,0.6329275,0.5384292,0.81737816,0.48846745,0.37679917,0.4634168,0.57171273,0.3820965,0.5689933,0.72248995,0.44662598,0.4123164,0.4943084,0.8332878,0.5729356,0.9988812,1.0374694,0.8321487,1.4781123,1.1765622,0.44458044,0.42655084,0.29338157,0.41403466,0.4153999,0.41202384,0.416183,0.48635587
0.3983628,0.39476284,0.618663,0.32695505,0.6619041,0.46683297,0.43299773,0.35966283,0.32384855,0.4331178,0.4285592,0.63047796,0.42747125,0.42524168,0.9353067,0.5117975,0.5493583,0.47836566,0.37222043,0.5664236,0.48411715,0.7495342,0.40845552,0.28107902,0.36064562,0.5049839,0.26690045,0.50338936,0.6633714,0.3681215,0.29748628,0.4054719,0.7696939,0.47725573,0.95464545,0.99179494,0.7644389,1.4962966,1.1603686,0.37229905,0.35423347,0.1832404,0.31188622,0.30427623,0.3101158,0.32169965,0.40033877
0.33481577,0.3080261,0.5847485,0.2500932,0.5906383,0.39267308,0.3761146,0.27104288,0.26767644,0.35948804,0.34818736,0.59858483,0.3702776,0.36201143,0.8878351,0.46471772,0.46439186,0.4099875,0.30985194,0.52677274,0.42676643,0.6887366,0.35157156,0.21081284,0.28312668,0.45346847,0.18468685,0.4293335,0.63464797,0.3225535,0.21047409,0.33155885,0.7240705,0.39823318,0.9203844,0.9560133,0.7295671,1.4666406,1.1296163,0.32438853,0.28802478,0.11347998,0.2316581,0.21959767,0.23733501,0.2624409,0.33366027
0.284529,0.23689519,0.5633342,0.18591502,0.5266975,0.33220014,0.34188554,0.2059594,0.22386952,0.3031701,0.28116363,0.5636093,0.31953707,0.31046462,0.86285657,0.42396757,0.41050443,0.34856558,0.2609188,0.4740905,0.3880177,0.61933005,0.29610276,0.15408573,0.21580304,0.40780374,0.12970942,0.3744947,0.5949672,0.27649906,0.1425986,0.2767901,0.6915435,0.33158204,0.8824112,0.9229687,0.6974906,1.442813,1.1240672,0.2777432,0.2348058,0.06543314,0.17006217,0.15245646,0.17733583,0.21577077,0.28487188
0.24104328,0.17633577,0.54237425,0.13960534,0.4831398,0.28196308,0.31821796,0.15711388,0.18940735,0.24814138,0.23720923,0.5339494,0.2757041,0.27700594,0.852334,0.38287154,0.36332718,0.30434504,0.21772885,0.4255912,0.3542365,0.5656592,0.25592062,0.10674233,0.17763011,0.36802813,0.08856817,0.33548874,0.5398775,0.24456456,0.09489692,0.23135743,0.6529968,0.2821344,0.85762393,0.8966428,0.6708737,1.414222,1.0884051,0.24842875,0.19360669,0.03589333,0.12457223,0.103444956,0.1317053,0.17678171,0.2457109
0.20030461,0.14345427,0.5225061,0.10137299,0.42201433,0.23729768,0.2942096,0.116341285,0.1590268,0.21614991,0.19627193,0.5057774,0.2413356,0.24330193,0.8075091,0.354442,0.3230539,0.26205134,0.18718128,0.38798368,0.31846458,0.5102546,0.22432545,0.07320883,0.13998388,0.3415224,0.060148783,0.29436007,0.50896126,0.22052659,0.060321778,0.19382982,0.62113196,0.24435772,0.8265978,0.8679421,0.64712197,1.3838804,1.0829688,0.24354698,0.15956734,0.018619724,0.089078575,0.067107394,0.098921835,0.1515422,0.21767081
0.1759451,0.10885867,0.5119746,0.0720407,0.3750378,0.20585558,0.2813385,0.0859282,0.13443057,0.18100163,0.16262825,0.4714717,0.21194462,0.21359317,0.77702814,0.3353065,0.28372,0.23128983,0.15949623,0.3493451,0.293532,0.47139868,0.20011044,0.04793691,0.11493719,0.31841296,0.039075647,0.26593688,0.46396735,0.2028771,0.036961254,0.16662265,0.5965553,0.20445427,0.79990697,0.8485407,0.6198734,1.3596873,1.0524548,0.23734842,0.13556497,0.009077422,0.061853934,0.04182052,0.07118335,0.128107,0.18835795
