field,中文名,score
gen_fuel_gas_mw,燃气出力,1744.8869509039666
gross_inadv_interchange_mw,总非计划交换,1497.2159879035542
prelim_load_avg_hourly,预估小时负荷,1130.0835028216886
gen_fuel_coal_mw,燃煤出力,886.7081560255814
gen_fuel_nuclear_pct,核电占比,812.0225594281713
gen_fuel_solar_mw,光伏出力,732.9004105074962
gen_fuel_nuclear_mw,核电出力,514.8622648352721
gen_fuel_hydro_pct,水电占比,394.91856753572563
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,385.96567928099597
gen_fuel_gas_pct,燃气占比,365.59494123376993
wind_generation_mw,风电出力,276.8770372105407
da_as_as_req_mw_primary_reserve,日前主用备用需求,270.7819860375148
gen_fuel_solar_pct,光伏占比,241.2385148889744
total_pjm_reg_purchases,调频购买量,201.39592434875362
gross_sched_interchange_mw,总计划交换,194.56442506588957
gen_fuel_multiple_fuels_pct,多燃料占比,185.74103862558383
marginal_loss_price_rt,实时边际损耗价,181.80520338701868
gen_fuel_other_renewables_mw,其他可再生出力,180.77357768675233
total_pjm_rmpcp_cr,调频性能信用额,133.5740741291614
gen_fuel_other_renewables_pct,其他可再生占比,130.67509300891754
system_energy_price_rt,实时能量价格,117.38389278891259
gen_fuel_oil_mw,燃油出力,102.46538430322451
gen_fuel_oil_pct,燃油占比,83.98926220413365
system_energy_price_da,日前能量价格,83.31952131928281
total_pjm_loc_credit,机会成本信用,75.00131774219633
da_as_nsr_mw_primary_reserve,非同步备用,64.26710039507908
da_as_mcp_synchronized_reserve,日前同步备用出清价,56.70500671268867
da_as_ss_mw_primary_reserve,日前主用备用自调度,47.39699362839373
gen_fuel_wind_pct,风电占比,46.26757842034107
total_lmp_rt,实时总电价,45.39287887567133
gen_fuel_storage_mw,储能出力,42.44074948133009
gen_fuel_hydro_mw,水电出力,32.54390800509051
total_pjm_self_sched_reg,调频自调度量,22.625001473005188
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,16.396053054870734
da_as_as_mw_synchronized_reserve,日前同步备用实际量,12.655123060938582
rmpcp,调频性能出清价,12.089963384242292
total_pjm_assigned_reg,调频分配量,5.229642830040755
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,2.6593187181083295
da_as_mcp_primary_reserve,日前主用备用出清价,2.6424747377414164
total_pjm_rmccp_cr,调频容量信用额,1.3268670940150458
da_as_as_mw_primary_reserve,日前主用备用实际量,0.0
total_pjm_rt_load_mwh,实时负荷电量,0.0
rmccp,调频容量出清价,0.0
forecast_load_mw_latest_available,最新负荷预测,0.0
gen_fuel_multiple_fuels_mw,多燃料出力,0.0
gen_fuel_coal_pct,燃煤占比,0.0
net_inadv_interchange_mw,净非计划交换,0.0
solar_generation_mw,光伏出力,0.0
gen_fuel_wind_mw,风电出力,0.0
