field,中文名,score
gen_fuel_other_renewables_pct,其他可再生占比,0.701863180685444
gen_fuel_oil_mw,燃油出力,0.6768360779829078
gen_fuel_oil_pct,燃油占比,0.5982588559609101
system_energy_price_da,日前能量价格,0.5941845895885852
gen_fuel_nuclear_mw,核电出力,0.5751613271758164
gen_fuel_coal_pct,燃煤占比,0.5558123298147484
gen_fuel_hydro_mw,水电出力,0.49303636977885723
gross_inadv_interchange_mw,总非计划交换,0.47207394322040397
gen_fuel_multiple_fuels_mw,多燃料出力,0.41528356819924206
system_energy_price_rt,实时能量价格,0.4023995073051628
marginal_loss_price_rt,实时边际损耗价,0.4012688758286958
gen_fuel_wind_pct,风电占比,0.34720220028772963
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,0.3343552108716275
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.32810923181270596
da_as_mcp_synchronized_reserve,日前同步备用出清价,0.31837767260473376
da_as_as_mw_primary_reserve,日前主用备用实际量,0.29945489076260734
gen_fuel_other_renewables_mw,其他可再生出力,0.29568548526858385
gen_fuel_hydro_pct,水电占比,0.29291937181035654
da_as_mcp_primary_reserve,日前主用备用出清价,0.2856786890804272
gross_sched_interchange_mw,总计划交换,0.2609720588719926
gen_fuel_storage_mw,储能出力,0.22420941770874186
gen_fuel_solar_mw,光伏出力,0.2235626859730952
solar_generation_mw,光伏出力,0.21346803614199475
total_pjm_loc_credit,机会成本信用,0.19289822336187176
total_pjm_reg_purchases,调频购买量,0.19027433982756328
net_inadv_interchange_mw,净非计划交换,0.18591036107639267
gen_fuel_wind_mw,风电出力,0.17732838919681893
wind_generation_mw,风电出力,0.17610907465108805
da_as_as_mw_synchronized_reserve,日前同步备用实际量,0.15093842153181844
gen_fuel_multiple_fuels_pct,多燃料占比,0.14723118588949907
rmccp,调频容量出清价,0.11797202247087175
total_pjm_self_sched_reg,调频自调度量,0.11790054992145767
total_pjm_rmccp_cr,调频容量信用额,0.10625715944148799
gen_fuel_solar_pct,光伏占比,0.08472602171989964
total_pjm_assigned_reg,调频分配量,0.051897832422826244
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.04319580131236601
rmpcp,调频性能出清价,0.042567665182809994
da_as_ss_mw_primary_reserve,日前主用备用自调度,0.012606598345094188
total_pjm_rmpcp_cr,调频性能信用额,0.00447852282489494
