field,中文名,score
gen_fuel_oil_mw,燃油出力,0.29563698172569275
gen_fuel_other_renewables_pct,其他可再生占比,0.16684556007385254
gen_fuel_nuclear_mw,核电出力,0.1427614986896515
system_energy_price_da,日前能量价格,0.09248930215835571
gen_fuel_coal_pct,燃煤占比,0.09174873679876328
gen_fuel_other_renewables_mw,其他可再生出力,0.04108941927552223
gen_fuel_solar_mw,光伏出力,0.027569834142923355
gen_fuel_hydro_mw,水电出力,0.024164285510778427
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.022507647052407265
da_as_mcp_synchronized_reserve,日前同步备用出清价,0.020024767145514488
system_energy_price_rt,实时能量价格,0.00841640867292881
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,0.0072834244929254055
da_as_as_mw_primary_reserve,日前主用备用实际量,0.007224836386740208
marginal_loss_price_rt,实时边际损耗价,0.005910148844122887
solar_generation_mw,光伏出力,0.0055152312852442265
gen_fuel_oil_pct,燃油占比,0.005404503550380468
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.004631292540580034
gen_fuel_multiple_fuels_mw,多燃料出力,0.0042357980273664
gen_fuel_wind_pct,风电占比,0.0033276472240686417
total_pjm_reg_purchases,调频购买量,0.002331643830984831
total_pjm_assigned_reg,调频分配量,0.002193205524235964
da_as_as_mw_synchronized_reserve,日前同步备用实际量,0.0020660494919866323
total_pjm_rmpcp_cr,调频性能信用额,0.0017353910952806473
gen_fuel_multiple_fuels_pct,多燃料占比,0.0015236486215144396
gen_fuel_wind_mw,风电出力,0.001294954214245081
wind_generation_mw,风电出力,0.0012017062399536371
gen_fuel_hydro_pct,水电占比,0.0011966777965426445
da_as_ss_mw_primary_reserve,日前主用备用自调度,0.0011902782134711742
gen_fuel_solar_pct,光伏占比,0.0011446813587099314
gross_inadv_interchange_mw,总非计划交换,0.00113013107329607
gross_sched_interchange_mw,总计划交换,0.0010999585501849651
rmpcp,调频性能出清价,0.0007713488303124905
total_pjm_self_sched_reg,调频自调度量,0.0007447891402989626
gen_fuel_storage_mw,储能出力,0.0007387616788037121
total_pjm_loc_credit,机会成本信用,0.0006460936856456101
da_as_mcp_primary_reserve,日前主用备用出清价,0.0006370128248818219
total_pjm_rmccp_cr,调频容量信用额,0.0005489228060469031
net_inadv_interchange_mw,净非计划交换,0.0005316960159689188
rmccp,调频容量出清价,0.00048576094559393823
