field,中文名,score
system_energy_price_da,日前能量价格,3558.857177734375
forecast_load_mw_latest_available,最新负荷预测,2212.617919921875
marginal_loss_price_rt,实时边际损耗价,1851.4197998046875
gross_inadv_interchange_mw,总非计划交换,1744.6341552734375
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,1580.1689453125
da_as_as_req_mw_primary_reserve,日前主用备用需求,1580.1689453125
gen_fuel_nuclear_mw,核电出力,925.760986328125
prelim_load_avg_hourly,预估小时负荷,635.4708251953125
da_as_mcp_primary_reserve,日前主用备用出清价,575.5654907226562
gen_fuel_solar_pct,光伏占比,444.9308776855469
total_pjm_assigned_reg,调频分配量,324.1080322265625
total_pjm_rt_load_mwh,实时负荷电量,213.83863830566406
total_pjm_rmpcp_cr,调频性能信用额,189.88258361816406
gen_fuel_solar_mw,光伏出力,143.9072723388672
total_pjm_loc_credit,机会成本信用,132.9480743408203
gen_fuel_oil_pct,燃油占比,130.34124755859375
total_pjm_reg_purchases,调频购买量,122.82347106933594
total_pjm_rmccp_cr,调频容量信用额,115.73930358886719
gross_sched_interchange_mw,总计划交换,98.78237915039062
gen_fuel_multiple_fuels_mw,多燃料出力,98.78237915039062
total_lmp_rt,实时总电价,91.25965118408203
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,89.47024536132812
gen_fuel_coal_pct,燃煤占比,87.71592712402344
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,87.71592712402344
gen_fuel_gas_pct,燃气占比,84.30980682373047
da_as_mcp_synchronized_reserve,日前同步备用出清价,81.03595733642578
gen_fuel_gas_mw,燃气出力,81.03595733642578
gen_fuel_hydro_pct,水电占比,79.44701385498047
system_energy_price_rt,实时能量价格,77.88922882080078
gen_fuel_multiple_fuels_pct,多燃料占比,76.36199188232422
gen_fuel_nuclear_pct,核电占比,74.86470031738281
rmccp,调频容量出清价,74.86470031738281
gen_fuel_oil_mw,燃油出力,73.39675903320312
gen_fuel_hydro_mw,水电出力,73.39675903320312
da_as_as_mw_primary_reserve,日前主用备用实际量,71.95761108398438
da_as_nsr_mw_primary_reserve,非同步备用,70.54667663574219
gen_fuel_other_renewables_pct,其他可再生占比,70.54667663574219
gen_fuel_coal_mw,燃煤出力,69.16340637207031
gen_fuel_storage_mw,储能出力,65.17422485351562
da_as_as_mw_synchronized_reserve,日前同步备用实际量,63.896297454833984
