gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.45036286,0.49320316,0.432281,0.46368727,0.5075266,0.5454496,0.435252,0.38615224,0.443051,0.3976669,0.41611484,0.4096344,0.4990221,0.5141203,0.3914963,0.5055012,0.5018678,0.49399135,0.45225286,0.5104691,0.45243266,0.41449913,0.4415391,0.45180762,0.3669121,0.46330914,0.44992355,0.47274277,0.49057344,0.510585,0.40621516,0.47841242,0.43067467,0.36796468,0.5154505,0.43837035,0.42999598,0.44997194,0.46666086,0.5004862
0.4434847,0.47335324,0.3777077,0.4409675,0.5531113,0.554657,0.41701803,0.3298799,0.43048677,0.34818247,0.3536417,0.40425947,0.4822373,0.5187091,0.3352227,0.51384705,0.50127983,0.50474906,0.43342096,0.5167175,0.42733893,0.3633978,0.42156112,0.43595195,0.29487678,0.46423993,0.42039007,0.46973366,0.49973327,0.5093428,0.36713383,0.46048674,0.427408,0.27636942,0.51866907,0.45650378,0.43758604,0.45187688,0.49282688,0.5263742
0.43954578,0.45408115,0.34432983,0.4336157,0.57285184,0.5757483,0.4368226,0.27163696,0.44145653,0.354513,0.30892646,0.40438002,0.46586585,0.5192169,0.2919601,0.52983415,0.5128922,0.49865577,0.42938396,0.5299557,0.4085264,0.3310138,0.3987605,0.42196515,0.27716586,0.4736611,0.4054958,0.45020968,0.49569726,0.5032797,0.3148716,0.45393643,0.4343529,0.21337299,0.5376487,0.4644107,0.409544,0.45694184,0.5185591,0.5506644
0.44102526,0.4564138,0.29830527,0.40215907,0.6391894,0.57149,0.41888642,0.22217202,0.47144625,0.37959075,0.26694295,0.3773206,0.4359266,0.5051343,0.24719295,0.52787775,0.49162483,0.5094961,0.4116739,0.52753365,0.39505696,0.28547105,0.38690928,0.40869898,0.2525634,0.46271238,0.36668554,0.4467172,0.4919144,0.49456263,0.25341123,0.44358715,0.43017563,0.14051026,0.54710543,0.456323,0.41256964,0.45961887,0.5513049,0.5900021
0.43548298,0.44688034,0.2847942,0.38707516,0.6817337,0.5637082,0.43161604,0.1811151,0.4799849,0.39374697,0.2142933,0.3574429,0.4184906,0.5042309,0.22721213,0.526518,0.5050107,0.50971425,0.4055878,0.5279997,0.38183808,0.23773305,0.37792966,0.40270633,0.23456766,0.45714927,0.35941085,0.4424115,0.49254653,0.49980032,0.19429399,0.43154392,0.44189218,0.0964393,0.57685524,0.44574443,0.41476923,0.45688948,0.5760492,0.6235207
0.4298645,0.4384379,0.26345652,0.38334876,0.7028628,0.5578617,0.4271617,0.14462776,0.47919118,0.40506405,0.18852837,0.3345516,0.41690502,0.50936574,0.20663211,0.5347071,0.49326965,0.5019939,0.40051395,0.53117836,0.35943782,0.19745314,0.36086732,0.39444003,0.2245849,0.4491245,0.37465876,0.45111698,0.5003153,0.49494234,0.14615446,0.4173337,0.4363972,0.072022855,0.58385277,0.43443307,0.40997776,0.44125518,0.5815004,0.6475571
0.4276248,0.42591342,0.22321123,0.3749796,0.7410337,0.5610749,0.41851503,0.108449414,0.4993762,0.40720442,0.14675549,0.32927918,0.42637748,0.5191238,0.19373149,0.53531885,0.49462688,0.5012451,0.38523293,0.54196197,0.3627518,0.15622936,0.3441323,0.37165713,0.23132156,0.4442448,0.3604282,0.44501394,0.50215286,0.49708048,0.08639733,0.42258677,0.43769512,0.031556826,0.6298139,0.44030687,0.40913993,0.42822513,0.5913939,0.6797938
0.4290503,0.40638712,0.19939743,0.3589171,0.77886534,0.57268965,0.43032765,0.07497566,0.5106772,0.4221029,0.09406314,0.32143602,0.4283056,0.527775,0.17659657,0.5590226,0.5028919,0.49357343,0.3808083,0.53733915,0.35252038,0.11453538,0.33290246,0.35236475,0.2419498,0.46259758,0.3530827,0.44390747,0.5014869,0.49564376,0.01824813,0.41995338,0.43262237,0.0,0.6420837,0.43588224,0.40286684,0.43396202,0.6122453,0.70665574
0.42815804,0.3881487,0.1827959,0.33201274,0.7937423,0.5771573,0.43855318,0.041207954,0.536534,0.4374501,0.053040598,0.31590798,0.41864613,0.53931046,0.15969971,0.57890767,0.4989137,0.48689008,0.37761545,0.54998726,0.34798655,0.08492141,0.32996413,0.3423298,0.23329827,0.47144353,0.35367998,0.44352448,0.5075758,0.476036,0.0,0.42482045,0.4262502,0.0,0.6975342,0.4496983,0.41036168,0.44001353,0.643449,0.73431426
0.4054122,0.38296422,0.17884439,0.31858048,0.83437556,0.56192195,0.45426285,0.0,0.5441652,0.45426416,0.04496995,0.31706226,0.41087502,0.53749037,0.14618671,0.58412343,0.4907859,0.4957294,0.3697932,0.54765356,0.35216296,0.044541415,0.32654244,0.33565924,0.2394878,0.47808388,0.35059187,0.4479677,0.52487,0.49124402,0.0,0.43019718,0.4183911,0.0,0.72813183,0.44119915,0.39459682,0.43557596,0.65015143,0.7808763
0.41935492,0.35300627,0.15829574,0.2941383,0.8640221,0.5663116,0.45860454,0.0,0.5512049,0.4612663,0.025815954,0.3051018,0.39187548,0.5337014,0.13703014,0.5981535,0.4766403,0.4852371,0.3698605,0.5549043,0.33776388,0.013701118,0.309752,0.34047112,0.23770393,0.4705842,0.37610546,0.42895117,0.5388032,0.5042917,0.0,0.45081076,0.4150266,0.0,0.78112596,0.43748203,0.3829898,0.44485888,0.676657,0.807962
0.4317911,0.33692083,0.14631358,0.28220817,0.9063735,0.572344,0.47313446,0.0,0.5680512,0.49265575,0.0,0.29955482,0.3742819,0.5219835,0.119555436,0.621446,0.46566543,0.49084923,0.35783643,0.5587427,0.34521863,0.0,0.29795393,0.32645535,0.22698802,0.4658586,0.37479153,0.4405458,0.55304986,0.5212405,0.0,0.45797458,0.43671194,0.0,0.806024,0.4181265,0.38176617,0.4408053,0.692818,0.8328639
0.43416828,0.33414474,0.12680861,0.26545012,0.94959766,0.584662,0.49143848,0.0,0.5840951,0.526275,0.0,0.31018332,0.35901648,0.5294125,0.087967284,0.65543026,0.45969105,0.50357836,0.35332552,0.5552226,0.34676594,0.0,0.2888245,0.3372192,0.23654425,0.45939624,0.36172864,0.442283,0.5668032,0.5255665,0.0,0.4854916,0.44502026,0.0,0.8425757,0.40058035,0.36364067,0.43612432,0.7288753,0.8723869
0.43758884,0.32359725,0.114439145,0.2580724,0.9580612,0.593487,0.49616322,0.0,0.59957385,0.54844654,0.0,0.3133946,0.35689253,0.5302331,0.06674004,0.6955977,0.45912513,0.5022814,0.35457477,0.5523499,0.36353594,0.0,0.29987657,0.33194,0.250351,0.46221033,0.36225313,0.4527993,0.57484233,0.531007,0.0,0.52469516,0.464882,0.0,0.88627166,0.3939582,0.35150447,0.4363287,0.73584515,0.9093636
