gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,gross_sched_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7613547,0.7339267,0.74553233,0.71333027,0.909741,0.75021166,0.7255879,0.8189704,0.7196786,0.80901605,0.99519706,0.9698207,0.7200628,0.7330916,0.8724684,0.80072695,0.8092828,0.7547585,0.9229948,0.7817097,1.0027752,0.72949815,0.84349346,0.7926554,1.1088549,1.0562344,1.0162683,1.0608727,1.1759405,0.72683483,0.72727543
0.68206024,0.5623764,0.64471936,0.53763986,0.7480979,0.61734915,0.5333691,0.62116,0.54861236,0.62876874,0.9525327,0.81053287,0.54027975,0.5882937,0.731626,0.66490483,0.6608399,0.5961066,0.85809416,0.67461395,0.8549893,0.547458,0.7754703,0.6120703,1.074739,1.018157,0.9685851,1.379994,1.1280793,0.5509652,0.5460074
0.62157196,0.46536642,0.5686499,0.43414548,0.66813904,0.5153336,0.414368,0.4644089,0.4402851,0.4964323,0.9182366,0.69746894,0.43012774,0.48997167,0.6279112,0.5611182,0.5633497,0.4679951,0.7722819,0.59278744,0.78181136,0.4056462,0.70553994,0.5045247,1.0097774,0.9627785,0.90638816,1.5351536,1.0697913,0.43299937,0.408058
0.56262445,0.38701558,0.5152468,0.34002537,0.59214705,0.42647094,0.34357053,0.35423562,0.36383307,0.38655528,0.8771462,0.6026903,0.33441293,0.41879264,0.56322145,0.448508,0.47249866,0.37148815,0.69340664,0.53911483,0.7132408,0.30242187,0.64955294,0.42393488,0.9744483,0.9295222,0.8719747,1.5648601,1.0523324,0.33550495,0.32314855
0.52469105,0.33716372,0.46137437,0.27369207,0.579304,0.36425856,0.291398,0.2728531,0.31273302,0.31086332,0.85218984,0.541151,0.2661206,0.37410355,0.5193979,0.36839366,0.40053886,0.2885408,0.6385321,0.4960657,0.6595155,0.22366157,0.60827756,0.36930174,0.95332295,0.9022992,0.8431672,1.5400751,1.0208043,0.26861355,0.2520107
0.49163592,0.2907146,0.40650547,0.22146457,0.57477593,0.3138218,0.26296133,0.2125516,0.2784295,0.24957173,0.8147707,0.48813838,0.21466742,0.32424048,0.4712,0.29627016,0.34426218,0.22689852,0.5965458,0.46059847,0.6071333,0.17018431,0.5654304,0.32232833,0.9366451,0.8828672,0.82061714,1.5054168,0.9909729,0.21274507,0.20136195
0.44733813,0.24817033,0.36304727,0.17589378,0.562367,0.2685917,0.2284149,0.16174541,0.2460864,0.2042802,0.760311,0.4443043,0.1767995,0.2850633,0.4358706,0.23777504,0.29824138,0.17662995,0.563518,0.41877034,0.5689795,0.12789898,0.5378574,0.28528386,0.9003052,0.8515253,0.78699243,1.4967912,0.979352,0.16945101,0.1621821
0.42693844,0.21569048,0.33028337,0.1406577,0.5437956,0.226837,0.20148182,0.124365814,0.22672927,0.16766495,0.7172602,0.4160788,0.15294048,0.25887728,0.39785254,0.18920265,0.25478482,0.13653311,0.5266902,0.38258883,0.52038044,0.094300516,0.50480205,0.25301367,0.876169,0.8273529,0.76080674,1.4711357,0.9863299,0.1315454,0.12853307
0.40601808,0.18654521,0.29210547,0.1139932,0.5462773,0.19642426,0.18406971,0.096271016,0.20549035,0.14286359,0.68210155,0.38804615,0.12907116,0.2357708,0.37100807,0.1522486,0.22666298,0.10642616,0.5097436,0.36036205,0.47772688,0.07082332,0.47898364,0.22120489,0.85704046,0.8113591,0.73658496,1.4464434,0.96823585,0.101136066,0.10089719
0.3820595,0.16487259,0.26359487,0.09066334,0.5268466,0.1706365,0.16577731,0.07525296,0.18937744,0.12151821,0.65511644,0.37549534,0.11504483,0.21758063,0.34602317,0.119344406,0.19308197,0.08325407,0.47607055,0.34341556,0.44657546,0.052222703,0.45528287,0.19357964,0.841972,0.7963672,0.7222316,1.4169241,0.9725609,0.07835703,0.08395402
0.35945442,0.14591496,0.24461752,0.0702337,0.5139023,0.14716215,0.15247218,0.059127934,0.17812102,0.109666236,0.6432245,0.36335304,0.09931815,0.20089011,0.32697576,0.095467344,0.17190847,0.0629979,0.46258008,0.32930657,0.40221763,0.03826027,0.42187592,0.17368318,0.810298,0.7652364,0.6947358,1.3965294,0.9540267,0.060368862,0.06826125
0.3476575,0.13210985,0.21716017,0.054225728,0.513619,0.13052465,0.14273818,0.045776084,0.16529225,0.10172697,0.60069746,0.35630798,0.08769249,0.190944,0.31227025,0.07347309,0.14838482,0.051235005,0.440856,0.29904443,0.3971709,0.027797794,0.4077593,0.14817038,0.79160875,0.7472406,0.6742449,1.3777494,0.93358034,0.044135425,0.055361733
0.3286499,0.11758765,0.19259454,0.040642187,0.4976953,0.11339942,0.1328507,0.033255246,0.15723576,0.089057535,0.5799814,0.34192148,0.07616704,0.17732573,0.29052177,0.056437958,0.12928322,0.03961861,0.42600143,0.2856615,0.3681297,0.019109098,0.39074203,0.13081244,0.780962,0.7350367,0.65585494,1.3544909,0.937795,0.031587295,0.04328107
