field,中文名,score
marginal_loss_price_da,日前边际损耗价,7259.66796875
gen_fuel_oil_mw,燃油出力,5288.2744140625
da_as_as_req_mw_primary_reserve,日前主用备用需求,2806.134765625
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,2806.134765625
gross_inadv_interchange_mw,总非计划交换,2751.1123046875
metered_load_mw,计量负荷,1022.114990234375
gen_fuel_solar_pct,光伏占比,944.2762451171875
gross_sched_interchange_mw,总计划交换,925.760986328125
da_as_as_mw_synchronized_reserve,日前同步备用实际量,855.2600708007812
gross_actual_interchange_mw,总实际交换,687.8540649414062
da_as_mcp_primary_reserve,日前主用备用出清价,635.4708251953125
total_losses,总网损,623.0106201171875
gen_fuel_nuclear_mw,核电出力,575.5654907226562
congestion_price_rt,实时阻塞价,575.5654907226562
gen_fuel_multiple_fuels_pct,多燃料占比,427.6536560058594
rmccp,调频容量出清价,402.9875793457031
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,387.3390808105469
gen_fuel_multiple_fuels_mw,多燃料出力,379.74420166015625
forecast_load_mw_latest_available,最新负荷预测,337.2019958496094
system_energy_price_da,日前能量价格,222.47772216796875
total_pjm_rmpcp_cr,调频性能信用额,218.1154022216797
total_pjm_assigned_reg,调频分配量,205.53501892089844
total_pjm_loc_credit,机会成本信用,193.68023681640625
gen_fuel_other_renewables_mw,其他可再生出力,189.88258361816406
net_sched_interchange_mw,净计划交换,186.15940856933594
marginal_loss_price_rt,实时边际损耗价,102.77318572998047
gen_fuel_coal_pct,燃煤占比,100.75802612304688
gen_fuel_solar_mw,光伏出力,94.94654083251953
gen_fuel_coal_mw,燃煤出力,93.0848388671875
gen_fuel_wind_mw,风电出力,87.71592712402344
da_as_mcp_synchronized_reserve,日前同步备用出清价,87.71592712402344
gen_fuel_oil_pct,燃油占比,84.30980682373047
system_energy_price_rt,实时能量价格,77.88922882080078
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,74.86470031738281
net_actual_interchange_mw,净实际交换,73.39675903320312
total_gen,总发电量,71.95761108398438
da_as_ss_mw_primary_reserve,日前主用备用自调度,70.54667663574219
total_lmp_rt,实时总电价,70.54667663574219
wind_generation_mw,风电出力,69.16340637207031
solar_generation_mw,光伏出力,69.16340637207031
prelim_load_avg_hourly,预估小时负荷,66.47770690917969
gen_fuel_gas_mw,燃气出力,66.47770690917969
gen_fuel_gas_pct,燃气占比,66.47770690917969
rmpcp,调频性能出清价,65.17422485351562
total_pjm_self_sched_reg,调频自调度量,63.896297454833984
da_as_as_mw_primary_reserve,日前主用备用实际量,63.896297454833984
gen_fuel_hydro_mw,水电出力,63.896297454833984
total_pjm_rmccp_cr,调频容量信用额,63.896297454833984
net_inadv_interchange_mw,净非计划交换,62.643428802490234
gen_fuel_hydro_pct,水电占比,62.643428802490234
gen_fuel_nuclear_pct,核电占比,62.643428802490234
total_pjm_rt_load_mwh,实时负荷电量,61.41512680053711
gen_fuel_wind_pct,风电占比,59.030303955078125
da_as_nsr_mw_primary_reserve,非同步备用,57.87284469604492
gen_fuel_storage_mw,储能出力,57.87284469604492
total_pjm_reg_purchases,调频购买量,55.625572204589844
gen_fuel_other_renewables_pct,其他可再生占比,53.4655647277832
