field,中文名,score
system_energy_price_rt,实时能量价格,9207.0146484375
net_actual_interchange_mw,净实际交换,855.2600708007812
da_as_mcp_synchronized_reserve,日前同步备用出清价,553.215576171875
net_sched_interchange_mw,净计划交换,531.7335815429688
total_pjm_loc_credit,机会成本信用,462.90606689453125
gen_fuel_multiple_fuels_mw,多燃料出力,387.3390808105469
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,337.2019958496094
gen_fuel_gas_pct,燃气占比,337.2019958496094
gen_fuel_coal_pct,燃煤占比,317.7529602050781
gross_inadv_interchange_mw,总非计划交换,287.79864501953125
marginal_loss_price_rt,实时边际损耗价,265.8814697265625
gen_fuel_other_renewables_mw,其他可再生出力,205.53501892089844
congestion_price_da,日前阻塞价,168.6103057861328
gen_fuel_multiple_fuels_pct,多燃料占比,138.31918334960938
gen_fuel_nuclear_mw,核电出力,132.9480743408203
gross_actual_interchange_mw,总实际交换,111.24500274658203
gen_fuel_solar_pct,光伏占比,98.78237915039062
wind_generation_mw,风电出力,85.99600219726562
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,84.30980682373047
marginal_loss_price_da,日前边际损耗价,82.65667724609375
gen_fuel_storage_mw,储能出力,81.03595733642578
gen_fuel_coal_mw,燃煤出力,77.88922882080078
total_losses,总网损,76.36199188232422
rmccp,调频容量出清价,76.36199188232422
total_pjm_rmccp_cr,调频容量信用额,76.36199188232422
gen_fuel_oil_pct,燃油占比,74.86470031738281
total_pjm_rmpcp_cr,调频性能信用额,73.39675903320312
gen_fuel_wind_mw,风电出力,71.95761108398438
gen_fuel_solar_mw,光伏出力,71.95761108398438
gen_fuel_oil_mw,燃油出力,70.54667663574219
rmpcp,调频性能出清价,70.54667663574219
total_lmp_da,日前总电价,69.16340637207031
total_pjm_assigned_reg,调频分配量,67.80726623535156
gross_sched_interchange_mw,总计划交换,67.80726623535156
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,66.47770690917969
gen_fuel_nuclear_pct,核电占比,66.47770690917969
gen_fuel_gas_mw,燃气出力,66.47770690917969
da_as_as_mw_synchronized_reserve,日前同步备用实际量,65.17422485351562
net_inadv_interchange_mw,净非计划交换,65.17422485351562
total_gen,总发电量,63.896297454833984
solar_generation_mw,光伏出力,63.896297454833984
metered_load_mw,计量负荷,63.896297454833984
da_as_ss_mw_primary_reserve,日前主用备用自调度,62.643428802490234
da_as_as_mw_primary_reserve,日前主用备用实际量,61.41512680053711
da_as_mcp_primary_reserve,日前主用备用出清价,61.41512680053711
total_pjm_self_sched_reg,调频自调度量,61.41512680053711
da_as_as_req_mw_primary_reserve,日前主用备用需求,61.41512680053711
gen_fuel_hydro_pct,水电占比,61.41512680053711
system_energy_price_da,日前能量价格,60.21091079711914
gen_fuel_hydro_mw,水电出力,59.030303955078125
total_pjm_rt_load_mwh,实时负荷电量,59.030303955078125
forecast_load_mw_latest_available,最新负荷预测,57.87284469604492
total_pjm_reg_purchases,调频购买量,56.73808288574219
gen_fuel_wind_pct,风电占比,56.73808288574219
prelim_load_avg_hourly,预估小时负荷,56.73808288574219
da_as_nsr_mw_primary_reserve,非同步备用,55.625572204589844
gen_fuel_other_renewables_pct,其他可再生占比,50.38179397583008
