total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7721785,0.78442544,0.77312475,0.7233426,0.77106863,0.8638191,0.85952115,0.8109949,1.2356073,0.9543139,0.8069923,0.7471973,0.7463014,0.8581313,0.8608987,0.9157364,0.84067893,1.0108529,0.7362235,0.93174094,0.8861445,0.69309026,0.8412051,0.8570724,0.87678695,0.7447084,0.69431615,0.74168414,0.83986056,0.74948657,0.7045189,0.7207158,0.821349,0.8690288,0.7902868,0.89737326,1.0200728,0.85876024,0.94342256,0.84297913,0.9337105,0.78960866,0.8724428,0.98264486,0.9385793,1.0689521,0.7215748,0.94328666,0.7578761,0.95667964,0.7890308,0.82264525,0.75569856,0.97896516,0.7000551,0.80144715,0.8616122,0.7251023
0.64387465,0.7470751,0.6029956,0.5691371,0.6526383,0.7503866,0.724368,0.71454746,1.1928744,0.83691704,0.6533425,0.6128535,0.56293076,0.73173285,0.8916893,0.8238522,0.75025225,0.9156934,0.6308785,0.8269849,0.7490483,0.48582655,0.6449914,0.6911165,0.72945017,0.5499221,0.51754075,0.5594221,0.7624204,0.6583781,0.54458916,0.5317109,0.7046796,0.8032845,0.6396972,0.7998366,0.95762426,0.69442415,0.8456507,0.7192651,0.8741433,0.6720811,0.74145865,0.86978084,0.86083055,1.0326442,0.56737,0.88831484,0.68362325,0.9299716,0.62688416,0.7158333,0.6027728,0.87160194,0.4782521,0.6438215,0.7990093,0.53748447
0.52505404,0.6949771,0.467838,0.4341543,0.54175717,0.6501812,0.55616134,0.6204141,1.1209049,0.73404896,0.5283727,0.47648787,0.42154104,0.6204833,0.86597687,0.7470009,0.6593776,0.8292657,0.5436447,0.7432929,0.6264843,0.33248407,0.51319665,0.5576057,0.60540694,0.39359754,0.36665532,0.4126772,0.6910921,0.5929329,0.4276927,0.38384888,0.59217393,0.7333703,0.52444863,0.71803313,0.898651,0.553978,0.7594941,0.6272956,0.80114615,0.6280404,0.6388952,0.7597645,0.8030923,1.0122235,0.4507546,0.8203851,0.59841174,0.8814333,0.5039715,0.6237577,0.49250197,0.7783502,0.32232067,0.5133751,0.72190326,0.39982295
0.4263063,0.6666579,0.36026224,0.32920033,0.46820414,0.54648733,0.44300023,0.55036896,1.0581672,0.63894916,0.41743785,0.37359884,0.31816354,0.53588486,0.83644164,0.66847694,0.5533681,0.7673496,0.46609196,0.66285264,0.52778023,0.22353445,0.4031301,0.44808558,0.50657535,0.27164865,0.2530628,0.30179238,0.6226628,0.5328963,0.3531429,0.2725164,0.49422985,0.65874594,0.4352958,0.65036,0.81629926,0.43562114,0.6882198,0.5510474,0.72416306,0.56729376,0.5663892,0.658826,0.7211199,0.9803162,0.37247175,0.741111,0.5182015,0.8397712,0.41778484,0.5318192,0.3917425,0.7011265,0.2135933,0.41684678,0.6534133,0.28851327
0.3490028,0.65144956,0.27434546,0.25315672,0.4031825,0.47313562,0.3525627,0.4877971,0.9967866,0.55983555,0.34132245,0.29943988,0.23642205,0.46903473,0.7833586,0.62832236,0.4838612,0.70065415,0.39851975,0.58176327,0.44224274,0.14212546,0.31301084,0.35180753,0.42573693,0.1827994,0.16667713,0.21644469,0.57104856,0.47064906,0.29882228,0.19029288,0.41492224,0.5789311,0.36973614,0.57909465,0.736594,0.34149295,0.6162569,0.4975544,0.6598856,0.5133756,0.50359386,0.5875998,0.65685576,0.9632502,0.30639964,0.68866414,0.43311626,0.7796771,0.35263303,0.5013938,0.3066275,0.63932294,0.1383429,0.34063324,0.57848376,0.20702398
0.2904463,0.6191415,0.21405263,0.19143845,0.3526878,0.40355316,0.28393686,0.42264643,0.9502106,0.49709374,0.28063783,0.2370892,0.1750511,0.42922187,0.740711,0.5881001,0.41651475,0.64317584,0.34049138,0.49886447,0.37606457,0.08959693,0.23922111,0.28333914,0.3607528,0.12363571,0.10979345,0.15788059,0.5194804,0.414232,0.25034973,0.13596945,0.35194284,0.5024605,0.3244059,0.51265526,0.6626668,0.26542106,0.55996054,0.4482533,0.5983296,0.47229457,0.45541155,0.51030076,0.5889198,0.93639874,0.2594704,0.6385302,0.38427442,0.73561084,0.31011721,0.4523817,0.23410082,0.5782338,0.08725594,0.2843474,0.5140793,0.15006277
0.24390474,0.585544,0.1612006,0.14498347,0.30755064,0.34322318,0.23095958,0.3686487,0.89013386,0.44787693,0.22764155,0.19393267,0.12774633,0.3840071,0.69160014,0.55259985,0.36383235,0.58130234,0.29690152,0.4378898,0.31526354,0.05419316,0.18203107,0.22791067,0.30070427,0.080188595,0.07809336,0.11211937,0.48472244,0.35793838,0.22409327,0.09350503,0.30879435,0.43308127,0.2783037,0.4370154,0.59167725,0.20383903,0.5169473,0.40553272,0.5374402,0.42288062,0.40846542,0.44873077,0.52954227,0.8988424,0.21326914,0.5814026,0.3288446,0.7081548,0.28393322,0.39365423,0.17843452,0.53040165,0.052852385,0.25286248,0.46615136,0.10733504
0.20699747,0.54898673,0.12383422,0.10889973,0.27917174,0.300917,0.18928142,0.32336718,0.8436427,0.39641035,0.20070118,0.15445878,0.09499727,0.3675378,0.6548181,0.51641357,0.32543284,0.5390516,0.26146263,0.38576475,0.2739665,0.03237216,0.13710807,0.18195716,0.25425792,0.05043708,0.053657312,0.077569254,0.45260033,0.3112052,0.19961344,0.061874002,0.27011365,0.3591682,0.25199786,0.37556133,0.53486717,0.15573649,0.47866684,0.37447596,0.4883204,0.38238147,0.37958577,0.39604387,0.4798118,0.87182826,0.18294014,0.5394065,0.2808708,0.6586608,0.25237218,0.3514057,0.13391684,0.49084896,0.031106612,0.22496127,0.41152722,0.075810015
0.17378402,0.51601905,0.090200104,0.08193367,0.24849926,0.25813937,0.15425585,0.29357103,0.8106709,0.3532913,0.17420411,0.12584078,0.065836824,0.33879155,0.6055,0.4936535,0.28760377,0.508591,0.21924913,0.33182865,0.22698773,0.017709391,0.100217365,0.1442297,0.21378887,0.030214464,0.03532997,0.053060744,0.42989445,0.26024663,0.17650597,0.041995216,0.23553708,0.29788893,0.23347177,0.30946842,0.4946675,0.11696386,0.44374156,0.3395801,0.4625068,0.35761476,0.3519931,0.3592392,0.4320937,0.83117014,0.15305753,0.49101612,0.23583946,0.61699736,0.22669816,0.30139858,0.094911136,0.44738764,0.017504247,0.20459282,0.3705458,0.052232563
0.14886317,0.48762384,0.06379709,0.059805933,0.22910447,0.22548835,0.12676793,0.25996777,0.7720727,0.32384136,0.15437074,0.0991813,0.046871614,0.32965434,0.5737977,0.4643288,0.24964204,0.46652472,0.19244406,0.29416808,0.19728139,0.0092860805,0.072905794,0.118061624,0.17831077,0.01731101,0.022721872,0.03539497,0.40504867,0.2199817,0.1624177,0.02755923,0.20938128,0.25126463,0.21982764,0.2587088,0.4301455,0.086619966,0.41433004,0.3126237,0.42426616,0.32633185,0.3342237,0.3168239,0.39052126,0.8054197,0.13495038,0.45764187,0.1984751,0.5690329,0.20377173,0.27104053,0.06789744,0.42628583,0.00927971,0.19615248,0.35156602,0.034852225
0.12924546,0.45465147,0.043736834,0.04225413,0.20879962,0.19921274,0.10578361,0.23333123,0.7419445,0.2946725,0.13236456,0.07817406,0.031137766,0.3111609,0.5450742,0.44116354,0.23097648,0.43691778,0.16914533,0.2638185,0.17358658,0.0045531085,0.05003,0.09396228,0.145717,0.009555869,0.01465037,0.022136994,0.38708776,0.1915476,0.1413985,0.017467132,0.18720077,0.21084616,0.2123839,0.21820803,0.39338055,0.06288134,0.38854858,0.2922282,0.4021704,0.30767605,0.31255767,0.29173145,0.35662448,0.7790987,0.1264367,0.4243777,0.16550264,0.52356464,0.19320405,0.23948498,0.04588802,0.40648532,0.0047535,0.1775295,0.32091814,0.023076387
0.10817404,0.44547758,0.028860137,0.030089801,0.19109951,0.17231832,0.085452504,0.20815301,0.7201076,0.2715108,0.12753187,0.06206143,0.020290615,0.29918632,0.5180272,0.41317564,0.20411465,0.4006033,0.14743996,0.23651798,0.15162726,0.0020941312,0.034063186,0.074284315,0.12200464,0.0049104993,0.009556158,0.012759997,0.37308195,0.16473535,0.13419178,0.0106553165,0.16428708,0.17641236,0.19148058,0.17875566,0.35221377,0.04508939,0.36568338,0.26913667,0.36838767,0.2824616,0.2896951,0.26055104,0.31403932,0.7505542,0.11459141,0.38577497,0.13744688,0.48194075,0.1819702,0.21196724,0.03018385,0.38244236,0.0022165962,0.16704464,0.29781654,0.014250701
0.09254982,0.40836206,0.0180774,0.02018016,0.17339295,0.15163009,0.075539075,0.19162752,0.6946951,0.24977873,0.113758236,0.049225446,0.012589909,0.28720334,0.4870477,0.3955962,0.1966438,0.38285035,0.125615,0.21209905,0.13313141,0.0008907678,0.022359379,0.058533363,0.09826969,0.0023849176,0.005660052,0.006980924,0.36060235,0.1400371,0.13025697,0.0061766207,0.1470768,0.14414462,0.16929647,0.1502803,0.31630918,0.031100307,0.34657976,0.25622642,0.34509605,0.26190442,0.27405837,0.22872627,0.28698626,0.7280569,0.10219109,0.3585636,0.115107425,0.43893075,0.16374095,0.18850198,0.01880891,0.36592528,0.0009661988,0.16093978,0.28134218,0.008224373
0.07786138,0.38620213,0.010667892,0.013164746,0.16212095,0.13169566,0.061285757,0.17035945,0.66472,0.23103848,0.10539756,0.03823671,0.0073481863,0.27840275,0.47386384,0.3702719,0.18328606,0.35596102,0.112130634,0.19266307,0.11738843,0.0003505781,0.013947482,0.0457662,0.08065228,0.0010831099,0.0032785991,0.0035237763,0.35279799,0.11728467,0.11962769,0.0032705343,0.123736314,0.11732094,0.15761141,0.1278221,0.29595917,0.021089997,0.33125663,0.23595238,0.3224832,0.24160303,0.26056886,0.20613892,0.26029444,0.6937189,0.092878304,0.3378891,0.09591366,0.4035737,0.15122257,0.16898943,0.011280678,0.35185602,0.0003922649,0.16865681,0.25925282,0.0045777815
0.06512748,0.37104335,0.0060450844,0.008118214,0.14652789,0.115097985,0.053162742,0.15668395,0.6340503,0.21310672,0.09782283,0.029069513,0.004037126,0.26531038,0.4536675,0.3458326,0.1864918,0.3347137,0.09592962,0.16972697,0.104142524,0.00012637003,0.008326622,0.034431327,0.064128995,0.00046183885,0.0018379011,0.001630817,0.34119844,0.09651868,0.12253732,0.001652534,0.11791503,0.09583245,0.15244943,0.10446533,0.26736313,0.013867344,0.31595957,0.22688188,0.2990515,0.22967014,0.24502276,0.1845954,0.24286108,0.673206,0.08776503,0.33110666,0.07756067,0.3775304,0.1420328,0.14562471,0.006467873,0.33922496,0.0001465587,0.15811728,0.24134746,0.0023805636
