field,中文名,score
prelim_load_avg_hourly,预估小时负荷,12459.284165760359
gen_fuel_gas_mw,燃气出力,6821.722273461775
gen_fuel_coal_mw,燃煤出力,4933.129846866418
gen_fuel_solar_mw,光伏出力,3107.9725521807977
gen_fuel_wind_mw,风电出力,2072.1204445551734
gen_fuel_nuclear_mw,核电出力,1651.540254084625
gen_fuel_hydro_mw,水电出力,1273.754925038306
gen_fuel_oil_mw,燃油出力,489.44336799709043
da_as_as_mw_synchronized_reserve,日前同步备用实际量,435.16579244296196
gen_fuel_coal_pct,燃煤占比,403.9756152826795
da_as_as_mw_primary_reserve,日前主用备用实际量,351.98005314861575
gen_fuel_gas_pct,燃气占比,338.90071996127665
gen_fuel_hydro_pct,水电占比,334.1608656345925
gen_fuel_multiple_fuels_pct,多燃料占比,329.28049224529605
total_pjm_reg_purchases,调频购买量,259.64165475682273
gross_sched_interchange_mw,总计划交换,258.2543270393188
total_losses,总网损,247.87503882891212
da_as_as_req_mw_primary_reserve,日前主用备用需求,174.0686028648126
total_pjm_assigned_reg,调频分配量,117.76783558674067
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,96.55410194589118
net_inadv_interchange_mw,净非计划交换,82.35308670567645
da_as_mcp_synchronized_reserve,日前同步备用出清价,75.57689294709913
gross_inadv_interchange_mw,总非计划交换,65.11255949247627
total_lmp_da,日前总电价,62.869045069339215
gen_fuel_oil_pct,燃油占比,53.33275888247033
rmpcp,调频性能出清价,38.80407314658303
gen_fuel_nuclear_pct,核电占比,35.48229326603029
marginal_loss_price_rt,实时边际损耗价,35.09902477148624
metered_load_mw,计量负荷,26.616037383425375
congestion_price_rt,实时阻塞价,26.036263418944202
congestion_price_da,日前阻塞价,23.347297277592016
system_energy_price_rt,实时能量价格,22.268130498136614
gen_fuel_other_renewables_mw,其他可再生出力,18.54690602051474
total_pjm_loc_credit,机会成本信用,18.31367727382325
total_pjm_rmccp_cr,调频容量信用额,14.869288610593657
marginal_loss_price_da,日前边际损耗价,10.668780032016798
total_pjm_self_sched_reg,调频自调度量,5.819431020573018
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,4.0431802417370415
total_pjm_rmpcp_cr,调频性能信用额,2.4673571249627373
gen_fuel_storage_mw,储能出力,2.0416802323146497
da_as_ss_mw_primary_reserve,日前主用备用自调度,0.35424234037383573
wind_generation_mw,风电出力,0.0
gross_actual_interchange_mw,总实际交换,0.0
total_lmp_rt,实时总电价,0.0
gen_fuel_wind_pct,风电占比,0.0
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.0
solar_generation_mw,光伏出力,0.0
gen_fuel_multiple_fuels_mw,多燃料出力,0.0
forecast_load_mw_latest_available,最新负荷预测,0.0
da_as_mcp_primary_reserve,日前主用备用出清价,0.0
gen_fuel_other_renewables_pct,其他可再生占比,0.0
gen_fuel_solar_pct,光伏占比,0.0
rmccp,调频容量出清价,0.0
system_energy_price_da,日前能量价格,0.0
total_pjm_rt_load_mwh,实时负荷电量,0.0
