field,中文名,score
gen_fuel_other_renewables_pct,其他可再生占比,18781.271484375
gen_fuel_oil_mw,燃油出力,17698.01171875
total_losses,总网损,12892.04296875
gen_fuel_nuclear_mw,核电出力,11910.2548828125
gen_fuel_hydro_mw,水电出力,5955.4560546875
gen_fuel_other_renewables_mw,其他可再生出力,5501.9208984375
gen_fuel_coal_pct,燃煤占比,5501.9208984375
gen_fuel_solar_mw,光伏出力,1888.4481201171875
gen_fuel_multiple_fuels_mw,多燃料出力,1322.2147216796875
da_as_as_mw_primary_reserve,日前主用备用实际量,701.6111450195312
net_actual_interchange_mw,净实际交换,610.7947387695312
gross_inadv_interchange_mw,总非计划交换,402.9875793457031
system_energy_price_da,日前能量价格,168.6103057861328
net_sched_interchange_mw,净计划交换,111.24500274658203
solar_generation_mw,光伏出力,76.36199188232422
gen_fuel_wind_pct,风电占比,70.54667663574219
gen_fuel_wind_mw,风电出力,70.54667663574219
marginal_loss_price_da,日前边际损耗价,69.16340637207031
da_as_as_mw_synchronized_reserve,日前同步备用实际量,69.16340637207031
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,69.16340637207031
system_energy_price_rt,实时能量价格,69.16340637207031
gen_fuel_multiple_fuels_pct,多燃料占比,67.80726623535156
gross_actual_interchange_mw,总实际交换,67.80726623535156
da_as_ss_mw_primary_reserve,日前主用备用自调度,67.80726623535156
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,67.80726623535156
marginal_loss_price_rt,实时边际损耗价,66.47770690917969
gen_fuel_solar_pct,光伏占比,66.47770690917969
rmpcp,调频性能出清价,65.17422485351562
net_inadv_interchange_mw,净非计划交换,65.17422485351562
gen_fuel_oil_pct,燃油占比,65.17422485351562
da_as_mcp_primary_reserve,日前主用备用出清价,63.896297454833984
gross_sched_interchange_mw,总计划交换,63.896297454833984
total_pjm_reg_purchases,调频购买量,63.896297454833984
total_pjm_rmpcp_cr,调频性能信用额,63.896297454833984
gen_fuel_hydro_pct,水电占比,63.896297454833984
congestion_price_rt,实时阻塞价,62.643428802490234
wind_generation_mw,风电出力,62.643428802490234
da_as_as_req_mw_primary_reserve,日前主用备用需求,62.643428802490234
total_pjm_self_sched_reg,调频自调度量,61.41512680053711
da_as_mcp_synchronized_reserve,日前同步备用出清价,59.030303955078125
total_pjm_rmccp_cr,调频容量信用额,59.030303955078125
rmccp,调频容量出清价,59.030303955078125
gen_fuel_storage_mw,储能出力,59.030303955078125
total_pjm_assigned_reg,调频分配量,57.87284469604492
total_pjm_loc_credit,机会成本信用,57.87284469604492
congestion_price_da,日前阻塞价,56.73808288574219
