field,中文名,score
gen_fuel_coal_mw,燃煤出力,0.2843109369277954
metered_load_mw,计量负荷,0.18322238326072693
prelim_load_avg_hourly,预估小时负荷,0.12270869314670563
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.0677415058016777
gen_fuel_nuclear_mw,核电出力,0.04821460694074631
marginal_loss_price_da,日前边际损耗价,0.030197110027074814
gen_fuel_wind_mw,风电出力,0.026911813765764236
marginal_loss_price_rt,实时边际损耗价,0.025056222453713417
gen_fuel_wind_pct,风电占比,0.020041577517986298
wind_generation_mw,风电出力,0.01703852415084839
net_sched_interchange_mw,净计划交换,0.016576668247580528
forecast_load_mw_latest_available,最新负荷预测,0.014339622110128403
da_as_as_req_mw_primary_reserve,日前主用备用需求,0.01092875562608242
net_actual_interchange_mw,净实际交换,0.010003643110394478
gen_fuel_coal_pct,燃煤占比,0.009280230849981308
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.007659695111215115
gen_fuel_oil_mw,燃油出力,0.007133105304092169
gen_fuel_solar_pct,光伏占比,0.006800680886954069
da_as_mcp_synchronized_reserve,日前同步备用出清价,0.005756546277552843
gen_fuel_other_renewables_mw,其他可再生出力,0.005684735253453255
gen_fuel_solar_mw,光伏出力,0.004325680900365114
gen_fuel_multiple_fuels_mw,多燃料出力,0.004273721948266029
gross_actual_interchange_mw,总实际交换,0.0040341089479625225
total_pjm_reg_purchases,调频购买量,0.0035355372820049524
da_as_as_mw_primary_reserve,日前主用备用实际量,0.0034613122697919607
system_energy_price_da,日前能量价格,0.003334189299494028
solar_generation_mw,光伏出力,0.003304509213194251
congestion_price_da,日前阻塞价,0.0033029664773494005
gen_fuel_gas_pct,燃气占比,0.0032163786236196756
congestion_price_rt,实时阻塞价,0.003177753882482648
gen_fuel_multiple_fuels_pct,多燃料占比,0.0027392867486923933
gross_sched_interchange_mw,总计划交换,0.00264927139505744
gross_inadv_interchange_mw,总非计划交换,0.0026042629033327103
gen_fuel_oil_pct,燃油占比,0.0025424615014344454
da_as_nsr_mw_primary_reserve,非同步备用,0.0024207334499806166
total_lmp_rt,实时总电价,0.0022609843872487545
system_energy_price_rt,实时能量价格,0.0022463840432465076
gen_fuel_hydro_pct,水电占比,0.0022388615179806948
da_as_as_mw_synchronized_reserve,日前同步备用实际量,0.0022370214574038982
gen_fuel_hydro_mw,水电出力,0.0019823794718831778
da_as_ss_mw_primary_reserve,日前主用备用自调度,0.0018554783891886473
gen_fuel_gas_mw,燃气出力,0.0018114043632522225
gen_fuel_other_renewables_pct,其他可再生占比,0.0017011429881677032
gen_fuel_nuclear_pct,核电占比,0.0016506307292729616
total_lmp_da,日前总电价,0.0015462973387911916
total_pjm_rmpcp_cr,调频性能信用额,0.0013261404819786549
da_as_mcp_primary_reserve,日前主用备用出清价,0.0011958590475842357
total_pjm_assigned_reg,调频分配量,0.0011595364194363356
total_pjm_rt_load_mwh,实时负荷电量,0.0011385774705559015
total_pjm_rmccp_cr,调频容量信用额,0.0010942156659439206
total_pjm_self_sched_reg,调频自调度量,0.001048871548846364
rmccp,调频容量出清价,0.0010232065105810761
rmpcp,调频性能出清价,0.0010174743365496397
total_pjm_loc_credit,机会成本信用,0.0009955645073205233
net_inadv_interchange_mw,净非计划交换,0.0008084409637376666
gen_fuel_storage_mw,储能出力,0.0006365706212818623
total_gen,总发电量,0.0004957020282745361
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,0.0
