total_gen,total_losses,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.76575303,0.9033146,0.77360743,0.71057296,0.789891,0.85775894,0.8942004,0.7979131,0.81730485,0.7813264,0.9592731,0.82628953,0.769396,0.698915,0.8565951,0.85729396,0.950273,0.79299265,0.82386214,0.854642,0.84150314,0.8549319,0.8713195,0.8275033,0.8871514,0.80946356,0.7497628,0.8687235,0.76430875,0.72358555,0.77951956,0.74277323,0.8049725,0.7992047,0.7062397,0.9903058,0.9002944,0.9673866,1.0050597,0.96985656,1.0805641,0.7278268,0.837588,0.7678659,0.7924563
0.6290424,0.84323347,0.6524525,0.5421511,0.67337763,0.7724759,0.80197906,0.772782,0.77140504,0.68836564,0.9245148,0.7369921,0.76279163,0.54846513,0.7438554,0.7261885,0.8894935,0.6874944,0.75402445,0.7287336,0.7353281,0.7835964,0.8181409,0.7439445,0.84985274,0.6431166,0.62854725,0.8477129,0.7270212,0.68857026,0.635092,0.6449089,0.7424036,0.7196464,0.59518415,0.92364264,0.8301524,0.99962276,0.9438351,1.0509713,1.0948567,0.6697048,0.8304197,0.6280136,0.6744672
0.53906685,0.8093792,0.58233804,0.45908117,0.6185683,0.7387672,0.7220418,0.71637815,0.73276037,0.61617595,0.86230457,0.69657487,0.76344496,0.43928167,0.67463434,0.63513947,0.83203685,0.6156274,0.70963347,0.6451257,0.6436708,0.7334237,0.73808306,0.68954915,0.8496695,0.5384632,0.5521199,0.7866487,0.72510433,0.6800882,0.58809906,0.56584156,0.6661636,0.6771264,0.51188296,0.85351557,0.7691569,0.987834,0.91098815,1.060134,1.0542331,0.57986623,0.79897606,0.5265897,0.59522104
0.44786456,0.7917549,0.5408955,0.37158218,0.56729555,0.67917216,0.6632155,0.7093299,0.6960958,0.5865846,0.82772887,0.67005855,0.76246685,0.35163745,0.63565624,0.5502939,0.800941,0.585752,0.68030435,0.55182284,0.5675894,0.701864,0.6950413,0.62982434,0.8584904,0.45762265,0.5274171,0.74606943,0.7239694,0.6758628,0.5347682,0.5023757,0.62089556,0.6543234,0.4528345,0.8151587,0.7181335,0.9888366,0.89658463,1.0635395,1.0285847,0.537354,0.76998544,0.47152352,0.53060216
0.3987273,0.7957124,0.49540243,0.3223923,0.51427275,0.65023935,0.59180325,0.6718138,0.6557589,0.5258888,0.83620214,0.68635285,0.75230336,0.28044242,0.60701877,0.48827142,0.757763,0.547754,0.65303016,0.490502,0.5107693,0.6630098,0.6726051,0.5842773,0.84048563,0.3841558,0.50599873,0.7300308,0.7155715,0.6727299,0.5313927,0.44871092,0.5769046,0.6527371,0.41951224,0.7740429,0.6706832,0.95396364,0.8321433,1.064477,1.0055212,0.49364313,0.7441703,0.44980338,0.49668372
0.34492514,0.7972353,0.44118187,0.293317,0.46627685,0.61634505,0.58312523,0.6494718,0.6370413,0.4759786,0.8234327,0.69997627,0.75134885,0.22809112,0.57355624,0.43286192,0.74249357,0.51279193,0.6219881,0.43735242,0.4494986,0.64098954,0.6625796,0.537438,0.8303437,0.33913207,0.4753994,0.7045767,0.71065825,0.6658594,0.5115858,0.40482053,0.5574873,0.64620703,0.38425967,0.7258513,0.6427493,0.9587596,0.804057,1.0582696,0.98368466,0.4669834,0.72887623,0.42175424,0.4537299
0.29273197,0.79549426,0.42188647,0.2501181,0.4210158,0.60428166,0.5544179,0.63935673,0.6131409,0.45564723,0.7800002,0.68813664,0.7206706,0.1825724,0.55934745,0.3899713,0.7285972,0.49976763,0.599032,0.38847134,0.398743,0.6069413,0.6521179,0.5032294,0.79834527,0.29289874,0.43536308,0.68906623,0.7163563,0.65418553,0.4800322,0.35488722,0.51066166,0.63833463,0.34546578,0.6957206,0.62644446,0.94511193,0.7638704,1.0409472,0.9681791,0.42446384,0.67783415,0.40074265,0.41685742
0.26238832,0.7820111,0.37802663,0.22188684,0.3796635,0.5904246,0.52970624,0.60273075,0.5849274,0.40112767,0.76231074,0.67115134,0.7225677,0.1466819,0.5355119,0.3483898,0.6993762,0.47653684,0.57901096,0.3482171,0.35048133,0.58305645,0.6392584,0.4672856,0.76143056,0.2644265,0.39858142,0.67765063,0.6968918,0.64601296,0.47466978,0.3239279,0.49110204,0.6360698,0.31729147,0.67117465,0.5900186,0.93592185,0.75102687,1.0311891,0.9495448,0.39558336,0.6492949,0.39535344,0.38693815
0.23502773,0.78028494,0.36575642,0.19808036,0.32644594,0.5517724,0.5122929,0.5951641,0.56688267,0.36972162,0.71073586,0.6806152,0.7056027,0.117786534,0.52147937,0.30856633,0.6759483,0.45262107,0.5730657,0.3111916,0.2975953,0.5593778,0.61114603,0.43960372,0.7411862,0.2411824,0.36368564,0.63869715,0.6755772,0.62376857,0.43581846,0.2944882,0.46417484,0.627711,0.2985249,0.64867085,0.5725725,0.93170154,0.72779334,1.016816,0.9351509,0.3648434,0.6239678,0.4004903,0.37201983
