field,中文名,score
system_energy_price_rt,实时能量价格,0.2868938744068146
marginal_loss_price_rt,实时边际损耗价,0.06967446208000183
gen_fuel_solar_pct,光伏占比,0.056797511875629425
da_as_as_req_mw_primary_reserve,日前主用备用需求,0.046751685440540314
congestion_price_da,日前阻塞价,0.02884075418114662
gen_fuel_gas_pct,燃气占比,0.028431041166186333
gen_fuel_multiple_fuels_pct,多燃料占比,0.022365596145391464
gen_fuel_coal_pct,燃煤占比,0.021767476573586464
rmccp,调频容量出清价,0.020938264206051826
da_as_mcp_synchronized_reserve,日前同步备用出清价,0.01959352381527424
net_actual_interchange_mw,净实际交换,0.01927121914923191
total_pjm_rmccp_cr,调频容量信用额,0.01907413825392723
gen_fuel_multiple_fuels_mw,多燃料出力,0.019017407670617104
gen_fuel_gas_mw,燃气出力,0.018908556550741196
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.018854355439543724
net_sched_interchange_mw,净计划交换,0.018774965777993202
gen_fuel_oil_pct,燃油占比,0.017326530069112778
gen_fuel_solar_mw,光伏出力,0.017020748928189278
gen_fuel_nuclear_mw,核电出力,0.016630295664072037
metered_load_mw,计量负荷,0.016334520652890205
gen_fuel_hydro_mw,水电出力,0.015463380143046379
gen_fuel_other_renewables_pct,其他可再生占比,0.014942467212677002
da_as_nsr_mw_primary_reserve,非同步备用,0.012998055666685104
total_losses,总网损,0.01188746839761734
gen_fuel_coal_mw,燃煤出力,0.011600596830248833
gross_inadv_interchange_mw,总非计划交换,0.011243571527302265
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.010783814825117588
forecast_load_mw_latest_available,最新负荷预测,0.01029839739203453
total_lmp_da,日前总电价,0.010279842652380466
system_energy_price_da,日前能量价格,0.01014525443315506
total_pjm_loc_credit,机会成本信用,0.008882258087396622
gen_fuel_oil_mw,燃油出力,0.00838297139853239
da_as_mcp_primary_reserve,日前主用备用出清价,0.008312661200761795
solar_generation_mw,光伏出力,0.007876788266003132
gen_fuel_hydro_pct,水电占比,0.007758617866784334
total_pjm_assigned_reg,调频分配量,0.007514958269894123
gross_actual_interchange_mw,总实际交换,0.007463585585355759
prelim_load_avg_hourly,预估小时负荷,0.007259393110871315
gen_fuel_storage_mw,储能出力,0.006792122032493353
marginal_loss_price_da,日前边际损耗价,0.006776081398129463
gen_fuel_nuclear_pct,核电占比,0.006635108031332493
total_pjm_reg_purchases,调频购买量,0.006093309260904789
total_pjm_rt_load_mwh,实时负荷电量,0.005299608688801527
total_gen,总发电量,0.002042869571596384
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,0.0
