field,中文名,score
system_energy_price_da,日前能量价格,0.22167043387889862
total_losses,总网损,0.20441673696041107
gen_fuel_gas_mw,燃气出力,0.20343437790870667
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.14649535715579987
congestion_price_da,日前阻塞价,0.14270682632923126
gen_fuel_oil_mw,燃油出力,0.14262264966964722
gen_fuel_multiple_fuels_mw,多燃料出力,0.14010775089263916
gen_fuel_coal_pct,燃煤占比,0.12021812796592712
net_actual_interchange_mw,净实际交换,0.10659639537334442
solar_generation_mw,光伏出力,0.0940607562661171
gen_fuel_hydro_mw,水电出力,0.08414564281702042
gross_actual_interchange_mw,总实际交换,0.07815345376729965
da_as_mcp_primary_reserve,日前主用备用出清价,0.0749649927020073
congestion_price_rt,实时阻塞价,0.06199495121836662
gross_inadv_interchange_mw,总非计划交换,0.05059634521603584
marginal_loss_price_rt,实时边际损耗价,0.017068032175302505
da_as_mcp_synchronized_reserve,日前同步备用出清价,6.705075747959199e-07
gen_fuel_oil_pct,燃油占比,1.1146015750987393e-12
system_energy_price_rt,实时能量价格,0.0
da_as_nsr_mw_primary_reserve,非同步备用,0.0
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.0
net_sched_interchange_mw,净计划交换,0.0
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,0.0
da_as_as_req_mw_primary_reserve,日前主用备用需求,0.0
total_lmp_rt,实时总电价,0.0
total_gen,总发电量,0.0
total_pjm_reg_purchases,调频购买量,0.0
total_pjm_loc_credit,机会成本信用,0.0
total_pjm_rt_load_mwh,实时负荷电量,0.0
metered_load_mw,计量负荷,0.0
prelim_load_avg_hourly,预估小时负荷,0.0
forecast_load_mw_latest_available,最新负荷预测,0.0
gen_fuel_solar_pct,光伏占比,0.0
gen_fuel_other_renewables_pct,其他可再生占比,0.0
gen_fuel_nuclear_pct,核电占比,0.0
gen_fuel_hydro_pct,水电占比,0.0
gen_fuel_storage_mw,储能出力,0.0
gen_fuel_solar_mw,光伏出力,0.0
gen_fuel_nuclear_mw,核电出力,0.0
gen_fuel_coal_mw,燃煤出力,0.0
total_pjm_rmccp_cr,调频容量信用额,0.0
rmccp,调频容量出清价,0.0
