field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,target
total_gen,0.24909347046638697,0.23597565293235534,0.14595297648824412,0.026295185290848812,0.22317811464431486,0.03161768725903825,1,1,1,1,1,1,6,1,net_actual_interchange_mw
gen_fuel_wind_mw,0.16374914165338117,0.176307765668652,0.11459594473001733,0.019847999343591827,0.18267256902423043,0.024528508962858478,1,1,1,1,1,1,6,1,net_actual_interchange_mw
da_as_as_mw_primary_reserve,0.34844169747592124,0.34503241577625265,0.21505774128521576,0.07176724485155248,0.39019269422614894,0.11348392616854598,1,1,1,1,1,1,6,1,net_actual_interchange_mw
da_as_as_req_mw_thirty_minutes_reserve,0.41418490213670833,0.34446134161869135,0.24312272614787797,0.19123033248264085,0.45389670695679724,0.14465365491755933,1,1,1,1,1,1,6,1,net_actual_interchange_mw
da_as_as_req_mw_synchronized_reserve,0.41635607188444923,0.338935782473343,0.22047590176811885,0.13228095114934638,0.4383977270307816,0.13518250460680145,1,1,1,1,1,1,6,1,net_actual_interchange_mw
da_as_as_req_mw_primary_reserve,0.4163430274585439,0.338935782473343,0.22047590176811885,0.13228095114934638,0.438398023689415,0.13518201643245503,1,1,1,1,1,1,6,1,net_actual_interchange_mw
total_pjm_rmpcp_cr,0.21274521456709458,0.2621284661201469,0.18655502591892986,0.04090806496522062,0.2824566180802132,0.0805006493255214,1,1,1,1,1,1,6,1,net_actual_interchange_mw
total_pjm_assigned_reg,0.2820279093741222,0.2591332275719531,0.19303980946466381,0.030760205988993858,0.28619695552616986,0.041702009240914314,1,1,1,1,1,1,6,1,net_actual_interchange_mw
total_pjm_reg_purchases,0.2621520946700537,0.234212524975128,0.18196798399199599,0.04069396403729142,0.25440687838001025,0.034936794465178306,1,1,1,1,1,1,6,1,net_actual_interchange_mw
gen_fuel_wind_pct,0.20440113794968048,0.21681725108221261,0.13805317403644332,0.02110581668216459,0.21352296799032658,0.030796694302903438,1,1,1,1,1,1,6,1,net_actual_interchange_mw
da_as_as_mw_thirty_minutes_reserve,0.38721861749547104,0.4185583702913236,0.2808702523153025,0.055232147326945896,0.41752401952332174,0.11927697885246218,1,1,1,1,1,1,6,1,net_actual_interchange_mw
gen_fuel_multiple_fuels_pct,0.32658126438651885,0.30591555041258683,0.2101789607779157,0.0507000533375815,0.3448049932694835,0.08120578906218467,1,1,1,1,1,1,6,1,net_actual_interchange_mw
gen_fuel_gas_pct,0.2501229256161757,0.2555334473257807,0.17548572026317238,0.02227485002586631,0.25910067016200033,0.03788937250133504,1,1,1,1,1,1,6,1,net_actual_interchange_mw
da_as_as_mw_synchronized_reserve,0.3422041402785377,0.35886068269065635,0.24858242849990686,0.05224278292403919,0.33220296160294027,0.06879925775850626,1,1,1,1,1,1,6,1,net_actual_interchange_mw
wind_generation_mw,0.16505549695485994,0.17734967556338405,0.11573486743371686,0.01953914368276448,0.18282425098696323,0.024394065825620564,1,1,1,1,1,1,6,1,net_actual_interchange_mw
gross_sched_interchange_mw,0.47193170672922796,0.4447602143366567,0.29833816908454225,0.09774447382733206,0.47287395021553924,0.15570043569600486,1,1,1,1,1,1,6,1,net_actual_interchange_mw
gen_fuel_gas_mw,0.3107871190144793,0.30978065228193225,0.19964501685426456,0.028872194464962978,0.2855138006817611,0.04477791352092732,1,1,1,1,1,1,6,1,net_actual_interchange_mw
gen_fuel_multiple_fuels_mw,0.20432124091087842,0.20538661863351218,0.14037662359751085,0.03594589156318349,0.2407474354634074,0.05131777137501275,1,1,1,1,1,1,6,1,net_actual_interchange_mw
gen_fuel_other_renewables_mw,0.23719585518222647,0.2301486977426693,0.13208212880183212,0.03351594809272334,0.25582133625577597,0.034413680488920566,1,1,1,1,1,1,6,1,net_actual_interchange_mw
net_sched_interchange_mw,0.9993606664321067,0.9993160846405407,0.9778829414707354,0.8376930178879402,0.9991393961005102,0.9970729493225138,1,1,1,1,1,1,6,1,net_actual_interchange_mw
gen_fuel_nuclear_mw,0.40993234412298246,0.3357682455721897,0.1947663669715904,0.07852238286630885,0.4000864509997016,0.10044509654141111,1,1,1,1,1,1,6,1,net_actual_interchange_mw
system_energy_price_da,0.12004880047097218,0.3186181583874933,0.23070221088753662,0.04282931394524095,0.28161114602958615,0.07113489562946786,0,1,1,1,1,1,5,1,net_actual_interchange_mw
