field,中文名,score
gen_fuel_nuclear_mw,核电出力,2.6855506896972656
gen_fuel_coal_pct,燃煤占比,2.622344732284546
gen_fuel_nuclear_pct,核电占比,2.621448040008545
forecast_load_mw_latest_available,最新负荷预测,2.5998473167419434
gross_sched_interchange_mw,总计划交换,2.586458206176758
gen_fuel_other_renewables_mw,其他可再生出力,2.5801284313201904
gen_fuel_solar_mw,光伏出力,2.575648307800293
gen_fuel_gas_pct,燃气占比,2.562040090560913
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,2.5553205013275146
gen_fuel_multiple_fuels_pct,多燃料占比,2.5460562705993652
gen_fuel_gas_mw,燃气出力,2.527891159057617
gross_inadv_interchange_mw,总非计划交换,2.486264705657959
marginal_loss_price_rt,实时边际损耗价,2.4819443225860596
gen_fuel_wind_mw,风电出力,2.4791688919067383
system_energy_price_da,日前能量价格,2.4723758697509766
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,2.4692890644073486
total_pjm_assigned_reg,调频分配量,2.4195237159729004
total_pjm_rmpcp_cr,调频性能信用额,2.404517889022827
gen_fuel_hydro_mw,水电出力,-2.092498779296875
wind_generation_mw,风电出力,-2.2354915142059326
da_as_as_mw_primary_reserve,日前主用备用实际量,-2.3711531162261963
gen_fuel_wind_pct,风电占比,-2.3776156902313232
gen_fuel_oil_mw,燃油出力,-2.3778488636016846
da_as_as_mw_synchronized_reserve,日前同步备用实际量,-2.393470525741577
da_as_ss_mw_primary_reserve,日前主用备用自调度,-2.403200387954712
total_pjm_rt_load_mwh,实时负荷电量,-2.4151575565338135
prelim_load_avg_hourly,预估小时负荷,-2.423213243484497
rmpcp,调频性能出清价,-2.4234609603881836
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,-2.440764904022217
gen_fuel_coal_mw,燃煤出力,-2.4533371925354004
gen_fuel_other_renewables_pct,其他可再生占比,-2.521712064743042
da_as_mcp_synchronized_reserve,日前同步备用出清价,-2.527721405029297
gen_fuel_storage_mw,储能出力,-2.5374176502227783
system_energy_price_rt,实时能量价格,-2.540182590484619
total_pjm_reg_purchases,调频购买量,-2.5531909465789795
solar_generation_mw,光伏出力,-2.562605381011963
gen_fuel_multiple_fuels_mw,多燃料出力,-2.5806961059570312
total_pjm_self_sched_reg,调频自调度量,-2.601637840270996
gen_fuel_solar_pct,光伏占比,-2.608438730239868
da_as_as_req_mw_primary_reserve,日前主用备用需求,-2.6120765209198
da_as_mcp_primary_reserve,日前主用备用出清价,-2.6146466732025146
gen_fuel_hydro_pct,水电占比,-2.6195602416992188
total_pjm_loc_credit,机会成本信用,-2.634516954421997
total_lmp_rt,实时总电价,-2.6438465118408203
gen_fuel_oil_pct,燃油占比,-2.659061908721924
da_as_nsr_mw_primary_reserve,非同步备用,-2.669736385345459
rmccp,调频容量出清价,-2.692033290863037
total_pjm_rmccp_cr,调频容量信用额,-2.7178871631622314
