field,中文名,score
da_as_as_req_mw_primary_reserve,日前主用备用需求,0.6832024498960045
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,0.6831989048693548
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.6746194657087518
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.4794179372532126
gen_fuel_nuclear_mw,核电出力,0.44044273415299107
gen_fuel_gas_mw,燃气出力,0.30818777789900675
da_as_as_mw_synchronized_reserve,日前同步备用实际量,0.3010397264895874
prelim_load_avg_hourly,预估小时负荷,0.25568506656246626
total_pjm_rt_load_mwh,实时负荷电量,0.2545067021237695
forecast_load_mw_latest_available,最新负荷预测,0.25354091850342836
gen_fuel_coal_mw,燃煤出力,0.2311040518100195
gen_fuel_gas_pct,燃气占比,0.22932909241440436
gross_sched_interchange_mw,总计划交换,0.2123603525526966
gen_fuel_multiple_fuels_pct,多燃料占比,0.19030680942706282
gen_fuel_other_renewables_mw,其他可再生出力,0.17881650466699883
total_pjm_rmpcp_cr,调频性能信用额,0.17206556775456644
gen_fuel_other_renewables_pct,其他可再生占比,0.17112689143327695
gen_fuel_hydro_pct,水电占比,0.15735511519835735
gen_fuel_nuclear_pct,核电占比,0.15367137457704824
total_pjm_self_sched_reg,调频自调度量,0.14554290751574855
da_as_mcp_primary_reserve,日前主用备用出清价,0.13344837326730535
gen_fuel_wind_pct,风电占比,0.1226955176778506
gen_fuel_coal_pct,燃煤占比,0.1205085704786693
gross_inadv_interchange_mw,总非计划交换,0.11308086377735066
gen_fuel_storage_mw,储能出力,0.11073724160553847
gen_fuel_hydro_mw,水电出力,0.10084483928258114
da_as_mcp_synchronized_reserve,日前同步备用出清价,0.09007266129933712
rmpcp,调频性能出清价,0.08513531816124403
total_pjm_reg_purchases,调频购买量,0.08035052527942894
total_pjm_assigned_reg,调频分配量,0.0746734823655058
gen_fuel_multiple_fuels_mw,多燃料出力,0.0733453154421557
gen_fuel_oil_mw,燃油出力,0.06951515492590406
wind_generation_mw,风电出力,0.05204374054895296
gen_fuel_wind_mw,风电出力,0.05075256379591368
da_as_ss_mw_primary_reserve,日前主用备用自调度,0.035481976753229845
gen_fuel_solar_mw,光伏出力,0.029533312307428738
gen_fuel_oil_pct,燃油占比,0.014919968919643528
system_energy_price_da,日前能量价格,0.011836309266941618
