field,中文名,score
forecast_load_mw_latest_available,最新负荷预测,0.9399471879005432
gen_fuel_nuclear_pct,核电占比,0.02987062744796276
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.006099536549299955
gross_sched_interchange_mw,总计划交换,0.0035533520858734846
da_as_as_mw_primary_reserve,日前主用备用实际量,0.003438301384449005
da_as_as_req_mw_primary_reserve,日前主用备用需求,0.002811801852658391
system_energy_price_da,日前能量价格,0.0023981286212801933
gen_fuel_other_renewables_pct,其他可再生占比,0.001974239479750395
gen_fuel_coal_pct,燃煤占比,0.0012465107720345259
gen_fuel_oil_pct,燃油占比,0.0012447686167433858
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.0011680185561999679
total_pjm_reg_purchases,调频购买量,0.0010496334871277213
gross_inadv_interchange_mw,总非计划交换,0.0009926421334967017
total_lmp_rt,实时总电价,0.0006780793773941696
gen_fuel_hydro_pct,水电占比,0.0005370877915993333
gen_fuel_wind_pct,风电占比,0.000499808753374964
marginal_loss_price_rt,实时边际损耗价,0.00048068922478705645
gen_fuel_solar_pct,光伏占比,0.0004542104434221983
da_as_as_mw_synchronized_reserve,日前同步备用实际量,0.00043925002682954073
gen_fuel_gas_pct,燃气占比,0.00040565477684140205
da_as_mcp_primary_reserve,日前主用备用出清价,0.00037137913750484586
da_as_mcp_synchronized_reserve,日前同步备用出清价,0.0003390258934814483
