目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
gross_actual_interchange_mw,总实际交换功率,95%,8,STG,DGatingDNN,0.6330481510666499,0.6506452242087606,47,gen_fuel_nuclear_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|system_energy_price_da|gen_fuel_coal_pct|gen_fuel_oil_mw|gen_fuel_hydro_pct|gen_fuel_other_renewables_mw
gross_actual_interchange_mw,总实际交换功率,95%,8,STG,STG,0.6640568114620723,0.6506452242087606,47,gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct|system_energy_price_da|gen_fuel_gas_pct|gen_fuel_gas_mw
gross_actual_interchange_mw,总实际交换功率,95%,8,STG,LassoNet,0.5498303091515171,0.6506452242087606,47,gen_fuel_coal_mw|total_pjm_reg_purchases|gen_fuel_nuclear_mw|solar_generation_mw|da_as_ss_mw_primary_reserve|gen_fuel_solar_mw|system_energy_price_da|gen_fuel_multiple_fuels_pct
gross_actual_interchange_mw,总实际交换功率,95%,8,STG,XGBoost,0.4843031752735524,0.6506452242087606,47,total_lmp_rt|gen_fuel_solar_pct|total_pjm_reg_purchases|gen_fuel_nuclear_mw|da_as_as_req_mw_thirty_minutes_reserve|marginal_loss_price_rt|gen_fuel_gas_mw|gen_fuel_solar_mw
gross_actual_interchange_mw,总实际交换功率,95%,8,STG,Lasso,0.4851944358502943,0.6506452242087606,47,gen_fuel_nuclear_mw|total_pjm_reg_purchases|solar_generation_mw|gen_fuel_nuclear_pct|system_energy_price_da|da_as_mcp_primary_reserve|gen_fuel_hydro_mw|total_pjm_loc_credit
gross_actual_interchange_mw,总实际交换功率,95%,8,STG,Pearson,0.5380367977068652,0.6506452242087606,47,gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|total_pjm_reg_purchases|prelim_load_avg_hourly|forecast_load_mw_latest_available|total_pjm_rt_load_mwh|gen_fuel_gas_mw
gross_actual_interchange_mw,总实际交换功率,97%,9,DGatingDNN,DGatingDNN,0.6728069074894587,0.6506452242087606,47,gen_fuel_nuclear_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|system_energy_price_da|gen_fuel_coal_pct|gen_fuel_oil_mw|gen_fuel_hydro_pct|gen_fuel_other_renewables_mw|gen_fuel_wind_mw
gross_actual_interchange_mw,总实际交换功率,97%,9,DGatingDNN,STG,0.6470278162715626,0.6506452242087606,47,gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct|system_energy_price_da|gen_fuel_gas_pct|gen_fuel_gas_mw|total_pjm_assigned_reg
gross_actual_interchange_mw,总实际交换功率,97%,9,DGatingDNN,LassoNet,0.5194671881316519,0.6506452242087606,47,gen_fuel_coal_mw|total_pjm_reg_purchases|gen_fuel_nuclear_mw|solar_generation_mw|da_as_ss_mw_primary_reserve|gen_fuel_solar_mw|system_energy_price_da|gen_fuel_multiple_fuels_pct|total_pjm_loc_credit
gross_actual_interchange_mw,总实际交换功率,97%,9,DGatingDNN,XGBoost,0.5594410693782177,0.6506452242087606,47,total_lmp_rt|gen_fuel_solar_pct|total_pjm_reg_purchases|gen_fuel_nuclear_mw|da_as_as_req_mw_thirty_minutes_reserve|marginal_loss_price_rt|gen_fuel_gas_mw|gen_fuel_solar_mw|gen_fuel_multiple_fuels_mw
gross_actual_interchange_mw,总实际交换功率,97%,9,DGatingDNN,Lasso,0.47269439820148984,0.6506452242087606,47,gen_fuel_nuclear_mw|total_pjm_reg_purchases|solar_generation_mw|gen_fuel_nuclear_pct|system_energy_price_da|da_as_mcp_primary_reserve|gen_fuel_hydro_mw|total_pjm_loc_credit|gen_fuel_storage_mw
gross_actual_interchange_mw,总实际交换功率,97%,9,DGatingDNN,Pearson,0.5240429439503805,0.6506452242087606,47,gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|total_pjm_reg_purchases|prelim_load_avg_hourly|forecast_load_mw_latest_available|total_pjm_rt_load_mwh|gen_fuel_gas_mw|total_pjm_assigned_reg
