目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
total_lmp_da,日前总电价,95%,7,LassoNet,DGatingDNN,0.9273213862124624,0.9631205162260696,38,da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|marginal_loss_price_rt|gen_fuel_gas_mw|gen_fuel_oil_pct|total_lmp_rt|da_as_as_mw_thirty_minutes_reserve
total_lmp_da,日前总电价,95%,7,LassoNet,STG,0.9322004262061149,0.9631205162260696,38,forecast_load_mw_latest_available|gen_fuel_gas_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|gross_inadv_interchange_mw
total_lmp_da,日前总电价,95%,7,LassoNet,LassoNet,0.9314492505147577,0.9631205162260696,38,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|forecast_load_mw_latest_available|gen_fuel_coal_mw|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve
total_lmp_da,日前总电价,95%,7,LassoNet,XGBoost,0.9029298734971991,0.9631205162260696,38,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|total_lmp_rt|system_energy_price_rt|marginal_loss_price_rt|da_as_mcp_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve
total_lmp_da,日前总电价,95%,7,LassoNet,Lasso,0.9314492505147577,0.9631205162260696,38,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|forecast_load_mw_latest_available|gen_fuel_coal_mw|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve
total_lmp_da,日前总电价,95%,7,LassoNet,Pearson,0.8872848851882883,0.9631205162260696,38,gen_fuel_oil_mw|gen_fuel_oil_pct|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_lmp_rt|system_energy_price_rt|forecast_load_mw_latest_available
total_lmp_da,日前总电价,97%,8,STG,DGatingDNN,0.9407859987489416,0.9631205162260696,38,da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|marginal_loss_price_rt|gen_fuel_gas_mw|gen_fuel_oil_pct|total_lmp_rt|da_as_as_mw_thirty_minutes_reserve|gross_inadv_interchange_mw
total_lmp_da,日前总电价,97%,8,STG,STG,0.940594261578159,0.9631205162260696,38,forecast_load_mw_latest_available|gen_fuel_gas_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|gross_inadv_interchange_mw|total_pjm_reg_purchases
total_lmp_da,日前总电价,97%,8,STG,LassoNet,0.9373043573368032,0.9631205162260696,38,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|forecast_load_mw_latest_available|gen_fuel_coal_mw|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve|total_pjm_assigned_reg
total_lmp_da,日前总电价,97%,8,STG,XGBoost,0.9216627107486475,0.9631205162260696,38,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|total_lmp_rt|system_energy_price_rt|marginal_loss_price_rt|da_as_mcp_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|forecast_load_mw_latest_available
total_lmp_da,日前总电价,97%,8,STG,Lasso,0.930735844784161,0.9631205162260696,38,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|forecast_load_mw_latest_available|gen_fuel_coal_mw|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve|total_pjm_reg_purchases
total_lmp_da,日前总电价,97%,8,STG,Pearson,0.887359211689356,0.9631205162260696,38,gen_fuel_oil_mw|gen_fuel_oil_pct|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_lmp_rt|system_energy_price_rt|forecast_load_mw_latest_available|prelim_load_avg_hourly
