partition,seed,target,sensitivity_tier,target_kind,r2,rmse,mae,test_std,nrmse_by_test_std,pearson_r,test_r2_evaluable,accuracy,balanced_accuracy,roc_auc,description,n_input_declared,n_input_variable
02_public27_grouped/branch,43,branch_ab1_p_from_mw,T3_high,continuous,0.9166324734687805,2.904414176940918,2.066556930541992,10.059123039245605,0.2887343466281891,0.960222065448761,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_ab1_q_from_mvar,T3_high,continuous,0.9294037818908691,0.7951094508171082,0.5668904781341553,2.99251389503479,0.26569950580596924,0.9655465483665466,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_ab1_p_to_mw,T3_high,continuous,0.914423406124115,2.9707107543945312,2.129272699356079,10.155065536499023,0.29253485798835754,0.9606502056121826,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_ab1_q_to_mvar,T3_high,continuous,0.934552013874054,0.6770949363708496,0.49044492840766907,2.646679401397705,0.2558280825614929,0.9672055244445801,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_ab1_loading_pct,T3_high,continuous,0.880207896232605,1.6349486112594604,1.188924789428711,4.72378396987915,0.34610995650291443,0.9412822723388672,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_ab2_p_from_mw,T3_high,continuous,0.9875839352607727,2.2771012783050537,1.751189947128296,20.435728073120117,0.11142746359109879,0.9938934445381165,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_ab2_q_from_mvar,T3_high,continuous,0.9877111315727234,0.36316388845443726,0.28100231289863586,3.276015281677246,0.11085537075996399,0.9939481616020203,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_ab2_p_to_mw,T3_high,continuous,0.9873994588851929,2.3100266456604004,1.786049485206604,20.578907012939453,0.11225215345621109,0.9939423203468323,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_ab2_q_to_mvar,T3_high,continuous,0.9854379892349243,0.26602476835250854,0.2016492635011673,2.2045085430145264,0.1206730529665947,0.9928048253059387,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_ab2_loading_pct,T3_high,continuous,0.9865614175796509,0.36368328332901,0.28442084789276123,3.137235641479492,0.11592476069927216,0.9935058951377869,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
