field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,fallback_keep
area_1_load_actual_mw,0.5083493737324839,0.41895808151959346,0.2734899582974316,0.1030120607770226,0.45962938967086847,0.1028266737025736,1,1,1,1,1,1,6,1,0
system_losses_mw,0.7560935041182746,0.7507695327720779,0.5329064532266132,0.17255168310419144,0.7273540741416848,0.3434140527569291,1,1,1,1,1,1,6,1,0
gen_fuel_wind_mw,0.34610312063808174,0.3330687137650105,0.2248766811416064,0.06108130140615877,0.37754927955484063,0.12256885410110557,1,1,1,1,1,1,6,1,0
gen_fuel_natural_gas_mw,0.525565544421877,0.4199489863196065,0.2929464732366183,0.10037140300515458,0.438886551555345,0.09014257951651164,1,1,1,1,1,1,6,1,0
gen_fuel_coal_mw,0.4483490595947684,0.38292099365166987,0.2687089090806732,0.12378305072106359,0.4297515199571514,0.12878758456570732,1,1,1,1,1,1,6,1,0
reserve_spin_r2_mw,0.5366937739076562,0.4593973888068639,0.3010371414607315,0.08842544413565707,0.4886705023150858,0.11009343277386743,1,1,1,1,1,1,6,1,0
reserve_spin_r1_mw,0.5083497014564444,0.41895874298292135,0.27348366458258105,0.10309130611825687,0.4596299925265806,0.10282724728953448,1,1,1,1,1,1,6,1,0
area_2_load_actual_mw,0.5366938990812338,0.45939901104855746,0.30105324625692054,0.08847869523311996,0.4886709523733582,0.1100934702981083,1,1,1,1,1,1,6,1,0
gen_fuel_solar_mw,0.37497834595315055,0.36617109461103625,0.25321867290481087,0.072154564025637,0.35076439288968875,0.08925296300904303,1,1,1,1,1,1,6,1,0
system_generation_mw,0.49332851033299246,0.4029232160153561,0.2561400700350175,0.09074931129388211,0.4515578856948912,0.08807392025747127,1,1,1,1,1,1,6,1,0
system_load_day_ahead_mw,0.48307269818479887,0.3866797471939035,0.2446353176588294,0.08958877540220073,0.44366221182150695,0.08557352427457235,1,1,1,1,1,1,6,1,0
area_2_load_day_ahead_mw,0.5366924101469648,0.45938856383377524,0.30106669006211506,0.0884124978066373,0.48866994388499957,0.11012643705476659,1,1,1,1,1,1,6,1,0
area_1_load_day_ahead_mw,0.5083493997588786,0.41896193056515674,0.27352635160718713,0.10317126138912218,0.45963055090366306,0.10282721338055517,1,1,1,1,1,1,6,1,0
system_load_actual_mw,0.4819549185646928,0.385100681605898,0.24345672836418206,0.0889654861228997,0.44281817911937305,0.08488340083991398,1,1,1,1,1,1,6,1,0
area_2_net_export_mw,0.24200512995751003,0.22245070385661608,0.14263631815907954,0.06410164085930874,0.3573612659244526,0.13857218189865456,0,0,0,1,1,1,3,1,0
reserve_reg_up_mw,0.3550232790223435,0.30684904663768187,0.1875656914479002,0.06448666468724804,0.29282289914014936,0.038219355590159404,1,1,0,1,0,0,3,1,0
area_1_net_export_mw,0.14184372594408998,0.1258760647268129,0.07938669334667332,0.04521962305950847,0.2851973816411702,0.0882564499530589,0,0,0,1,0,1,2,1,0
reserve_reg_down_mw,0.28321053086090253,0.24887137914568463,0.14422505411244835,0.05000117333128836,0.23467692303551846,0.03215177465746675,1,0,0,1,0,0,2,1,0
area_3_load_day_ahead_mw,0.2580739401484789,0.179026672843844,0.1013427431333524,0.047133335095975365,0.2364014001195371,0.03273795648188246,0,0,0,1,0,0,1,1,0
reserve_spin_r3_mw,0.2580739449783975,0.17902613186099853,0.10133084405860887,0.04725115745334269,0.2363967745967929,0.03273704562186516,0,0,0,1,0,0,1,1,0
gen_fuel_nuclear_mw,0.010943023464116413,0.09368859739541115,0.09378423216835452,0.07606793542314486,0.14531741755988242,0.04079689386341913,0,0,0,1,0,0,1,1,0
gen_fuel_hydro_mw,0.2296184518763615,0.18113201624063477,0.10854570703721556,0.03570519397171761,0.177851631111871,0.018599927812995326,0,0,0,1,0,0,1,1,0
area_3_load_actual_mw,0.2580736236080825,0.17902791412096694,0.10133476106221721,0.04726196028186521,0.23639552404969175,0.0327372071458101,0,0,0,1,0,0,1,1,0
area_3_net_export_mw,0.09458632297640092,0.12146316856662136,0.08499949974987493,0.023353143876809774,0.18299923579991892,0.033725541074735514,0,0,0,0,0,0,0,0,0
