field,中文名,score
gen_fuel_natural_gas_mw,燃气出力,2.6477253437042236
gen_fuel_wind_mw,风电出力,2.637862205505371
system_losses_mw,系统网损,2.623654365539551
gen_fuel_hydro_mw,水电出力,2.5908944606781006
gen_fuel_coal_mw,燃煤出力,2.573361396789551
area_1_load_day_ahead_mw,区域1日前负荷,2.5693299770355225
gen_fuel_nuclear_mw,核电出力,2.5676307678222656
gen_fuel_solar_mw,光伏出力,2.5675175189971924
area_3_load_day_ahead_mw,区域3日前负荷,2.5221006870269775
reserve_reg_up_mw,调频上备用,2.4978580474853516
area_3_load_actual_mw,区域3实时负荷,2.479084014892578
system_load_day_ahead_mw,系统日前负荷,-2.2867329120635986
system_load_actual_mw,系统实时负荷,-2.296144962310791
reserve_spin_r1_mw,区域1旋转备用,-2.4361531734466553
reserve_spin_r3_mw,区域3旋转备用,-2.4645354747772217
reserve_reg_down_mw,调频下备用,-2.478271961212158
area_2_load_day_ahead_mw,区域2日前负荷,-2.4943525791168213
system_generation_mw,系统发电量,-2.512540817260742
reserve_spin_r2_mw,区域2旋转备用,-2.5446977615356445
area_1_load_actual_mw,区域1实时负荷,-2.5589895248413086
area_2_load_actual_mw,区域2实时负荷,-2.58483624458313
