field,中文名,score
area_1_load_actual_mw,区域1实时负荷,2.684225559234619
gen_fuel_natural_gas_mw,燃气出力,2.6647374629974365
gen_fuel_wind_mw,风电出力,2.6230692863464355
system_losses_mw,系统网损,2.6221799850463867
gen_fuel_solar_mw,光伏出力,2.6086983680725098
area_3_net_export_mw,区域3净送出,2.5710136890411377
reserve_spin_r1_mw,区域1旋转备用,2.5609629154205322
gen_fuel_hydro_mw,水电出力,2.544999837875366
gen_fuel_coal_mw,燃煤出力,2.535284996032715
area_2_net_export_mw,区域2净送出,2.5125062465667725
reserve_spin_r2_mw,区域2旋转备用,-2.48848557472229
area_1_load_day_ahead_mw,区域1日前负荷,-2.5242207050323486
area_2_load_day_ahead_mw,区域2日前负荷,-2.5614166259765625
reserve_reg_up_mw,调频上备用,-2.572540521621704
area_1_net_export_mw,区域1净送出,-2.5979981422424316
system_load_actual_mw,系统实时负荷,-2.615351438522339
area_2_load_actual_mw,区域2实时负荷,-2.6222500801086426
system_generation_mw,系统发电量,-2.622347593307495
gen_fuel_nuclear_mw,核电出力,-2.6286253929138184
area_3_load_day_ahead_mw,区域3日前负荷,-2.636805772781372
reserve_spin_r3_mw,区域3旋转备用,-2.653993844985962
reserve_reg_down_mw,调频下备用,-2.6755340099334717
system_load_day_ahead_mw,系统日前负荷,-2.6824300289154053
area_3_load_actual_mw,区域3实时负荷,-2.7114200592041016
