area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.43118703,0.47455359,0.42993975,0.4456504,0.5030711,0.4699879,0.4429402,0.4449183,0.4611495,0.59440964,0.53313786,0.5537647,0.54856616,0.53212124,0.41213855,0.42808405,0.42193896,0.45770243,0.4809166,0.44425428,0.49721694,0.5379119,0.587477,0.6037706
0.38214186,0.4369432,0.42635745,0.42702582,0.4867732,0.4512157,0.4408048,0.4005656,0.42953068,0.65552413,0.56031823,0.5852918,0.57723033,0.54809403,0.42201036,0.38824734,0.38212645,0.44791073,0.49851513,0.47834864,0.52116925,0.5659654,0.6680699,0.67054147
0.34364453,0.40307117,0.40016493,0.39350602,0.4473567,0.41506636,0.43190566,0.35117778,0.4140424,0.72038287,0.5946414,0.6034339,0.610425,0.58028,0.46298832,0.34679765,0.3447214,0.4320004,0.5652844,0.535127,0.55917734,0.59224933,0.7214853,0.742469
0.30184072,0.37836298,0.3858612,0.33686423,0.41974732,0.38381052,0.42442423,0.31748042,0.3871786,0.76978725,0.62772,0.61344695,0.63869804,0.5915324,0.49116865,0.30429512,0.30687594,0.42990738,0.60743207,0.56657404,0.6051175,0.6071141,0.7652194,0.80661976
0.24978064,0.36490393,0.37614426,0.29095,0.39669788,0.35352722,0.41337454,0.2801135,0.35869384,0.82259744,0.65470254,0.6272527,0.67390615,0.6031613,0.5263634,0.2819752,0.23595804,0.40685287,0.65276235,0.6070489,0.6462343,0.61838657,0.796961,0.8568369
0.19658008,0.33724594,0.35053536,0.2679865,0.3553698,0.32577634,0.38643056,0.23673122,0.32398245,0.8715136,0.67177224,0.6281288,0.72150666,0.61498815,0.5353496,0.24659048,0.17331265,0.38589734,0.68404233,0.64369386,0.6811019,0.63768417,0.8306247,0.8981878
0.14258005,0.29660162,0.3248329,0.22271779,0.32872748,0.27838778,0.37408727,0.18669578,0.29161453,0.9155908,0.69240093,0.6303263,0.74760884,0.63954866,0.54954773,0.21073663,0.10791966,0.37172902,0.7199703,0.67448705,0.715535,0.65082693,0.8669474,0.9361094
0.0910024,0.25269163,0.29342252,0.19221349,0.30200803,0.2149503,0.3466561,0.13061687,0.25266173,0.96836174,0.7060483,0.63203174,0.7903243,0.6696284,0.5792402,0.17784618,0.037517373,0.34519288,0.7594263,0.699497,0.7443334,0.6657376,0.91139686,0.96902716
0.03204972,0.22119416,0.25933608,0.15038806,0.265297,0.17217778,0.3190609,0.091025434,0.20609279,1.0084409,0.72214127,0.6340645,0.8341486,0.68133914,0.5926507,0.15520547,-0.020440571,0.32198772,0.79750794,0.73040664,0.7763899,0.6846496,0.948956,1.0043303
-0.04828535,0.18485448,0.2280303,0.109323636,0.21855885,0.11603735,0.3063725,0.030034788,0.17106593,1.0467255,0.7346277,0.6356194,0.8698283,0.69669455,0.60826325,0.11254137,-0.08469741,0.2887551,0.83860195,0.77261853,0.80097747,0.68598366,0.99265146,1.0437737
