field,中文名,score
area_1_load_actual_mw,区域1实时负荷,3.6540803035882763
gen_fuel_wind_mw,风电出力,1.85804545841816
system_losses_mw,系统网损,1.026777257626216
reserve_spin_r1_mw,区域1旋转备用,0.6604862419999784
gen_fuel_nuclear_mw,核电出力,0.5750511074801742
reserve_spin_r3_mw,区域3旋转备用,0.06464037324089478
gen_fuel_natural_gas_mw,燃气出力,0.05087146616209073
area_1_load_day_ahead_mw,区域1日前负荷,0.00014403931232919364
gen_fuel_coal_mw,燃煤出力,0.0
reserve_spin_r2_mw,区域2旋转备用,0.0
reserve_reg_down_mw,调频下备用,0.0
area_3_load_actual_mw,区域3实时负荷,0.0
gen_fuel_hydro_mw,水电出力,0.0
system_generation_mw,系统发电量,0.0
system_load_day_ahead_mw,系统日前负荷,0.0
area_3_load_day_ahead_mw,区域3日前负荷,0.0
area_2_load_day_ahead_mw,区域2日前负荷,0.0
system_load_actual_mw,系统实时负荷,0.0
area_2_load_actual_mw,区域2实时负荷,0.0
reserve_reg_up_mw,调频上备用,0.0
