area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.50890213,0.53831404,0.40294424,0.5343368,0.5693247,0.4822583,0.40427685,0.5152564,0.5469324,0.5843582,0.5099427,0.480789,0.54734755,0.55545735,0.48738834,0.5451062,0.50682294,0.53659564,0.40399054,0.5536167
0.55817884,0.5331117,0.3847724,0.5241465,0.6183957,0.44430238,0.37694556,0.50284594,0.56299984,0.6487653,0.5151152,0.4574435,0.5862112,0.56582993,0.469019,0.63473594,0.5480002,0.57642853,0.35687113,0.59416485
0.5958388,0.5227544,0.3644276,0.50908244,0.6464409,0.40753153,0.34483713,0.49197912,0.5738501,0.70631015,0.52354157,0.43383592,0.6280282,0.57025176,0.45843583,0.73321736,0.58215284,0.611378,0.3407277,0.6498372
0.6234658,0.5086542,0.3433024,0.4945753,0.687048,0.37345803,0.31619567,0.4783233,0.562664,0.7599007,0.5343177,0.42291394,0.6732176,0.5600018,0.4539416,0.81679714,0.609351,0.64760584,0.3293569,0.6956409
0.66075265,0.50126743,0.3267711,0.48374373,0.7203666,0.34039205,0.2910133,0.4631396,0.56393814,0.7929253,0.5433444,0.40527472,0.7119307,0.56014335,0.45234042,0.9076232,0.6273166,0.6928766,0.30097827,0.7384381
0.6839765,0.48300123,0.29889977,0.47053066,0.7518824,0.29485866,0.2590532,0.43548065,0.55570465,0.8364338,0.5490212,0.40865323,0.7444969,0.5539245,0.4558465,0.9759633,0.64398295,0.7309455,0.28877032,0.78311366
0.71507335,0.47916654,0.27845216,0.45758685,0.77504027,0.2607296,0.23713514,0.41467264,0.5555366,0.8696688,0.54422545,0.38386434,0.7872716,0.550655,0.4537803,1.0256295,0.6457192,0.7664957,0.26777115,0.8220682
0.72991675,0.4736775,0.24894632,0.4334889,0.79064095,0.21846743,0.19279258,0.38136098,0.5521455,0.9020316,0.5496614,0.36441946,0.8234919,0.54945415,0.44010204,1.0995314,0.66530687,0.78549236,0.2513253,0.86315185
0.7559078,0.47462136,0.22073889,0.41694716,0.81987363,0.17984325,0.17236741,0.36387253,0.54363096,0.94092464,0.5443189,0.34451482,0.8512394,0.55996233,0.4346991,1.1552906,0.6804384,0.81513184,0.2526781,0.8990619
0.7777216,0.4572274,0.18014507,0.38216546,0.8587529,0.1416167,0.1357363,0.3242643,0.52800167,0.98261076,0.5444792,0.319373,0.8749577,0.5491181,0.41844335,1.2124773,0.6969176,0.85820997,0.24713336,0.9378048
0.8068736,0.44557628,0.15481257,0.34983897,0.88241035,0.09970471,0.10723368,0.27903926,0.509768,1.0168414,0.5528286,0.2916467,0.89194256,0.54429764,0.4139974,1.2642148,0.7045055,0.89214647,0.24943806,0.9765292
0.8398105,0.45156837,0.11724909,0.32008553,0.91800475,0.048050128,0.080826834,0.24987034,0.50145805,1.036563,0.5419311,0.25947884,0.9185162,0.5397074,0.41655836,1.3217839,0.72403795,0.9110356,0.21320999,1.0106529
0.85302097,0.45699942,0.08151965,0.28628612,0.9300572,0.0028231288,0.033959344,0.22113493,0.5012276,1.0647718,0.53401047,0.22542545,0.93738455,0.5475573,0.41651306,1.3656735,0.7415332,0.9569609,0.19542745,1.0437014
0.8800428,0.43749508,0.048941176,0.24884397,0.950288,-0.031832084,0.0031481506,0.1752979,0.47847492,1.0868961,0.53179485,0.17377156,0.96505487,0.53884286,0.40847304,1.4234033,0.7800721,0.99084055,0.1760682,1.0795984
0.89498204,0.41934037,0.018002806,0.21462975,0.9667928,-0.07535559,-0.024103433,0.12886986,0.4660763,1.1064559,0.5227538,0.120816015,1.002475,0.5347755,0.40536717,1.4525604,0.7947547,1.0179673,0.165331,1.1157974
0.90657026,0.414697,-0.016432874,0.18799521,0.9898305,-0.12015741,-0.057871968,0.08928894,0.44101048,1.1215149,0.5174161,0.075604856,1.0333986,0.5210112,0.40467918,1.4938678,0.8152629,1.041303,0.12948877,1.1446292
0.9344971,0.43104675,-0.041407414,0.14557599,1.0127002,-0.15817042,-0.09360616,0.05102005,0.4251666,1.1388582,0.49984723,0.030860737,1.0733737,0.529223,0.3968555,1.5211904,0.83893025,1.0670536,0.10702849,1.1871036
0.93971324,0.429731,-0.07526536,0.10047789,1.0327325,-0.19914477,-0.13759677,0.0014686203,0.4050908,1.1577176,0.49274436,-0.009137345,1.0984008,0.5437496,0.3893655,1.562943,0.8745329,1.0934895,0.08893093,1.2214364
0.95935124,0.43490407,-0.11185724,0.06472425,1.0574627,-0.23834088,-0.17282791,-0.046892002,0.37535694,1.1729908,0.48309645,-0.05678015,1.1346179,0.5397351,0.38762057,1.5935955,0.90668803,1.1194087,0.06831255,1.2615339
0.9837601,0.45165318,-0.13829476,0.036722682,1.0708668,-0.2558616,-0.21297254,-0.08418256,0.34565175,1.1922692,0.4612672,-0.1182177,1.1611136,0.5558139,0.38434055,1.6338271,0.93597734,1.1448632,0.049310025,1.2777069
1.0074649,0.4438049,-0.1876746,-0.012106825,1.0987501,-0.29959393,-0.24856651,-0.13257308,0.31562135,1.2165513,0.4479103,-0.17090508,1.1712633,0.56495225,0.38090762,1.6819938,0.96913517,1.1822889,0.009453425,1.3091261
1.0348136,0.45788607,-0.22278634,-0.071720004,1.1171876,-0.35184714,-0.28374222,-0.17744838,0.29781997,1.2185792,0.4201006,-0.22569564,1.216841,0.5671373,0.376833,1.7195493,1.0037973,1.1997074,-0.016001673,1.3363792
1.0484649,0.46555683,-0.25024438,-0.1206166,1.1343454,-0.38804305,-0.32227457,-0.21489401,0.2644619,1.2535007,0.40910727,-0.27767527,1.2423068,0.5854776,0.36877602,1.7426704,1.03214,1.226005,-0.053956762,1.3612307
1.0676366,0.47750148,-0.28899148,-0.1778474,1.1595352,-0.42824963,-0.3692989,-0.26377076,0.22737268,1.2730455,0.37993562,-0.34116095,1.2729391,0.59028834,0.37681946,1.7649263,1.0695655,1.2706252,-0.08321191,1.3968711
1.0848405,0.4898426,-0.33163851,-0.23008505,1.1817026,-0.46139538,-0.42104912,-0.31888345,0.19409987,1.2973224,0.36034232,-0.3979291,1.2921053,0.6098463,0.38313815,1.7867833,1.1025206,1.3069668,-0.11386459,1.436332
1.0946592,0.48891652,-0.3717892,-0.28682095,1.2274619,-0.49378812,-0.4774984,-0.36918736,0.16334683,1.3067044,0.33281633,-0.4520797,1.310217,0.64637035,0.3875126,1.7978034,1.1490936,1.3367745,-0.14561412,1.4630042
1.111842,0.49704486,-0.41282195,-0.3425697,1.2473962,-0.53406197,-0.51133186,-0.42248428,0.115426585,1.321066,0.30606037,-0.49318102,1.3427293,0.6814804,0.38029715,1.8143618,1.1785425,1.3663813,-0.16327626,1.4842399
1.1299818,0.49431795,-0.45061737,-0.37980992,1.2780328,-0.5661818,-0.5341206,-0.47527277,0.07855169,1.3443851,0.27140749,-0.53078336,1.3671566,0.69030124,0.37357664,1.8550645,1.209416,1.3999903,-0.19191432,1.5091114
