field,中文名,score
gen_fuel_coal_mw,燃煤出力,55.64687370156909
system_losses_mw,系统网损,41.45058667955584
gen_fuel_hydro_mw,水电出力,41.4195009018981
area_2_load_actual_mw,区域2实时负荷,37.416098057259916
gen_fuel_solar_mw,光伏出力,27.64016593768288
gen_fuel_nuclear_mw,核电出力,13.518033740348999
area_3_net_export_mw,区域3净送出,3.9275974093787256
reserve_reg_up_mw,调频上备用,3.0198594319012333
reserve_spin_r3_mw,区域3旋转备用,0.061628712050276986
reserve_spin_r2_mw,区域2旋转备用,0.0
reserve_spin_r1_mw,区域1旋转备用,0.0
area_1_load_actual_mw,区域1实时负荷,0.0
system_load_day_ahead_mw,系统日前负荷,0.0
area_3_load_day_ahead_mw,区域3日前负荷,0.0
area_2_load_day_ahead_mw,区域2日前负荷,0.0
area_1_load_day_ahead_mw,区域1日前负荷,0.0
system_load_actual_mw,系统实时负荷,0.0
area_3_load_actual_mw,区域3实时负荷,0.0
area_2_net_export_mw,区域2净送出,0.0
area_1_net_export_mw,区域1净送出,0.0
