field,中文名,score
gen_fuel_solar_mw,光伏出力,0.28928983211517334
gen_fuel_wind_mw,风电出力,0.2836119830608368
gen_fuel_coal_mw,燃煤出力,0.14088937640190125
area_3_load_actual_mw,区域3实时负荷,0.13980403542518616
area_1_load_day_ahead_mw,区域1日前负荷,0.12503379583358765
gen_fuel_hydro_mw,水电出力,0.05969155952334404
area_3_net_export_mw,区域3净送出,0.0551915280520916
system_losses_mw,系统网损,0.052266981452703476
gen_fuel_nuclear_mw,核电出力,0.036613158881664276
reserve_spin_r3_mw,区域3旋转备用,0.015061956830322742
reserve_reg_down_mw,调频下备用,0.014975941739976406
reserve_spin_r2_mw,区域2旋转备用,0.0
reserve_spin_r1_mw,区域1旋转备用,0.0
area_1_load_actual_mw,区域1实时负荷,0.0
area_1_net_export_mw,区域1净送出,0.0
system_load_day_ahead_mw,系统日前负荷,0.0
area_3_load_day_ahead_mw,区域3日前负荷,0.0
area_2_load_day_ahead_mw,区域2日前负荷,0.0
system_load_actual_mw,系统实时负荷,0.0
area_2_load_actual_mw,区域2实时负荷,0.0
reserve_reg_up_mw,调频上备用,0.0
area_2_net_export_mw,区域2净送出,0.0
