field,中文名,score
gen_fuel_coal_mw,燃煤出力,0.2998241186141968
gen_fuel_solar_mw,光伏出力,0.156337708234787
gen_fuel_wind_mw,风电出力,0.12672142684459686
reserve_spin_r3_mw,区域3旋转备用,0.07757864147424698
area_3_load_day_ahead_mw,区域3日前负荷,0.06732325255870819
area_3_load_actual_mw,区域3实时负荷,0.04928306117653847
reserve_reg_down_mw,调频下备用,0.03715768828988075
area_2_load_day_ahead_mw,区域2日前负荷,0.026578059419989586
area_3_net_export_mw,区域3净送出,0.024112051352858543
gen_fuel_nuclear_mw,核电出力,0.022146204486489296
system_losses_mw,系统网损,0.019893690943717957
reserve_reg_up_mw,调频上备用,0.016547923907637596
system_load_actual_mw,系统实时负荷,0.0110207200050354
system_load_day_ahead_mw,系统日前负荷,0.008817899972200394
area_2_load_actual_mw,区域2实时负荷,0.008514747023582458
gen_fuel_hydro_mw,水电出力,0.008427799679338932
area_2_net_export_mw,区域2净送出,0.008350375108420849
reserve_spin_r2_mw,区域2旋转备用,0.007588997948914766
area_1_net_export_mw,区域1净送出,0.006641928572207689
area_1_load_day_ahead_mw,区域1日前负荷,0.00654474925249815
area_1_load_actual_mw,区域1实时负荷,0.005870537366718054
reserve_spin_r1_mw,区域1旋转备用,0.004718461539596319
