目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
gen_218_cc_1_pg_mw,机组218联合循环出力,95%,4,DGatingDNN,DGatingDNN,0.9352800473913975,0.9768874971244057,22,reserve_spin_r2_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw|gen_fuel_coal_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,95%,4,DGatingDNN,STG,0.9344762137627606,0.9768874971244057,22,gen_fuel_solar_mw|gen_fuel_hydro_mw|area_2_load_day_ahead_mw|gen_fuel_coal_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,95%,4,DGatingDNN,LassoNet,0.8616802405043276,0.9768874971244057,22,gen_fuel_coal_mw|system_losses_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,95%,4,DGatingDNN,XGBoost,0.8333870727440846,0.9768874971244057,22,reserve_spin_r2_mw|area_2_load_day_ahead_mw|gen_fuel_coal_mw|gen_fuel_solar_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,95%,4,DGatingDNN,Lasso,0.8973650464808484,0.9768874971244057,22,gen_fuel_coal_mw|system_losses_mw|gen_fuel_hydro_mw|area_2_load_actual_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,95%,4,DGatingDNN,Pearson,0.6398554753748744,0.9768874971244057,22,gen_fuel_coal_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,97%,7,DGatingDNN,DGatingDNN,0.9496956217034065,0.9768874971244057,22,reserve_spin_r2_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw|gen_fuel_coal_mw|gen_fuel_wind_mw|system_losses_mw|gen_fuel_nuclear_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,97%,7,DGatingDNN,STG,0.9393071017492305,0.9768874971244057,22,gen_fuel_solar_mw|gen_fuel_hydro_mw|area_2_load_day_ahead_mw|gen_fuel_coal_mw|system_losses_mw|area_2_load_actual_mw|reserve_spin_r2_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,97%,7,DGatingDNN,LassoNet,0.9419085280877619,0.9768874971244057,22,gen_fuel_coal_mw|system_losses_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw|area_2_load_actual_mw|gen_fuel_nuclear_mw|area_2_load_day_ahead_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,97%,7,DGatingDNN,XGBoost,0.938219680241579,0.9768874971244057,22,reserve_spin_r2_mw|area_2_load_day_ahead_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|reserve_spin_r1_mw|area_2_load_actual_mw|gen_fuel_hydro_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,97%,7,DGatingDNN,Lasso,0.9460522016208879,0.9768874971244057,22,gen_fuel_coal_mw|system_losses_mw|gen_fuel_hydro_mw|area_2_load_actual_mw|gen_fuel_solar_mw|gen_fuel_nuclear_mw|area_3_net_export_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,97%,7,DGatingDNN,Pearson,0.8226306734564679,0.9768874971244057,22,gen_fuel_coal_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw|system_losses_mw|reserve_spin_r1_mw|area_1_load_actual_mw
