目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
gen_317_wind_1_pg_mw,机组317风电出力,95%,8,Lasso,DGatingDNN,0.9319000526498022,0.9588731740596829,22,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|reserve_spin_r2_mw|gen_fuel_hydro_mw
gen_317_wind_1_pg_mw,机组317风电出力,95%,8,Lasso,STG,0.8759183123916353,0.9588731740596829,22,gen_fuel_solar_mw|gen_fuel_hydro_mw|gen_fuel_natural_gas_mw|area_3_net_export_mw|reserve_reg_down_mw|gen_fuel_coal_mw|system_losses_mw|reserve_reg_up_mw
gen_317_wind_1_pg_mw,机组317风电出力,95%,8,Lasso,LassoNet,0.8590616073524843,0.9588731740596829,22,gen_fuel_natural_gas_mw|reserve_reg_up_mw|system_losses_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|reserve_reg_down_mw
gen_317_wind_1_pg_mw,机组317风电出力,95%,8,Lasso,XGBoost,0.8818798196709045,0.9588731740596829,22,area_2_net_export_mw|gen_fuel_solar_mw|reserve_reg_down_mw|system_losses_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|reserve_reg_up_mw|area_3_net_export_mw
gen_317_wind_1_pg_mw,机组317风电出力,95%,8,Lasso,Lasso,0.935329186234267,0.9588731740596829,22,area_1_net_export_mw|area_3_net_export_mw|gen_fuel_solar_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw|system_load_actual_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw
gen_317_wind_1_pg_mw,机组317风电出力,95%,8,Lasso,Pearson,0.8127658094122094,0.9588731740596829,22,area_2_net_export_mw|area_1_net_export_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_hydro_mw|area_1_load_actual_mw
gen_317_wind_1_pg_mw,机组317风电出力,97%,8,Lasso,DGatingDNN,0.9319000526498022,0.9588731740596829,22,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|reserve_spin_r2_mw|gen_fuel_hydro_mw
gen_317_wind_1_pg_mw,机组317风电出力,97%,8,Lasso,STG,0.8759183123916353,0.9588731740596829,22,gen_fuel_solar_mw|gen_fuel_hydro_mw|gen_fuel_natural_gas_mw|area_3_net_export_mw|reserve_reg_down_mw|gen_fuel_coal_mw|system_losses_mw|reserve_reg_up_mw
gen_317_wind_1_pg_mw,机组317风电出力,97%,8,Lasso,LassoNet,0.8590616073524843,0.9588731740596829,22,gen_fuel_natural_gas_mw|reserve_reg_up_mw|system_losses_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|reserve_reg_down_mw
gen_317_wind_1_pg_mw,机组317风电出力,97%,8,Lasso,XGBoost,0.8818798196709045,0.9588731740596829,22,area_2_net_export_mw|gen_fuel_solar_mw|reserve_reg_down_mw|system_losses_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|reserve_reg_up_mw|area_3_net_export_mw
gen_317_wind_1_pg_mw,机组317风电出力,97%,8,Lasso,Lasso,0.935329186234267,0.9588731740596829,22,area_1_net_export_mw|area_3_net_export_mw|gen_fuel_solar_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw|system_load_actual_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw
gen_317_wind_1_pg_mw,机组317风电出力,97%,8,Lasso,Pearson,0.8127658094122094,0.9588731740596829,22,area_2_net_export_mw|area_1_net_export_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_hydro_mw|area_1_load_actual_mw
