目标,中文名,方法,定数规则,选中数,占候选比,测试R2,全量R2,候选数,选中字段
bus_115_va_deg,节点115电压相角,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,10,0.4166666666666667,0.9578677387561501,0.9619991833873299,24,area_1_load_actual_mw|area_3_load_day_ahead_mw|system_losses_mw|area_2_net_export_mw|area_3_net_export_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
bus_115_va_deg,节点115电压相角,STG,门控值 ≥ 0.0,10,0.4166666666666667,0.9548816424289223,0.9619991833873299,24,area_1_load_actual_mw|system_losses_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_spin_r1_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
bus_115_va_deg,节点115电压相角,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,24,1.0,0.9619991833873299,0.9619991833873299,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
bus_115_va_deg,节点115电压相角,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,14,0.5833333333333334,0.9529413117514435,0.9619991833873299,24,area_1_load_actual_mw|area_3_load_actual_mw|area_1_load_day_ahead_mw|area_3_load_day_ahead_mw|system_losses_mw|area_3_net_export_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw
bus_115_va_deg,节点115电压相角,XGBoost,固定阈值 τ=0.02（12 个目标共用）,15,0.625,0.9577580974408267,0.9619991833873299,24,area_1_load_actual_mw|area_3_load_actual_mw|area_1_load_day_ahead_mw|area_3_load_day_ahead_mw|system_losses_mw|area_1_net_export_mw|area_3_net_export_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
bus_115_va_deg,节点115电压相角,Pearson,固定阈值 τ=0.3（12 个目标共用）,19,0.7916666666666666,0.9205141374818269,0.9619991833873299,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_wind_mw
bus_215_va_deg,节点215电压相角,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,8,0.3333333333333333,0.9763739052674023,0.9883109653661862,24,area_1_load_day_ahead_mw|system_losses_mw|area_3_net_export_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
bus_215_va_deg,节点215电压相角,STG,门控值 ≥ 0.0,10,0.4166666666666667,0.9781252971082812,0.9883109653661862,24,area_1_load_actual_mw|system_losses_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_spin_r1_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
bus_215_va_deg,节点215电压相角,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,24,1.0,0.9883109653661862,0.9883109653661862,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
bus_215_va_deg,节点215电压相角,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,17,0.7083333333333334,0.98855592629913,0.9883109653661862,24,area_1_load_actual_mw|area_3_load_actual_mw|area_1_load_day_ahead_mw|area_3_load_day_ahead_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_spin_r1_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
