field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept
area_1_load_actual_mw,0.5005114870864318,0.5624006281519597,0.40740638198051465,0.1787456392302541,0.5386487502379579,0.2232663981322114,1,1,1,1,1,1,6,1
reserve_spin_r1_mw,0.5005118424952276,0.5624004268781505,0.407394086870046,0.17875466995034886,0.5386489070330337,0.223258918673233,1,1,1,1,1,1,6,1
area_3_fuel_solar_mw,0.32031806837056365,0.30290199433041864,0.2808151564950015,0.09567787397462899,0.35676411234108873,0.1445480311445387,1,1,1,1,1,1,6,1
area_2_fuel_solar_mw,0.4223695201930535,0.36592184937918704,0.30997400006616765,0.10011394184131778,0.3960848968877729,0.1643971995540167,1,1,1,1,1,1,6,1
area_2_fuel_coal_mw,0.8137223505654196,0.9310557690382706,0.805997496615554,0.5984519040184275,0.8235911703090145,0.5398076209660361,1,1,1,1,1,1,6,1
area_1_generation_mw,0.5035825465014603,0.5677265809595862,0.41114435198976385,0.17665126265378295,0.540781556055201,0.22490976496710283,1,1,1,1,1,1,6,1
area_1_fuel_solar_mw,0.44207280306403784,0.38289964835313406,0.32603439175723514,0.09282969822317842,0.4049417052299016,0.1592439996787752,1,1,1,1,1,1,6,1
area_1_fuel_coal_mw,0.5918462621881151,0.6118056794065333,0.4732068860813715,0.17571248620786453,0.5782800863287024,0.27990519059116686,1,1,1,1,1,1,6,1
area_2_load_actual_mw,0.5919298381675818,0.7068110629721338,0.5347696270199322,0.29567921505619976,0.6410587671739031,0.33046618680391326,1,1,1,1,1,1,6,1
gen_fuel_coal_mw,0.7008501009247574,0.7517345742532854,0.5989720047671373,0.3047436936505872,0.6743509096272402,0.35356606922276035,1,1,1,1,1,1,6,1
reserve_spin_r2_mw,0.5919299332004517,0.7068110001444113,0.5347660679016947,0.29570027925197795,0.6410583841093364,0.3304553098706823,1,1,1,1,1,1,6,1
