area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,month_of_year
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8398992,0.73939174,0.6803295,0.6936129,0.9881086,0.84260005,0.6705076,0.71699196,0.6508534,0.9285745,0.6980147,0.6587293,0.9121861,0.696617,0.6778074,0.7699724,0.6872246,0.7465134,0.6856926,0.88269144,0.74837184,0.79367435,0.7062178,0.6610387,0.7181154,0.99453276,0.69740117,0.9699768,0.66772276,0.65458727,0.6998834,0.70744574,0.6725128,0.7643871,0.65425617,0.6462787,0.76958174,0.6889694,0.69258356,0.6888103,0.6703245
0.7465948,0.54427135,0.47475305,0.4532851,0.8853811,0.663006,0.4702639,0.490513,0.4299744,0.7312882,0.47604865,0.4524263,0.8170273,0.526573,0.45547527,0.61502117,0.45778203,0.52493924,0.474755,0.6946247,0.5288415,0.6325056,0.54706854,0.46028095,0.51940495,0.91795945,0.5254835,0.88893425,0.5215875,0.5463665,0.569753,0.55834734,0.4686675,0.56121945,0.41230562,0.4226159,0.5827603,0.4833567,0.48266125,0.47518235,0.43667504
0.66154045,0.3944326,0.32668373,0.2812777,0.80326873,0.51269925,0.34842354,0.3226954,0.27747557,0.5819345,0.32132584,0.29349163,0.72776866,0.40532723,0.3014008,0.5121019,0.29697666,0.372071,0.33335862,0.5296457,0.3721711,0.5183403,0.50251746,0.32549253,0.39772648,0.8170053,0.42645836,0.8219734,0.50106454,0.49272907,0.4776115,0.4440275,0.33083025,0.4060115,0.26527375,0.27653602,0.43045613,0.33719352,0.32912576,0.31780958,0.27087057
0.5897886,0.30265167,0.22637613,0.17086625,0.7338006,0.39080933,0.26353577,0.2070439,0.17429811,0.46459433,0.21067587,0.17667611,0.65116245,0.3315638,0.19798663,0.42996395,0.18647487,0.2696996,0.23010369,0.39950952,0.2644198,0.44620997,0.49384946,0.23195669,0.31032246,0.7516489,0.35905832,0.7633709,0.4898512,0.44439694,0.41656515,0.35497245,0.23860739,0.29787704,0.16819933,0.18087515,0.31825113,0.2365971,0.2219891,0.20625763,0.16095929
0.530986,0.23781312,0.15302669,0.09905271,0.6768008,0.29633152,0.1983471,0.12900715,0.10706025,0.3662211,0.13444574,0.10494368,0.59055305,0.27757844,0.12735188,0.36819476,0.111622736,0.20437491,0.15168032,0.29413515,0.18069923,0.39327037,0.48176256,0.17140493,0.24617143,0.6796351,0.3079295,0.7122058,0.47302,0.40373904,0.36089206,0.28168136,0.17131624,0.21638964,0.10295468,0.11800027,0.23258553,0.16176744,0.14491104,0.13059638,0.09052137
0.47877637,0.18642515,0.10464766,0.054972086,0.6287029,0.22278507,0.15146054,0.07704367,0.06252938,0.28626353,0.080888204,0.061613265,0.53317136,0.23405185,0.078428924,0.31964666,0.06444275,0.15685494,0.09755983,0.21622103,0.12328288,0.3588224,0.47242764,0.12751259,0.20010732,0.6299703,0.2791622,0.66520065,0.44974008,0.3684429,0.32329094,0.22369617,0.120554104,0.15652001,0.060275078,0.076666504,0.166957,0.11210076,0.091969416,0.07861684,0.048787147
0.43354908,0.14515236,0.06917779,0.02907183,0.5918663,0.16704404,0.113565944,0.045225196,0.035375696,0.2217132,0.045915738,0.036620595,0.48390648,0.19846821,0.047041934,0.28136444,0.035216924,0.12649512,0.061043654,0.15715913,0.08293588,0.33457363,0.45528445,0.09820891,0.17095415,0.5763712,0.259852,0.62620664,0.42996794,0.34024903,0.28808334,0.17873971,0.08281,0.11343114,0.033965807,0.0491317,0.11837357,0.07863068,0.05603868,0.045700144,0.024825761
0.39301154,0.11196297,0.044744052,0.014550247,0.55532295,0.124342896,0.083870806,0.025164768,0.018898861,0.17146172,0.024871452,0.02149285,0.44211838,0.16759297,0.027223775,0.24925643,0.018480863,0.10483029,0.03590037,0.11199502,0.05341043,0.31459185,0.44297177,0.07644676,0.14265287,0.52699953,0.24027625,0.5912364,0.40984342,0.31363007,0.25629365,0.1459159,0.055855673,0.08161003,0.017932774,0.031147422,0.08386481,0.053913474,0.032443102,0.025241816,0.011927262
0.35651338,0.08621659,0.028419469,0.0068191937,0.52319634,0.090767905,0.062348567,0.01328028,0.009554021,0.1310787,0.012715263,0.012427163,0.40073934,0.14198223,0.014738717,0.22179969,0.009100166,0.090507686,0.020604456,0.07929947,0.034819886,0.29753798,0.42731023,0.060708903,0.12401868,0.47904527,0.23493697,0.55768114,0.391195,0.29483303,0.2320086,0.11827353,0.036333,0.05992346,0.008908644,0.01879923,0.05941456,0.038269468,0.01780512,0.013225991,0.0053676567
0.32021183,0.065792285,0.017154045,0.002986002,0.494729,0.06508374,0.04488875,0.006662264,0.0045656743,0.10119244,0.0061061387,0.0068947817,0.36414957,0.1206612,0.0075210347,0.19691923,0.0041616447,0.07791862,0.011049685,0.056061856,0.021451347,0.2848851,0.4122951,0.047132097,0.10647381,0.4437735,0.22083263,0.52661914,0.37444195,0.2829141,0.21055996,0.094591334,0.022838913,0.044414654,0.004101164,0.011460425,0.042304542,0.026369827,0.009171828,0.006444292,0.0022335604
0.28628868,0.04909768,0.009907452,0.0012108145,0.4700016,0.045205425,0.032001026,0.0031291102,0.0020345945,0.074077256,0.002748871,0.0036414193,0.33003533,0.10138875,0.0035955936,0.17504929,0.0017759291,0.06910758,0.005616543,0.039407965,0.013006138,0.2728643,0.40542272,0.036741316,0.0912574,0.4077993,0.21598193,0.49753958,0.35667098,0.2688796,0.19327427,0.07545117,0.013700001,0.03345962,0.0017577324,0.0066962903,0.031054823,0.018605929,0.0044440734,0.0029450883,0.0008525035
0.2587636,0.03625368,0.005420382,0.0004517745,0.44919822,0.030815426,0.022210756,0.0013770405,0.000847745,0.055522498,0.0011566377,0.0016939277,0.3008641,0.08564419,0.0016001591,0.15554895,0.0006997673,0.062846065,0.0026991372,0.0278614,0.007380136,0.26570365,0.3864699,0.02847675,0.08214869,0.37669235,0.20691013,0.47435322,0.34111264,0.25815135,0.17839265,0.059752077,0.007894336,0.025732921,0.00069599476,0.0036199973,0.023060868,0.012601807,0.0020035757,0.0012409029,0.00029705794
